player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8478449,Roope Hintz,C,680.3,509,44.892,42.8751,46.7809,463,40.8349,38.6948,42.8891,972,85.7269,59.7638,60.0,8.4121,43
8476483,Rickard Rakell,R,556.22,466,50.2682,48.3126,51.9845,343,37.0,34.5496,39.383,809,87.2682,59.7164,60.0,8.376,44
8478444,Brock Boeser,R,641.33,433,40.5094,38.2986,42.6368,515,48.1809,46.2539,49.9411,948,88.6902,59.7578,60.0,8.3737,45
8476539,Jonathan Marchessault,R,599.27,458,45.856,43.7408,47.8098,541,54.1662,52.6114,55.4609,999,100.0222,59.7702,60.0,8.3588,46
8476346,Johnny Gaudreau,L,436.75,335,46.0218,43.4827,48.2294,381,52.3412,50.2346,53.999,716,98.3629,59.6798,60.0,8.3048,47
8482809,Jackson Blake,R,193.33,128,39.7241,35.6356,43.5677,177,54.931,52.1753,56.8997,305,94.6552,59.2537,60.0,8.2807,48
8475168,Matt Duchene,C,606.93,432,42.7065,40.4651,44.7787,473,46.7597,44.6728,48.6255,905,89.4662,59.7464,60.0,8.2589,49
8481559,Jack Hughes,C,587.93,434,44.2907,42.0656,46.3204,428,43.6784,41.4315,45.7379,862,87.9692,59.7338,60.0,8.1799,50
8475172,Nazem Kadri,C,716.52,500,41.8692,39.7647,43.7911,578,48.4008,46.536,50.0046,1078,90.2701,59.7869,60.0,8.1513,51
8475184,Chris Kreider,L,845.58,618,43.8514,41.9763,45.5583,693,49.1732,47.5073,50.6175,1311,93.0245,59.8247,60.0,8.119,52
8471214,Alex Ovechkin,L,843.98,601,42.726,40.8378,44.4971,724,51.4702,49.9581,52.7857,1325,94.1962,59.8265,60.0,8.1052,53
8474102,David Perron,L,501.0,329,39.4012,36.8435,41.8158,487,58.3234,57.2187,58.997,816,97.7246,59.7189,60.0,8.0429,54
8474141,Patrick Kane,R,590.5,475,48.2642,46.2713,50.102,474,48.1626,46.1641,50.0072,949,96.4268,59.7581,60.0,8.0387,55
8473994,Jamie Benn,L,642.22,430,40.1734,37.9492,42.3034,459,42.8827,40.7301,44.9109,889,83.0561,59.7418,60.0,7.9847,56
8478440,Dylan Strome,C,617.67,437,42.4501,40.2029,44.4979,496,48.1813,46.1627,49.9237,933,90.6314,59.754,60.0,7.9435,57
8475913,Mark Stone,R,529.57,381,43.1674,40.7475,45.3277,420,47.5861,45.3529,49.4889,801,90.7534,59.7136,60.0,7.943,58
8478403,Jack Eichel,C,630.07,437,41.6146,39.3942,43.703,521,49.6138,47.7293,51.271,958,91.2284,59.7604,60.0,7.9409,59
8476460,Mark Scheifele,C,709.5,499,42.1987,40.0909,44.1162,597,50.4863,48.7267,51.9546,1096,92.685,59.7904,60.0,7.9337,60
8475726,Tyler Toffoli,C,662.63,456,41.2898,39.0907,43.3134,524,47.4471,45.464,49.1769,980,88.7369,59.7657,60.0,7.9282,61
