player_id,position,toi_total_sec,toi_ES_sec,toi_PP_sec,toi_PK_sec,toi_total_min
8476470,D,63015.0,53296.0,6910.0,2809.0,1050.25
8476473,D,356873.0,311064.0,29620.0,16189.0,5947.88
8476474,F,203171.0,170025.0,21386.0,11760.0,3386.18
8476479,F,378020.0,306413.0,46203.0,25404.0,6300.33
8476480,F,283990.0,238899.0,29205.0,15886.0,4733.17
8476483,F,369889.0,316905.0,33373.0,19611.0,6164.82
8476495,F,337.0,337.0,0.0,0.0,5.62
8476505,F,1605.0,1583.0,0.0,22.0,26.75
8476509,G,5852.0,4565.0,800.0,487.0,97.53
8476525,D,225225.0,202081.0,15152.0,7992.0,3753.75
8476539,F,365591.0,312980.0,35956.0,16655.0,6093.18
8476545,F,723.0,723.0,0.0,0.0,12.05
8476624,F,305734.0,256195.0,32518.0,17021.0,5095.57
8476779,D,77503.0,70509.0,5076.0,1918.0,1291.72
8476792,D,249420.0,212087.0,24467.0,12866.0,4157.0
8476807,D,6197.0,5720.0,275.0,202.0,103.28
8476822,F,253640.0,214112.0,25274.0,14254.0,4227.33
8476826,F,351185.0,290890.0,40012.0,20283.0,5853.08
8476850,D,42577.0,37681.0,3280.0,1616.0,709.62
8476851,F,51964.0,46845.0,3230.0,1889.0,866.07
8476853,D,456708.0,388549.0,43856.0,24303.0,7611.8
8476854,D,380483.0,313676.0,42051.0,24756.0,6341.38
8476856,D,325825.0,280143.0,29823.0,15859.0,5430.42
8476858,F,76975.0,68118.0,5319.0,3538.0,1282.92
8476867,F,50000.0,46159.0,2559.0,1282.0,833.33
8476869,D,481394.0,406536.0,47811.0,27047.0,8023.23
8476870,F,219.0,219.0,0.0,0.0,3.65
8476871,F,190562.0,164156.0,17572.0,8834.0,3176.03
8476872,F,330885.0,275512.0,34764.0,20609.0,5514.75
8476873,F,148442.0,126361.0,14236.0,7845.0,2474.03
8476874,D,349644.0,307619.0,27621.0,14404.0,5827.4
8476875,D,458346.0,379077.0,50052.0,29217.0,7639.1
8476876,G,16055.0,14111.0,1187.0,757.0,267.58
8476878,F,253621.0,216118.0,24910.0,12593.0,4227.02
8476879,D,446000.0,387081.0,39822.0,19097.0,7433.33
8476880,F,345006.0,279942.0,41543.0,23521.0,5750.1
8476881,F,376531.0,313629.0,41817.0,21085.0,6275.52
8476882,F,353526.0,285282.0,43224.0,25020.0,5892.1
8476883,G,963222.0,807202.0,102781.0,53239.0,16053.7
8476884,D,22007.0,20172.0,1129.0,706.0,366.78
8476885,D,459329.0,387341.0,47022.0,24966.0,7655.48
8476886,D,12738.0,12078.0,532.0,128.0,212.3
8476887,F,362980.0,304100.0,38254.0,20626.0,6049.67
8476889,F,269151.0,231252.0,24606.0,13293.0,4485.85
8476891,D,361578.0,319598.0,26913.0,15067.0,6026.3
8476892,D,487204.0,425134.0,40798.0,21272.0,8120.07
8476897,F,238689.0,198318.0,26587.0,13784.0,3978.15
8476899,G,167509.0,138842.0,19200.0,9467.0,2791.82
8476902,D,469415.0,396305.0,47942.0,25168.0,7823.58
8476903,G,67021.0,58679.0,5312.0,3030.0,1117.02
8476904,G,95725.0,82668.0,8272.0,4785.0,1595.42
8476905,F,408569.0,334114.0,48478.0,25977.0,6809.48
8476906,D,405974.0,341161.0,43294.0,21519.0,6766.23
8476907,F,13266.0,12712.0,355.0,199.0,221.1
8476913,F,92127.0,84037.0,5541.0,2549.0,1535.45
8476914,G,528819.0,441986.0,53974.0,32859.0,8813.65
8476915,F,64889.0,53704.0,6699.0,4486.0,1081.48
8476917,D,385466.0,338828.0,29904.0,16734.0,6424.43
8476918,F,209342.0,183201.0,16716.0,9425.0,3489.03
8476919,F,103856.0,90039.0,8981.0,4836.0,1730.93
8476921,F,298894.0,258626.0,25166.0,15102.0,4981.57
8476923,D,425265.0,365778.0,38212.0,21275.0,7087.75
8476924,F,5022.0,3863.0,738.0,421.0,83.7
8476925,F,329972.0,267226.0,40696.0,22050.0,5499.53
8476927,F,259326.0,220545.0,24596.0,14185.0,4322.1
8476931,D,422228.0,367137.0,35203.0,19888.0,7037.13
8476932,G,389556.0,323741.0,42223.0,23592.0,6492.6
8476934,F,151090.0,127155.0,15837.0,8098.0,2518.17
8476941,D,1014.0,954.0,44.0,16.0,16.9
8476945,G,1022319.0,866429.0,102971.0,52919.0,17038.65
8476948,F,5821.0,4966.0,397.0,458.0,97.02
8476952,F,56813.0,49000.0,5632.0,2181.0,946.88
8476958,D,446710.0,379595.0,41780.0,25335.0,7445.17
8476960,F,129146.0,111409.0,11029.0,6708.0,2152.43
8476966,F,1218.0,1122.0,96.0,0.0,20.3
8476967,D,392878.0,348272.0,29794.0,14812.0,6547.97
8476975,F,12793.0,9720.0,2070.0,1003.0,213.22
8476979,D,277267.0,241131.0,23419.0,12717.0,4621.12
