player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8479415,Michael McLeod,C,115.08,10,5.2136,2.8751,9.1619,14,7.2991,4.4351,11.6408,3,1.5641,0.5347,4.4341,27,14.0768,10.0001,19.2026,1.4914,20
8479542,Brandon Hagel,L,441.32,42,5.7102,4.2739,7.5741,53,7.2057,5.5839,9.2314,12,1.6315,0.938,2.8173,107,14.5474,12.2973,17.0851,1.4892,21
8476392,Adam Lowry,C,299.62,34,6.8087,4.9346,9.252,22,4.4056,2.9354,6.5119,7,1.4018,0.6809,2.8424,63,12.6161,10.0633,15.5767,1.4886,22
8476278,Colin Blackwell,C,156.05,19,7.3054,4.7625,10.9437,12,4.6139,2.6729,7.7781,2,0.769,0.2114,2.7321,33,12.6882,9.2868,16.9298,1.4804,23
8471699,Andrew Cogliano,C,139.73,12,5.1527,2.9826,8.6308,17,7.2996,4.6327,11.152,4,1.7176,0.6699,4.2695,33,14.1698,10.383,18.7497,1.471,24
8482062,Cole Smith,L,183.18,22,7.2059,4.8447,10.5186,14,4.5856,2.7669,7.4583,2,0.6551,0.1801,2.338,38,12.4465,9.3113,16.328,1.4655,25
8476921,Jordan Martinook,L,251.7,26,6.1979,4.2831,8.8128,24,5.7211,3.8901,8.2678,3,0.7151,0.2434,2.0646,53,12.6341,9.8724,15.8877,1.4532,26
8477021,Alexander Kerfoot,C,299.73,27,5.4048,3.7554,7.6667,31,6.2055,4.4254,8.5765,9,1.8016,0.9517,3.3614,67,13.4119,10.7922,16.4275,1.4471,27
8476872,Scott Laughton,C,343.48,37,6.4632,4.7568,8.709,32,5.5898,4.0116,7.7243,5,0.8734,0.3745,2.0199,74,12.9264,10.5292,15.7378,1.4403,28
8477903,Garnet Hathaway,R,197.28,20,6.0826,4.0011,9.0963,18,5.4744,3.5147,8.3877,10,3.0413,1.6682,5.4543,48,14.5983,11.3391,18.4879,1.4399,29
8480185,Eetu Luostarinen,C,360.65,33,5.4901,3.9499,7.5359,37,6.1556,4.5166,8.2849,14,2.3291,1.3943,3.8422,84,13.9748,11.5231,16.7371,1.4366,30
8476873,Mark Jankowski,L,130.75,14,6.4245,3.884,10.2844,11,5.0478,2.852,8.6467,5,2.2945,0.9847,5.1744,30,13.7667,9.9231,18.4843,1.4253,31
8474150,Mikael Backlund,C,458.95,42,5.4908,4.1045,7.2828,52,6.7981,5.2468,8.7332,9,1.1766,0.621,2.2105,103,13.4655,11.3167,15.8859,1.4248,32
8477998,Warren Foegele,L,209.22,23,6.596,4.4674,9.5829,16,4.5885,2.8601,7.2436,8,2.2943,1.1713,4.4221,47,13.4788,10.4122,17.1693,1.4202,33
8480848,Ty Dellandrea,C,134.4,12,5.3571,3.1182,9.0008,14,6.25,3.7956,10.0645,3,1.3393,0.4586,3.8253,29,12.9464,9.3073,17.6113,1.4047,34
8473453,Trevor Lewis,C,198.12,22,6.6627,4.4717,9.7498,17,5.1485,3.2577,7.9912,2,0.6057,0.1665,2.1646,41,12.4169,9.388,16.1295,1.4038,35
8475231,Casey Cizikas,C,246.7,26,6.3235,4.3711,8.9859,24,5.837,3.97,8.4303,4,0.9728,0.3789,2.4535,54,13.1334,10.2962,16.4558,1.389,36
8476399,Blake Coleman,C,345.82,33,5.7256,4.1232,7.8551,32,5.5521,3.9764,7.6588,8,1.388,0.7057,2.6973,73,12.6657,10.277,15.4217,1.384,37
8481481,Blake Lizotte,C,208.92,15,4.3079,2.6384,6.9016,26,7.4671,5.1796,10.5622,6,1.7232,0.7933,3.6724,47,13.4982,10.4122,17.1693,1.3638,38
8479293,Brandon Tanev,L,210.87,18,5.1217,3.2785,7.8483,20,5.6908,3.7319,8.512,5,1.4227,0.6098,3.2558,43,12.2352,9.2978,15.7927,1.3629,39
8477353,Tyler Motte,C,172.77,17,5.9039,3.7356,9.1036,14,4.862,2.9289,7.8745,5,1.7364,0.7444,3.9519,36,12.5024,9.256,16.476,1.3325,40
8479291,Kevin Rooney,C,124.07,10,4.8361,2.6636,8.526,13,6.2869,3.7378,10.2677,2,0.9672,0.2661,3.4142,25,12.0903,8.4273,16.8422,1.3238,41
8479359,Beck Malenstyn,L,151.35,14,5.55,3.3619,8.9765,13,5.1536,3.0601,8.5033,3,1.1893,0.4068,3.4068,30,11.893,8.5716,16.1665,1.3228,42
8478043,Sam Lafferty,C,153.28,16,6.2629,3.924,9.7873,10,3.9143,2.1531,6.9675,6,2.3486,1.0857,4.9746,32,12.5258,9.1336,16.8193,1.3131,43
8478904,Steven Lorentz,C,156.88,14,5.3543,3.2316,8.6465,13,4.9718,2.9416,8.1904,2,0.7649,0.21,2.7152,29,11.091,7.9079,15.1613,1.3007,44
8477446,Michael McCarron,C,168.72,17,6.0456,3.8254,9.3109,12,4.2675,2.4649,7.2,5,1.7781,0.7621,4.0428,34,12.0913,8.8615,16.0775,1.3004,45
8477931,Tomas Nosek,L,158.27,13,4.9284,2.9227,8.1405,16,6.0657,3.7978,9.4898,3,1.1373,0.3887,3.2599,32,12.1314,8.8364,16.3147,1.2962,46
8479977,Kailer Yamamoto,R,148.88,15,6.045,3.7176,9.5673,10,4.03,2.2116,7.1477,5,2.015,0.865,4.5687,30,12.09,8.69,16.3719,1.2839,47
8480448,Parker Kelly,C,210.9,18,5.1209,3.2785,7.8483,20,5.6899,3.7319,8.512,6,1.707,0.7858,3.6384,44,12.5178,9.5501,16.099,1.2793,48
8476927,Teddy Blueger,C,236.42,19,4.822,3.1286,7.3387,22,5.5834,3.742,8.2263,8,2.0303,1.0365,3.9272,49,12.4357,9.6458,15.8314,1.2771,49
8474189,Lars Eller,C,300.95,33,6.5792,4.7482,8.9982,17,3.3893,2.1335,5.3147,7,1.3956,0.6786,2.8331,57,11.364,8.9476,14.2464,1.2731,50
8480068,Ryan Poehling,C,238.03,24,6.0496,4.1222,8.7395,16,4.033,2.508,6.3841,11,2.7727,1.56,4.8512,51,12.8553,10.0146,16.2443,1.2618,51
8473504,Cal Clutterbuck,R,128.9,13,6.0512,3.5906,9.8879,11,5.1202,2.8968,8.775,1,0.4655,0.0822,2.5563,25,11.6369,8.0913,16.2271,1.2588,52
8482113,Anton Lundell,C,359.62,30,5.0053,3.5397,6.9883,29,4.8385,3.4003,6.7978,10,1.6684,0.9094,3.0222,69,11.5123,9.2608,14.1299,1.2357,53
8476822,Luke Glendening,C,237.57,21,5.3038,3.5061,7.8671,21,5.3038,3.5061,7.8671,3,0.7577,0.2578,2.1839,45,11.3652,8.665,14.6167,1.2274,54
8479520,Brandon Duhaime,R,165.23,16,5.81,3.6343,9.1025,11,3.9944,2.2578,6.9254,1,0.3631,0.0642,2.0116,28,10.1674,7.2057,14.0597,1.2194,55
8476826,Yanni Gourde,C,338.05,27,4.7922,3.3287,6.8237,28,4.9697,3.476,7.0273,9,1.5974,0.8442,2.9894,64,11.3593,9.0697,14.0712,1.2129,56
8478133,Jake Evans,C,344.43,23,4.0066,2.6977,5.8996,36,6.2712,4.5932,8.4889,5,0.871,0.3734,2.0141,64,11.1487,8.9083,13.8334,1.1936,57
