player_id,player_name,reb_attempts,league_denom,es_toi_min,P1b,P1b_lo,P1b_hi,P1b_pct,P1b_lo_pct,P1b_hi_pct,P1b_rank,P1b_per60,P1b_per60_lo95,P1b_per60_hi95,P1b_per60_rank,rank_delta_pct_vs_per60,toi_flag
8475191,Reilly Smith,38,16187,4404.933333333333,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.5176,0.3775,0.7091,140,-21,TOI_INFLATED
8477964,Ivan Barbashev,45,16187,5222.816666666667,0.00278,0.002078,0.003718,0.278,0.2078,0.3718,78,0.517,0.3867,0.6905,141,-63,TOI_INFLATED
8476881,Tomas Hertl,45,16187,5227.15,0.00278,0.002078,0.003718,0.278,0.2078,0.3718,78,0.5165,0.3864,0.69,142,-64,TOI_INFLATED
8476878,Zemgus Girgensons,31,16187,3601.9666666666667,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.5164,0.3642,0.7314,143,43,TOI_DEFLATED
8478462,Nicolas Roy,36,16187,4201.1,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.5142,0.3718,0.7104,144,-4,
8482113,Anton Lundell,37,16187,4323.0,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.5135,0.373,0.7065,145,-15,
8480797,Joel Farabee,42,16187,4919.466666666666,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.5123,0.3794,0.6912,146,-48,TOI_INFLATED
8477493,Aleksander Barkov,37,16187,4356.216666666666,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.5096,0.3701,0.7011,147,-17,
8479351,Sam Steel,33,16187,3898.766666666667,0.002039,0.001452,0.002862,0.2039,0.1452,0.2862,163,0.5079,0.362,0.7117,148,15,
8480027,Jason Robertson,48,16187,5700.35,0.002965,0.002237,0.003929,0.2965,0.2237,0.3929,56,0.5052,0.3815,0.6688,149,-93,TOI_INFLATED
8481068,Yegor Sharangovich,40,16187,4752.733333333334,0.002471,0.001815,0.003363,0.2471,0.1815,0.3363,109,0.505,0.3712,0.6863,150,-41,TOI_INFLATED
8479407,Jesper Bratt,46,16187,5495.633333333333,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.5022,0.3769,0.6687,151,-85,TOI_INFLATED
8478434,Keegan Kolesar,33,16187,3947.366666666667,0.002039,0.001452,0.002862,0.2039,0.1452,0.2862,163,0.5016,0.3576,0.7031,152,11,
8471214,Alex Ovechkin,42,16187,5143.35,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.49,0.3629,0.6612,153,-55,TOI_INFLATED
8476927,Teddy Blueger,30,16187,3675.75,0.001853,0.001299,0.002645,0.1853,0.1299,0.2645,202,0.4897,0.3434,0.6976,154,48,TOI_DEFLATED
8477960,Adrian Kempe,45,16187,5521.966666666666,0.00278,0.002078,0.003718,0.278,0.2078,0.3718,78,0.489,0.3658,0.6532,155,-77,TOI_INFLATED
8476483,Rickard Rakell,43,16187,5281.75,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.4885,0.363,0.6568,156,-67,TOI_INFLATED
8475172,Nazem Kadri,45,16187,5549.3,0.00278,0.002078,0.003718,0.278,0.2078,0.3718,78,0.4865,0.364,0.65,157,-79,TOI_INFLATED
8478542,Evan Rodrigues,38,16187,4701.316666666667,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.485,0.3537,0.6645,158,-39,TOI_INFLATED
8480144,David Kampf,31,16187,3843.05,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.484,0.3413,0.6856,159,27,TOI_DEFLATED
8476468,J.T. Miller,44,16187,5467.183333333333,0.002718,0.002026,0.003647,0.2718,0.2026,0.3647,83,0.4829,0.3601,0.6472,160,-77,TOI_INFLATED
