season,team,state,zone,for_att,for_gl,ag_att,ag_gl
20232024,MTL,PP,FNFI,85,3,96,7
20232024,MTL,PP,Wide,163,14,207,13
20232024,MTL,PP,lane_other,46,1,58,7
20232024,MTL,PP,unk,0,0,0,0
20232024,MTL,PK,CNFI,12,2,17,4
20232024,MTL,PK,MNFI,11,3,14,3
20232024,MTL,PK,FNFI,4,0,2,0
20232024,MTL,PK,Wide,54,2,70,3
20232024,MTL,PK,lane_other,221,0,151,1
20232024,MTL,PK,unk,0,0,0,0
20242025,SJS,ES,CNFI,426,45,560,78
20242025,SJS,ES,MNFI,313,34,406,43
20242025,SJS,ES,FNFI,253,7,311,16
20242025,SJS,ES,Wide,1688,32,1825,38
20242025,SJS,ES,lane_other,1023,15,862,21
20242025,SJS,ES,unk,0,0,0,0
20242025,SJS,PP,CNFI,93,11,130,18
20242025,SJS,PP,MNFI,61,6,76,9
20242025,SJS,PP,FNFI,67,2,83,9
20242025,SJS,PP,Wide,197,11,223,21
20242025,SJS,PP,lane_other,30,3,33,4
20242025,SJS,PP,unk,0,0,0,0
20242025,SJS,PK,CNFI,6,2,9,1
20242025,SJS,PK,MNFI,11,2,10,3
20242025,SJS,PK,FNFI,1,0,3,0
20242025,SJS,PK,Wide,59,0,62,3
20242025,SJS,PK,lane_other,152,1,140,1
20242025,SJS,PK,unk,0,0,0,0
20232024,TBL,ES,CNFI,534,86,503,77
20232024,TBL,ES,MNFI,389,30,370,44
20232024,TBL,ES,FNFI,307,8,260,12
20232024,TBL,ES,Wide,1617,31,1709,45
20232024,TBL,ES,lane_other,1002,21,1032,16
20232024,TBL,ES,unk,0,0,0,0
20232024,TBL,PP,CNFI,104,22,128,11
20232024,TBL,PP,MNFI,85,13,70,8
20232024,TBL,PP,FNFI,82,5,71,8
20232024,TBL,PP,Wide,242,27,175,7
20232024,TBL,PP,lane_other,44,3,29,2
20232024,TBL,PP,unk,0,0,0,0
20232024,TBL,PK,CNFI,24,1,11,3
20232024,TBL,PK,MNFI,20,3,16,2
20232024,TBL,PK,FNFI,7,0,4,0
20232024,TBL,PK,Wide,62,1,52,0
20232024,TBL,PK,lane_other,159,0,164,0
20232024,TBL,PK,unk,0,0,0,0
20222023,DET,ES,CNFI,484,54,605,69
20222023,DET,ES,MNFI,372,39,391,48
20222023,DET,ES,FNFI,273,8,281,14
20222023,DET,ES,Wide,1388,41,1501,41
20222023,DET,ES,lane_other,992,6,858,15
20222023,DET,ES,unk,0,0,0,0
20222023,DET,PP,CNFI,108,24,115,16
20222023,DET,PP,MNFI,68,10,78,13
20222023,DET,PP,FNFI,82,4,70,8
20222023,DET,PP,Wide,229,13,213,16
20222023,DET,PP,lane_other,58,4,36,0
20222023,DET,PP,unk,0,0,0,0
20222023,DET,PK,CNFI,14,3,13,4
20222023,DET,PK,MNFI,8,0,12,1
20222023,DET,PK,FNFI,7,0,6,0
20222023,DET,PK,Wide,53,2,63,2
20222023,DET,PK,lane_other,163,0,176,3
20222023,DET,PK,unk,0,0,0,0
20232024,TOR,ES,CNFI,639,95,551,72
20232024,TOR,ES,MNFI,392,36,360,34
20232024,TOR,ES,FNFI,264,7,298,12
20232024,TOR,ES,Wide,1864,45,1759,38
20232024,TOR,ES,lane_other,1004,22,1019,13
20232024,TOR,ES,unk,0,0,0,0
20232024,TOR,PP,CNFI,162,15,116,17
20232024,TOR,PP,MNFI,80,12,75,12
20232024,TOR,PP,FNFI,56,4,74,5
20232024,TOR,PP,Wide,206,21,231,17
20232024,TOR,PP,lane_other,44,5,34,2
20232024,TOR,PP,unk,0,0,0,0
20232024,TOR,PK,CNFI,13,0,17,4
20232024,TOR,PK,MNFI,12,1,19,3
20232024,TOR,PK,FNFI,2,0,2,0
20232024,TOR,PK,Wide,69,3,81,0
20232024,TOR,PK,lane_other,175,1,179,0
20232024,TOR,PK,unk,0,0,0,0
20232024,COL,ES,CNFI,609,73,555,85
20232024,COL,ES,MNFI,426,60,353,36
20232024,COL,ES,FNFI,377,17,259,8
20232024,COL,ES,Wide,1758,39,1669,25
20232024,COL,ES,lane_other,897,14,1173,17
20232024,COL,ES,unk,0,0,0,0
20232024,COL,PP,CNFI,159,35,153,21
20232024,COL,PP,MNFI,68,4,72,14
20232024,COL,PP,FNFI,122,7,77,2
20232024,COL,PP,Wide,226,16,198,13
20232024,COL,PP,lane_other,48,3,39,2
20232024,COL,PP,unk,0,0,0,0
20232024,COL,PK,CNFI,13,3,30,6
20232024,COL,PK,MNFI,15,2,8,0
20232024,COL,PK,FNFI,2,1,7,0
20232024,COL,PK,Wide,69,0,56,0
20232024,COL,PK,lane_other,158,0,186,0
20232024,COL,PK,unk,0,0,0,0
20232024,FLA,ES,CNFI,556,57,494,57
20232024,FLA,ES,MNFI,389,42,301,24
20232024,FLA,ES,FNFI,297,4,288,9
20232024,FLA,ES,Wide,1845,41,1667,20
20232024,FLA,ES,lane_other,761,18,1141,11
20232024,FLA,ES,unk,0,0,0,0
20232024,FLA,PP,CNFI,219,34,141,24
20232024,FLA,PP,MNFI,95,16,63,6
20232024,FLA,PP,FNFI,98,3,66,6
20232024,FLA,PP,Wide,246,6,210,8
20232024,FLA,PP,lane_other,39,3,44,3
20232024,FLA,PP,unk,0,0,0,0
20232024,FLA,PK,CNFI,17,4,12,2
20232024,FLA,PK,MNFI,16,2,14,4
