player_id,player_name,es_toi_min,TNFI_SA,TNFI_SA_per60,P2_weighted,blocks_total,blocks_CNFI,blocks_MNFI,blocks_FNFI,blocks_per60,blocks_xG_per60,P2_net,P2_weighted_rank,P2_net_rank,rank_delta_net_vs_weighted
8481557,Matt Boldy,5056.48,1432,16.992,1.5721,108,22,57,29,1.282,0.1137,1.4584,15,32,-17
8482737,Zachary Bolduc,1679.5,460,16.4335,1.6301,51,17,21,13,1.822,0.1655,1.4646,29,33,-4
8480980,Connor Dewar,2729.68,799,17.5625,1.6736,109,23,53,33,2.396,0.2085,1.4651,43,34,9
8478403,Jack Eichel,4691.88,1270,16.2408,1.6333,138,26,85,27,1.765,0.1606,1.4727,30,35,-5
8477505,Alexander Wennberg,5444.65,1560,17.1912,1.7134,220,58,133,29,2.424,0.2391,1.4743,77,36,41
8482177,Marat Khusnutdinov,1491.65,444,17.8594,1.7311,66,24,27,15,2.655,0.2547,1.4764,97,37,60
8482665,Matty Beniers,4456.55,1282,17.26,1.6899,163,35,105,23,2.195,0.2133,1.4766,57,38,19
8479972,Mason Shaw,739.42,211,17.1216,1.603,17,4,10,3,1.379,0.1238,1.4792,25,39,-14
8477021,Alexander Kerfoot,4497.07,1291,17.2246,1.7179,185,46,104,35,2.468,0.2378,1.4801,80,40,40
8480849,Barrett Hayton,3881.07,1085,16.7737,1.6915,123,50,64,9,1.902,0.2063,1.4852,60,41,19
8480995,Pontus Holmberg,2164.8,646,17.9047,1.742,100,25,49,26,2.772,0.2563,1.4857,109,42,67
8479638,Justin Brazeau,1443.02,462,19.2098,1.8284,82,30,39,13,3.41,0.3423,1.4861,214,43,171
8480355,Mark Kastelic,2208.43,680,18.4746,1.778,116,26,66,24,3.152,0.2911,1.4869,154,44,110
8482092,Ridly Greig,2854.25,818,17.1954,1.6741,95,28,41,26,1.997,0.1851,1.489,44,45,-1
8478028,Fredrik Olofsson,736.83,202,16.4488,1.6662,18,13,5,0,1.466,0.174,1.4922,41,46,-5
8476873,Mark Jankowski,2106.02,615,17.5212,1.741,87,26,47,14,2.479,0.2485,1.4925,108,47,61
8480835,Jack Drury,2452.15,695,17.0055,1.723,95,32,44,19,2.324,0.2301,1.4929,85,48,37
8482859,Zack Ostapchuk,860.73,247,17.2179,1.7462,39,10,18,11,2.719,0.2404,1.5058,115,49,66
8478413,Jordan Greenway,3165.77,944,17.8914,1.6734,96,24,47,25,1.819,0.1627,1.5107,42,50,-8
8481596,Shane Pinto,3236.73,924,17.1284,1.6982,99,32,52,15,1.835,0.1873,1.5109,65,51,14
8481655,Cole Schwindt,602.2,176,17.5357,1.6509,14,5,6,3,1.395,0.1393,1.5116,36,52,-16
8478483,Mitch Marner,5815.55,1544,15.9297,1.6092,105,24,52,29,1.083,0.0952,1.514,26,53,-27
