season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_twoway,F_band,D_top4_twoway,D_band,starter_goalie_name,starter_NFI_GSAx_per60,g_high,archetype_q,arche_g_q,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20222023,NJD,E,82,112,0.6829,52,65,0.7926829268292683,0.5402298850574713,17.7359953008822,1.7046939533270498,High,1.0154584626870864,Middle,Vitek Vanecek,-0.19,False,MIDDLE,MIDDLE_Glo,True,True,False,False,False,3,True
20222023,NSH,W,81,92,0.5679,42,-8,-0.0987654320987654,0.4765710134398838,1.057607453663639,0.3155549304201178,Middle,1.438535911551743,High,Juuse Saros,0.07,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,10,False
20222023,NYI,E,82,93,0.5671,42,21,0.2560975609756097,0.4922973878097789,7.4167971423455645,0.1485251847475293,Middle,-0.4383267004950928,Low,Ilya Sorokin,0.34,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,7,False
20222023,NYR,E,82,107,0.6524,47,58,0.7073170731707317,0.4851485148514851,4.3846778650680704,0.0013725528028324,Middle,-0.485868907136656,Low,Igor Shesterkin,0.37,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,5,False
20222023,OTT,E,82,86,0.5244,39,-10,-0.1219512195121951,0.5091546552395793,0.4212913053117665,1.2213854699407618,Middle,0.3702303477922852,Middle,Cam Talbot,-0.07,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,11,False
20222023,PHI,E,82,75,0.4573,31,-55,-0.6707317073170732,0.4797245600612089,-6.049954750880792,0.4093977311373187,Middle,0.2352020727312913,Middle,Carter Hart,0.05,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,14,False
20222023,PIT,E,82,91,0.5549,40,-2,-0.024390243902439,0.5154709282556953,6.582853460126159,1.3411044941977923,High,0.5055653002556805,Middle,Tristan Jarry,0.0,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,9,False
20222023,SEA,W,82,100,0.6098,46,33,0.4024390243902439,0.5114247311827957,1.4194840998966374,0.5746904202298438,Middle,-0.0446353517501497,Middle,Martin Jones,-0.1,False,MIDDLE,MIDDLE_Glo,True,True,False,False,False,7,False
20222023,SJS,W,82,60,0.3659,22,-87,-1.0609756097560976,0.4901408450704225,-13.337598459537498,-0.0090875933912969,Middle,-0.1745098091206099,Middle,James Reimer,-0.31,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,14,False
20222023,STL,W,82,81,0.4939,37,-38,-0.4634146341463415,0.4679533867443554,-11.507039630899394,-0.2146003135439169,Low,-1.1614194381545713,Low,Jordan Binnington,0.06,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,12,False
20222023,TBL,E,82,98,0.5976,46,29,0.3536585365853658,0.524798927613941,12.730357666913136,0.8197500386590684,Middle,1.334248647183846,High,Andrei Vasilevskiy,0.25,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,6,False
20222023,TOR,E,82,111,0.6768,50,57,0.6951219512195121,0.5423673997412678,25.09317995419263,1.728853019995172,High,1.267684440034942,High,Ilya Samsonov,-0.01,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,False,False,False,4,True
20222023,VAN,W,82,83,0.5061,38,-22,-0.2682926829268293,0.4819185382565664,-12.172696140954017,0.5878148813228198,Middle,0.6886765538782766,Middle,Thatcher Demko,0.26,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,11,False
