player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8479400,Pierre-Luc Dubois,L,322.25,5,0.931,0.399,2.1498,1,0.1862,0.0329,1.0428,6,1.1171,0.514,2.403,0.1166,292
8480893,Kirill Marchenko,R,226.88,1,0.2645,0.0467,1.4717,5,1.3223,0.5666,3.031,6,1.5867,0.7301,3.3874,0.1142,293
8480188,Fabian Zetterlund,L,213.07,0,0.0,0.0,1.063,5,1.408,0.604,3.2259,5,1.408,0.604,3.2259,0.111,294
8478550,Artemi Panarin,L,371.98,4,0.6452,0.2514,1.6391,2,0.3226,0.0885,1.1633,6,0.9678,0.4447,2.0842,0.1095,295
8476483,Rickard Rakell,R,326.85,1,0.1836,0.0324,1.027,5,0.9179,0.3929,2.1174,6,1.1014,0.5061,2.3668,0.1077,296
8473563,Nicklas Backstrom,C,100.85,0,0.0,0.0,2.1985,2,1.1899,0.3268,4.1609,2,1.1899,0.3268,4.1609,0.1071,297
8477330,Dominik Kubalik,L,179.92,2,0.667,0.1831,2.3761,0,0.0,0.0,1.2538,2,0.667,0.1831,2.3761,0.1053,298
8475793,Ryan Johansen,C,170.93,0,0.0,0.0,1.3183,5,1.7551,0.7532,3.9968,5,1.7551,0.7532,3.9968,0.1047,299
8475193,Tomas Tatar,L,186.33,1,0.322,0.057,1.7893,2,0.644,0.1772,2.3011,3,0.966,0.33,2.7805,0.1024,300
8476393,Nick Cousins,C,109.62,1,0.5474,0.0964,2.9824,1,0.5474,0.0964,2.9824,2,1.0947,0.3,3.8329,0.0967,301
8470794,Joe Pavelski,C,239.5,1,0.2505,0.0442,1.3932,5,1.2526,0.5358,2.87,6,1.5031,0.6904,3.2076,0.0942,302
8475225,Craig Smith,C,108.8,0,0.0,0.0,2.0427,2,1.1029,0.3028,3.8668,2,1.1029,0.3028,3.8668,0.0925,303
8471698,T.J. Oshie,R,162.9,1,0.3683,0.065,2.0357,1,0.3683,0.065,2.0357,2,0.7366,0.2023,2.6177,0.0908,304
8482809,Jackson Blake,R,106.7,1,0.5623,0.0991,3.063,0,0.0,0.0,2.0795,1,0.5623,0.0991,3.063,0.0888,305
8481618,Alex Newhook,C,246.62,1,0.2433,0.0429,1.3544,3,0.7299,0.2483,2.1057,4,0.9732,0.3789,2.4535,0.0841,306
8480208,Drake Batherson,R,330.75,2,0.3628,0.0995,1.3056,2,0.3628,0.0995,1.3056,4,0.7256,0.2825,1.8393,0.083,307
8482702,Logan Stankoven,C,119.92,1,0.5003,0.0884,2.7418,0,0.0,0.0,1.8612,1,0.5003,0.0884,2.7418,0.079,308
8481716,Dmitri Voronkov,L,127.48,1,0.4706,0.0835,2.5953,0,0.0,0.0,1.7616,1,0.4706,0.0835,2.5953,0.0743,309
8475692,Mats Zuccarello,R,321.78,2,0.3729,0.1023,1.3416,2,0.3729,0.1023,1.3416,4,0.7458,0.2905,1.89,0.0669,310
8474884,Mike Hoffman,L,159.6,1,0.3759,0.0662,2.073,1,0.3759,0.0662,2.073,2,0.7519,0.2061,2.6656,0.0664,311
8478420,Mikko Rantanen,R,399.53,2,0.3004,0.0823,1.0827,2,0.3004,0.0823,1.0827,4,0.6007,0.2337,1.5256,0.0652,312
8482175,JJ Peterka,R,212.52,1,0.2823,0.0498,1.5666,1,0.2823,0.0498,1.5666,2,0.5647,0.1547,2.015,0.0641,313
8478444,Brock Boeser,R,376.72,1,0.1593,0.0281,0.8922,4,0.6371,0.248,1.6176,5,0.7964,0.3407,1.84,0.0634,314
8476960,Andreas Athanasiou,C,111.8,1,0.5367,0.0947,2.931,0,0.0,0.0,1.9898,1,0.5367,0.0947,2.931,0.0577,315
8478042,Viktor Arvidsson,L,186.12,1,0.3224,0.057,1.7893,1,0.3224,0.057,1.7893,2,0.6448,0.1772,2.3011,0.057,316
8471675,Sidney Crosby,C,420.2,2,0.2856,0.0784,1.0317,3,0.4284,0.1459,1.2473,5,0.7139,0.3057,1.6537,0.0557,317
8479525,Ross Colton,C,208.18,2,0.5764,0.1584,2.0625,0,0.0,0.0,1.0881,2,0.5764,0.1584,2.0625,0.0547,318
8477511,Anthony Mantha,R,177.85,1,0.3374,0.0595,1.8679,0,0.0,0.0,1.2676,1,0.3374,0.0595,1.8679,0.0533,319
8478010,Brayden Point,C,375.35,2,0.3197,0.0878,1.1541,2,0.3197,0.0878,1.1541,4,0.6394,0.2493,1.6261,0.0521,320
8480028,Morgan Frost,C,284.53,2,0.4217,0.1156,1.5133,4,0.8435,0.3283,2.1315,6,1.2652,0.581,2.7097,0.0509,321
8482109,Alexis Lafrenière,L,256.9,2,0.4671,0.1282,1.6756,0,0.0,0.0,0.8837,2,0.4671,0.1282,1.6756,0.0502,322
8471215,Evgeni Malkin,C,327.97,1,0.1829,0.0323,1.0239,1,0.1829,0.0323,1.0239,2,0.3659,0.1004,1.3174,0.0492,323
8480078,Filip Chytil,C,141.57,1,0.4238,0.0747,2.3286,1,0.4238,0.0747,2.3286,2,0.8477,0.2323,2.9938,0.047,324
8481577,Philip Tomasino,C,154.3,0,0.0,0.0,1.4603,1,0.3889,0.0688,2.1517,1,0.3889,0.0688,2.1517,0.0431,325
8476346,Johnny Gaudreau,L,222.25,1,0.27,0.0477,1.5042,0,0.0,0.0,1.0206,1,0.27,0.0477,1.5042,0.0426,326
8484144,Connor Bedard,C,169.25,0,0.0,0.0,1.3336,2,0.709,0.1951,2.527,2,0.709,0.1951,2.527,0.042,327
8478414,Timo Meier,R,289.2,1,0.2075,0.0367,1.1602,2,0.4149,0.114,1.4927,3,0.6224,0.2122,1.8042,0.0392,328
8475799,Nino Niederreiter,R,244.25,1,0.2456,0.0434,1.3708,0,0.0,0.0,0.93,1,0.2456,0.0434,1.3708,0.0388,329
8477940,Nikolaj Ehlers,L,250.05,1,0.24,0.0424,1.3384,0,0.0,0.0,0.908,1,0.24,0.0424,1.3384,0.0379,330
8481533,Trevor Zegras,C,256.13,1,0.2343,0.0414,1.3075,0,0.0,0.0,0.8871,1,0.2343,0.0414,1.3075,0.037,331
8481582,Nicholas Robertson,L,113.78,0,0.0,0.0,1.956,1,0.5273,0.093,2.8813,1,0.5273,0.093,2.8813,0.0365,332
8482146,Luke Evangelista,R,182.95,1,0.328,0.0579,1.818,0,0.0,0.0,1.2336,1,0.328,0.0579,1.818,0.0353,333
8475166,John Tavares,C,343.78,2,0.3491,0.0957,1.2569,1,0.1745,0.0308,0.9768,3,0.5236,0.1782,1.5194,0.0346,334
8474141,Patrick Kane,R,277.08,1,0.2165,0.0383,1.2098,0,0.0,0.0,0.8207,1,0.2165,0.0383,1.2098,0.0342,335
8474564,Steven Stamkos,C,373.72,1,0.1605,0.0283,0.8993,1,0.1605,0.0283,0.8993,2,0.3211,0.0881,1.1572,0.0331,336
8480830,Andrei Svechnikov,R,291.53,1,0.2058,0.0363,1.1485,0,0.0,0.0,0.7791,1,0.2058,0.0363,1.1485,0.0325,337
8477956,David Pastrnak,R,441.2,2,0.272,0.0747,0.983,1,0.136,0.024,0.7639,3,0.408,0.139,1.1885,0.0319,338
8477494,Jonathan Drouin,L,213.78,0,0.0,0.0,1.0581,1,0.2807,0.0495,1.5594,1,0.2807,0.0495,1.5594,0.0311,339
8483515,Juraj Slafkovský,L,208.17,1,0.2882,0.0509,1.6036,0,0.0,0.0,1.0881,1,0.2882,0.0509,1.6036,0.031,340
8478975,Mason Marchment,L,230.6,0,0.0,0.0,0.9815,1,0.2602,0.0459,1.4466,1,0.2602,0.0459,1.4466,0.0289,341
8477503,Max Domi,C,256.82,1,0.2336,0.0412,1.3025,0,0.0,0.0,0.8837,1,0.2336,0.0412,1.3025,0.0251,342
8482679,Matt Coronato,R,118.68,0,0.0,0.0,1.8764,1,0.5055,0.0891,2.7641,1,0.5055,0.0891,2.7641,0.0249,343
8478445,Mathew Barzal,C,288.28,1,0.2081,0.0368,1.1642,0,0.0,0.0,0.7898,1,0.2081,0.0368,1.1642,0.0224,344
8478440,Dylan Strome,C,342.67,0,0.0,0.0,0.6646,1,0.1751,0.0309,0.9796,1,0.1751,0.0309,0.9796,0.0194,345
8474586,Jordan Eberle,R,277.4,0,0.0,0.0,0.8207,1,0.2163,0.0383,1.2098,1,0.2163,0.0383,1.2098,0.0192,346
8482079,Marco Rossi,C,163.17,0,0.0,0.0,1.3815,1,0.3677,0.065,2.0357,1,0.3677,0.065,2.0357,0.0181,347
8476539,Jonathan Marchessault,R,277.58,1,0.2162,0.0381,1.2055,0,0.0,0.0,0.8178,1,0.2162,0.0381,1.2055,0.0169,348
8477416,Oliver Bjorkstrand,R,289.37,0,0.0,0.0,0.7871,2,0.4147,0.114,1.4927,2,0.4147,0.114,1.4927,0.016,349
8476453,Nikita Kucherov,R,389.73,0,0.0,0.0,0.5853,1,0.154,0.0272,0.8628,1,0.154,0.0272,0.8628,0.0152,350
8476887,Filip Forsberg,L,343.77,0,0.0,0.0,0.6626,1,0.1745,0.0308,0.9768,1,0.1745,0.0308,0.9768,0.0086,351
8475791,Taylor Hall,L,235.93,1,0.2543,0.0449,1.4165,0,0.0,0.0,0.961,1,0.2543,0.0449,1.4165,0.0081,352
8475314,Anders Lee,L,297.67,1,0.2016,0.0356,1.1256,1,0.2016,0.0356,1.1256,2,0.4031,0.1105,1.4482,0.0067,353
8484801,Macklin Celebrini,C,115.2,0,0.0,0.0,1.9395,1,0.5208,0.0922,2.8571,1,0.5208,0.0922,2.8571,0.0064,354
8482745,Mason McTavish,C,206.53,1,0.2905,0.0512,1.6112,0,0.0,0.0,1.0932,1,0.2905,0.0512,1.6112,0.0061,355
8482117,Lukas Reichel,L,119.58,0,0.0,0.0,1.8612,0,0.0,0.0,1.8612,0,0.0,0.0,1.8612,0.0,356
8478438,Tommy Novak,C,200.9,0,0.0,0.0,1.1252,0,0.0,0.0,1.1252,0,0.0,0.0,1.1252,0.0,356
