goalie_id,zone,shot_type,attempts,goals,save_pct,goalie_name,L_save_pct,L_att,L_goals,z_vs_league,delta_sv_pct,signif
8478492,MNFI,wrist,371,57,0.8464,Ilya Samsonov,0.8542,24932,3636,-0.43,-0.78,False
8478009,CNFI,backhand,362,39,0.8923,Ilya Sorokin,0.8322,13408,2250,3.06,6.01,True
8478009,CNFI,tip-in,356,68,0.809,Ilya Sorokin,0.827,14699,2543,-0.9,-1.8,False
8478009,CNFI,wrist,773,108,0.8603,Ilya Sorokin,0.8052,27362,5329,3.86,5.5,True
8478009,MNFI,snap,259,49,0.8108,Ilya Sorokin,0.8073,11549,2226,0.15,0.36,False
8478009,MNFI,wrist,674,88,0.8694,Ilya Sorokin,0.8542,24932,3636,1.12,1.53,False
8475789,CNFI,wrist,226,56,0.7522,Jack Campbell,0.8052,27362,5329,-2.01,-5.3,True
8475789,MNFI,wrist,241,27,0.888,Jack Campbell,0.8542,24932,3636,1.49,3.38,False
8474593,CNFI,backhand,291,42,0.8557,Jacob Markstrom,0.8322,13408,2250,1.07,2.35,False
8474593,CNFI,tip-in,328,58,0.8232,Jacob Markstrom,0.827,14699,2543,-0.18,-0.38,False
8474593,CNFI,wrist,637,112,0.8242,Jacob Markstrom,0.8052,27362,5329,1.21,1.89,False
8474593,MNFI,snap,237,37,0.8439,Jacob Markstrom,0.8073,11549,2226,1.43,3.66,False
8474593,MNFI,wrist,660,114,0.8273,Jacob Markstrom,0.8542,24932,3636,-1.96,-2.69,False
8474596,CNFI,backhand,211,36,0.8294,Jake Allen,0.8322,13408,2250,-0.11,-0.28,False
8474596,CNFI,tip-in,223,39,0.8251,Jake Allen,0.827,14699,2543,-0.07,-0.19,False
8474596,CNFI,wrist,514,109,0.7879,Jake Allen,0.8052,27362,5329,-0.99,-1.73,False
8474596,MNFI,wrist,442,52,0.8824,Jake Allen,0.8542,24932,3636,1.68,2.82,False
8479979,CNFI,backhand,342,58,0.8304,Jake Oettinger,0.8322,13408,2250,-0.09,-0.18,False
8479979,CNFI,snap,335,83,0.7522,Jake Oettinger,0.7519,7095,1760,0.01,0.03,False
8479979,CNFI,tip-in,403,72,0.8213,Jake Oettinger,0.827,14699,2543,-0.3,-0.57,False
8479979,CNFI,wrist,503,102,0.7972,Jake Oettinger,0.8052,27362,5329,-0.45,-0.8,False
8479979,MNFI,snap,364,61,0.8324,Jake Oettinger,0.8073,11549,2226,1.22,2.52,False
8479979,MNFI,wrist,524,83,0.8416,Jake Oettinger,0.8542,24932,3636,-0.81,-1.26,False
8473503,CNFI,tip-in,208,37,0.8221,James Reimer,0.827,14699,2543,-0.19,-0.49,False
8473503,CNFI,wrist,363,77,0.7879,James Reimer,0.8052,27362,5329,-0.84,-1.74,False
8473503,MNFI,wrist,373,58,0.8445,James Reimer,0.8542,24932,3636,-0.53,-0.97,False
8480280,CNFI,backhand,247,33,0.8664,Jeremy Swayman,0.8322,13408,2250,1.44,3.42,False
8480280,CNFI,tip-in,302,47,0.8444,Jeremy Swayman,0.827,14699,2543,0.8,1.74,False
8480280,CNFI,wrist,504,109,0.7837,Jeremy Swayman,0.8052,27362,5329,-1.22,-2.15,False
8480280,MNFI,snap,233,38,0.8369,Jeremy Swayman,0.8073,11549,2226,1.15,2.97,False
8480280,MNFI,wrist,486,78,0.8395,Jeremy Swayman,0.8542,24932,3636,-0.92,-1.47,False
8480981,CNFI,wrist,227,50,0.7797,Joel Hofer,0.8052,27362,5329,-0.97,-2.55,False
8480981,MNFI,wrist,231,41,0.8225,Joel Hofer,0.8542,24932,3636,-1.36,-3.17,False
8478916,CNFI,wrist,298,72,0.7584,Joey Daccord,0.8052,27362,5329,-2.04,-4.69,True
8478916,MNFI,wrist,322,46,0.8571,Joey Daccord,0.8542,24932,3636,0.15,0.3,False
8476434,CNFI,backhand,299,39,0.8696,John Gibson,0.8322,13408,2250,1.73,3.74,False
8476434,CNFI,tip-in,475,72,0.8484,John Gibson,0.827,14699,2543,1.23,2.14,False
8476434,CNFI,wrist,600,119,0.8017,John Gibson,0.8052,27362,5329,-0.22,-0.36,False
8476434,MNFI,snap,261,64,0.7548,John Gibson,0.8073,11549,2226,-2.15,-5.25,True
8476434,MNFI,wrist,481,77,0.8399,John Gibson,0.8542,24932,3636,-0.89,-1.42,False
8471734,CNFI,wrist,464,92,0.8017,Jonathan Quick,0.8052,27362,5329,-0.19,-0.35,False
8471734,MNFI,snap,200,41,0.795,Jonathan Quick,0.8073,11549,2226,-0.44,-1.23,False
8471734,MNFI,wrist,327,48,0.8532,Jonathan Quick,0.8542,24932,3636,-0.05,-0.1,False
8476914,CNFI,backhand,232,36,0.8448,Joonas Korpisalo,0.8322,13408,2250,0.52,1.26,False
8476914,CNFI,wrist,478,86,0.8201,Joonas Korpisalo,0.8052,27362,5329,0.82,1.48,False
8476914,MNFI,snap,217,45,0.7926,Joonas Korpisalo,0.8073,11549,2226,-0.55,-1.46,False
8476914,MNFI,wrist,346,57,0.8353,Joonas Korpisalo,0.8542,24932,3636,-1.0,-1.89,False
8476412,CNFI,backhand,289,62,0.7855,Jordan Binnington,0.8322,13408,2250,-2.13,-4.67,True
8476412,CNFI,tip-in,370,64,0.827,Jordan Binnington,0.827,14699,2543,0.0,0.0,False
8476412,CNFI,wrist,577,113,0.8042,Jordan Binnington,0.8052,27362,5329,-0.07,-0.11,False
8476412,MNFI,snap,211,49,0.7678,Jordan Binnington,0.8073,11549,2226,-1.45,-3.95,False
8476412,MNFI,wrist,600,87,0.855,Jordan Binnington,0.8542,24932,3636,0.06,0.08,False
8479361,CNFI,wrist,308,66,0.7857,Joseph Woll,0.8052,27362,5329,-0.87,-1.95,False
8479361,MNFI,wrist,256,40,0.8438,Joseph Woll,0.8542,24932,3636,-0.47,-1.04,False
8477424,CNFI,backhand,404,58,0.8564,Juuse Saros,0.8322,13408,2250,1.3,2.42,False
8477424,CNFI,tip-in,306,54,0.8235,Juuse Saros,0.827,14699,2543,-0.16,-0.35,False
8477424,CNFI,wrist,774,162,0.7907,Juuse Saros,0.8052,27362,5329,-1.02,-1.45,False
8477424,MNFI,snap,338,48,0.858,Juuse Saros,0.8073,11549,2226,2.36,5.07,True
8477424,MNFI,wrist,754,114,0.8488,Juuse Saros,0.8542,24932,3636,-0.42,-0.54,False
8478039,CNFI,wrist,268,55,0.7948,Kaapo Kahkonen,0.8052,27362,5329,-0.43,-1.05,False
8478039,MNFI,wrist,306,47,0.8464,Kaapo Kahkonen,0.8542,24932,3636,-0.38,-0.78,False
8478872,CNFI,backhand,296,60,0.7973,Karel Vejmelka,0.8322,13408,2250,-1.61,-3.49,False
8478872,CNFI,tip-in,330,57,0.8273,Karel Vejmelka,0.827,14699,2543,0.01,0.03,False
8478872,CNFI,wrist,584,126,0.7842,Karel Vejmelka,0.8052,27362,5329,-1.28,-2.1,False
8478872,MNFI,snap,295,56,0.8102,Karel Vejmelka,0.8073,11549,2226,0.13,0.29,False
8478872,MNFI,wrist,506,74,0.8538,Karel Vejmelka,0.8542,24932,3636,-0.03,-0.04,False
8480947,CNFI,wrist,370,77,0.7919,Kevin Lankinen,0.8052,27362,5329,-0.65,-1.33,False
8480947,MNFI,wrist,343,51,0.8513,Kevin Lankinen,0.8542,24932,3636,-0.15,-0.29,False
