goalie_id,goalie_name,total_faced,total_goals,toi_ES_min,spatial_save_pct,sv_lo,sv_hi,rank_spatial_savepct,NFI_GSAx_cumulative,rank_cumulative,NFI_GSAx_per60,rank_per60,rank_diff_per60_vs_cum,flag_gt20_shift,xG_calibrated,xG,NFI_GSAx,meets_4000min,rank_per60_4000min,rank_cumulative_4000min,tier,tier_label,rank_per60_tier2
8471734,Jonathan Quick,1750.0,258.0,7110.38,0.8246,0.8036,0.8438,63.0,-5.03,63.0,-0.042,57.0,6.0,0,252.97,176.34,-81.66,1,40.0,40.0,1,Qualified,
8476914,Joonas Korpisalo,1876.0,277.0,7366.43,0.8314,0.8114,0.8497,41.0,-6.72,67.0,-0.055,61.0,6.0,0,270.28,188.17,-88.83,1,44.0,44.0,1,Qualified,
8480843,Lukas Dostal,1828.0,264.0,6885.13,0.8279,0.8071,0.8469,49.0,-5.92,66.0,-0.052,59.0,7.0,0,258.08,179.78,-84.22,1,42.0,43.0,1,Qualified,
8481611,Pyotr Kochetkov,1179.0,178.0,5856.7,0.8289,0.8036,0.8516,45.0,-5.17,64.0,-0.053,60.0,4.0,0,172.83,120.49,-57.51,1,43.0,41.0,1,Qualified,
8478007,Elvis Merzlikins,2387.0,348.0,9484.8,0.8256,0.8075,0.8423,59.0,-9.94,72.0,-0.063,62.0,10.0,0,338.06,235.22,-112.78,1,45.0,47.0,1,Qualified,
8475660,Cam Talbot,2094.0,301.0,9520.07,0.8194,0.7994,0.8377,71.0,-10.55,74.0,-0.066,63.0,11.0,0,290.45,201.87,-99.13,1,46.0,48.0,1,Qualified,
8481020,Justus Annunen,718.0,106.0,3084.72,0.8282,0.7943,0.8575,48.0,-3.84,58.0,-0.075,64.0,-6.0,0,102.16,71.3,-34.7,0,,,2,Small Sample,12.0
8482076,Nico Daws,476.0,73.0,2379.3,0.8203,0.7788,0.8555,69.0,-3.2,55.0,-0.081,65.0,-10.0,0,69.8,48.6,-24.4,0,,,2,Small Sample,13.0
8471306,Thomas Greiss,604.0,90.0,2191.63,0.8201,0.7831,0.8519,70.0,-3.07,54.0,-0.084,66.0,-12.0,0,86.93,60.33,-29.67,0,,,2,Small Sample,13.0
8474889,Martin Jones,1065.0,161.0,4890.83,0.8174,0.7898,0.8421,75.0,-7.78,68.0,-0.095,67.0,1.0,0,153.22,106.5,-54.5,1,47.0,45.0,1,Qualified,
8478470,Samuel Montembeault,2237.0,335.0,8888.18,0.8214,0.8027,0.8387,68.0,-14.2,78.0,-0.096,68.0,10.0,0,320.8,223.52,-111.48,1,48.0,51.0,1,Qualified,
