player_id,player_name,position,pos_group,es_toi_min,CNFI_blocks,CNFI_blocks_per60,CNFI_blocks_lo95,CNFI_blocks_hi95,MNFI_blocks,MNFI_blocks_per60,MNFI_blocks_lo95,MNFI_blocks_hi95,FNFI_blocks,FNFI_blocks_per60,FNFI_blocks_lo95,FNFI_blocks_hi95,TNFI_blocks,TNFI_blocks_per60,TNFI_blocks_lo95,TNFI_blocks_hi95,blocks_xG_prevented_total,blocks_xG_prevented_per60,TNFI_blocks_per60_rank,xG_prevented_per60_rank,PK_TOI_min,PK_CNFI_blocks,PK_CNFI_blocks_per60,PK_CNFI_blocks_lo95,PK_CNFI_blocks_hi95,PK_MNFI_blocks,PK_MNFI_blocks_per60,PK_MNFI_blocks_lo95,PK_MNFI_blocks_hi95,PK_FNFI_blocks,PK_FNFI_blocks_per60,PK_FNFI_blocks_lo95,PK_FNFI_blocks_hi95,PK_TNFI_blocks,PK_TNFI_blocks_per60,PK_TNFI_blocks_lo95,PK_TNFI_blocks_hi95,PK_blocks_xG_prevented_total,PK_blocks_xG_prevented_per60,PK_TNFI_blocks_per60_rank,PK_xG_prevented_per60_rank
8481524,Bowen Byram,D,D,4990.733333333334,116,1.3946,1.1648,1.6682,102,1.2263,1.0119,1.4848,19,0.2284,0.1463,0.3563,237,2.8493,2.5155,3.2245,26.0277,0.3129,292,282,286.45,7.0,1.4662,0.7143,2.9791,18.0,3.7703,2.4107,5.8369,1.0,0.2095,0.037,1.1722,26.0,5.446,3.7676,7.7921,2.75233,0.5765,377.0,351.0
8478882,Vladislav Gavrikov,D,D,6812.45,135,1.189,1.0061,1.4045,157,1.3828,1.1846,1.6133,31,0.273,0.1925,0.3871,323,2.8448,2.5572,3.1634,34.42735,0.3032,293,291,410.23333333333335,40.0,5.8503,4.3479,7.8077,60.0,8.7755,6.9248,11.0302,4.0,0.585,0.228,1.4888,104.0,15.2109,12.8377,17.8757,11.37052,1.663,118.0,111.0
8475324,Nick Jensen,D,D,5757.033333333334,140,1.4591,1.2387,1.7175,115,1.1985,1.0001,1.4354,17,0.1772,0.1107,0.2835,272,2.8348,2.5237,3.1822,30.4009,0.3168,294,276,279.5,41.0,8.8014,6.5884,11.5572,23.0,4.9374,3.3214,7.2143,4.0,0.8587,0.3341,2.169,68.0,14.5975,11.7798,17.7807,7.7891,1.6721,126.0,109.0
8474641,Adam Henrique,C,F,4219.2,43,0.6115,0.4545,0.822,108,1.5358,1.2748,1.8488,48,0.6826,0.5155,0.9031,199,2.8299,2.4703,3.2392,18.06145,0.2568,295,352,318.71666666666664,5.0,0.9413,0.4028,2.1697,42.0,7.9067,5.9341,10.3913,9.0,1.6943,0.8948,3.1645,56.0,10.5423,8.2638,13.2653,5.16821,0.9729,196.0,211.0
8476913,Devin Shore,C,F,1400.6166666666666,6,0.257,0.1179,0.5587,35,1.4993,1.081,2.0727,25,1.071,0.7269,1.5726,66,2.8273,2.232,3.5698,5.134,0.2199,296,424,,,,,,,,,,,,,,,,,,,,,
8480196,Jacob Bryson,D,D,3332.2166666666667,81,1.4585,1.1762,1.8068,71,1.2784,1.0157,1.6075,5,0.09,0.0385,0.2105,157,2.8269,2.4258,3.291,17.873450000000002,0.3218,297,270,141.41666666666666,11.0,4.6671,2.6471,8.0577,19.0,8.0613,5.2795,12.0532,0.0,0.0,0.0,1.5914,30.0,12.7283,9.1979,17.2482,3.3407,1.4174,160.0,144.0
8475218,Mattias Ekholm,D,D,6306.633333333333,121,1.1512,0.9648,1.3725,150,1.4271,1.2181,1.6706,26,0.2474,0.1689,0.362,297,2.8256,2.528,3.156,31.72695,0.3018,298,293,436.7,40.0,5.4958,4.0764,7.3348,52.0,7.1445,5.5144,9.1632,1.0,0.1374,0.0242,0.7708,93.0,12.7777,10.6216,15.2164,10.467070000000001,1.4381,157.0,138.0
8478396,Noah Hanifin,D,D,6849.216666666666,152,1.3315,1.1378,1.5575,156,1.3666,1.1701,1.5952,14,0.1226,0.0731,0.2057,322,2.8208,2.535,3.1372,35.977000000000004,0.3152,299,278,489.5833333333333,14.0,1.7157,1.0257,2.843,46.0,5.6374,4.2672,7.3772,0.0,0.0,0.0,0.4667,60.0,7.3532,5.7795,9.2668,6.4406,0.7893,294.0,264.0
8480009,Eeli Tolvanen,R,F,4347.95,27,0.3726,0.2563,0.5412,116,1.6008,1.3374,1.9142,61,0.8418,0.6563,1.0787,204,2.8151,2.4614,3.2168,17.20915,0.2375,300,385,252.61666666666667,4.0,0.9501,0.3699,2.3964,7.0,1.6626,0.8079,3.36,2.0,0.475,0.1302,1.7016,13.0,3.0877,1.8163,5.1549,1.2911800000000002,0.3067,494.0,491.0
8479376,Victor Mete,D,D,598.3333333333334,9,0.9025,0.4763,1.7012,18,1.805,1.1474,2.8246,1,0.1003,0.0177,0.5647,28,2.8078,1.9555,4.0104,3.0140499999999997,0.3022,301,292,,,,,,,,,,,,,,,,,,,,,
