goalie_id,goalie_name,name_norm,total_faced,toi_ES_min,NFI_GSAx_cumulative,NFI_GSAx_per60,NFI_rank,playerId,name,seasons,games,icetime_min,xGoals,goals,MP_GSAx,MP_GSAx_per60,MP_rank
8471734,Jonathan Quick,jonathan quick,1750.0,7110.38,-5.03,-0.042,63,8471734,Jonathan Quick,5,163,7645.6,325.16,328.0,-2.84,-0.022,113
8481611,Pyotr Kochetkov,pyotr kochetkov,1179.0,5856.7,-5.17,-0.053,64,8481611,Pyotr Kochetkov,5,125,5928.6,217.68,225.0,-7.32,-0.074,148
8480947,Kevin Lankinen,kevin lankinen,1721.0,7123.25,-5.18,-0.044,65,8480947,Kevin Lankinen,5,173,8063.7,333.21000000000004,354.0,-20.79,-0.155,167
8480843,Lukas Dostal,lukas dostal,1828.0,6885.13,-5.92,-0.052,66,8480843,Lukas Dostal,5,177,7991.6,354.85,351.0,3.85,0.029,43
8476914,Joonas Korpisalo,joonas korpisalo,1876.0,7366.43,-6.72,-0.055,67,8476914,Joonas Korpisalo,5,174,7852.3,349.09000000000003,351.0,-1.91,-0.015,108
8474889,Martin Jones,martin jones,1065.0,4890.83,-7.78,-0.095,68,8474889,Martin Jones,3,105,4791.8,205.62,207.0,-1.38,-0.017,103
8477484,Spencer Martin,spencer martin,717.0,3029.22,-8.16,-0.162,69,8477484,Spencer Martin,5,69,3088.0,134.41,157.0,-22.59,-0.439,170
8481033,Akira Schmid,akira schmid,728.0,2787.48,-8.9,-0.192,70,8481033,Akira Schmid,5,82,3570.7,138.03,137.0,1.03,0.017,68
8480193,Daniil Tarasov,daniil tarasov,1049.0,4057.38,-9.85,-0.146,71,8480193,Daniil Tarasov,5,98,4523.4,217.54999999999998,221.0,-3.45,-0.046,118
8478007,Elvis Merzlikins,elvis merzlikins,2387.0,9484.8,-9.94,-0.063,72,8478007,Elvis Merzlikins,5,213,9989.4,465.8,488.0,-22.2,-0.133,169
8482137,Yaroslav Askarov,yaroslav askarov,626.0,1968.05,-10.52,-0.321,73,8482137,Yaroslav Askarov,4,63,2822.6,129.8,139.0,-9.2,-0.196,150
8475660,Cam Talbot,cam talbot,2094.0,9520.07,-10.55,-0.066,74,8475660,Cam Talbot,5,220,10135.9,403.53000000000003,401.0,2.53,0.015,54
8477992,Jonas Johansson,jonas johansson,863.0,3494.93,-13.21,-0.227,75,8477992,Jonas Johansson,5,84,3836.6,166.78,191.0,-24.22,-0.379,171
8481692,Dustin Wolf,dustin wolf,1179.0,5142.53,-13.32,-0.155,76,8481692,Dustin Wolf,4,128,6028.4,247.47,244.0,3.47,0.035,44
8475789,Jack Campbell,jack campbell,1049.0,4231.2,-14.18,-0.201,77,8475789,Jack Campbell,3,90,4192.0,167.71,193.0,-25.29,-0.362,172
8478470,Samuel Montembeault,samuel montembeault,2237.0,8888.18,-14.2,-0.096,78,8478470,Samuel Montembeault,1,25,1122.2,47.31,53.0,-5.69,-0.304,138
8478435,Dan Vladar,dan vladar,1373.0,6270.98,-14.53,-0.139,79,8478435,Dan Vladar,5,152,7047.7,269.57,265.0,4.57,0.039,41
8480045,Ukko-Pekka Luukkonen,ukko pekka luukkonen,1889.0,8424.15,-15.09,-0.107,80,8480045,Ukko-Pekka Luukkonen,5,186,8816.9,378.40000000000003,379.0,-0.6,-0.004,94
8479496,David Rittich,david rittich,1100.0,5182.88,-16.69,-0.193,81,8479496,David Rittich,5,126,5633.0,221.67000000000002,213.0,8.67,0.092,33
8481668,Arturs Silovs,arturs silovs,639.0,2075.6,-16.72,-0.483,82,8481668,Arturs Silovs,4,58,2732.7,111.07,129.0,-17.93,-0.394,165
8480051,Cayden Primeau,cayden primeau,506.0,2098.93,-16.95,-0.485,83,8480051,Cayden Primeau,5,52,2179.5,95.74,125.0,-29.26,-0.806,174
8479973,Stuart Skinner,stuart skinner,2604.0,9762.42,-18.14,-0.111,84,8479973,Stuart Skinner,5,223,10681.6,432.77,416.0,16.77,0.094,23
8479292,Charlie Lindgren,charlie lindgren,1442.0,6244.42,-19.6,-0.188,85,8479292,Charlie Lindgren,5,146,6820.9,276.65999999999997,286.0,-9.34,-0.082,152
8475852,Petr Mrazek,petr mrazek,1730.0,7370.63,-21.32,-0.174,86,8475852,Petr Mrazek,5,163,7413.0,344.9,372.0,-27.1,-0.219,173
8478039,Kaapo Kahkonen,kaapo kahkonen,1224.0,5072.38,-23.4,-0.277,87,8478039,Kaapo Kahkonen,4,111,4946.9,235.68,248.0,-12.32,-0.149,160
8477970,Vitek Vanecek,vitek vanecek,1704.0,7689.17,-24.14,-0.188,88,8477970,Vitek Vanecek,5,173,7864.6,311.77,319.0,-7.23,-0.055,146
8475717,Calvin Pickard,calvin pickard,720.0,3084.23,-26.34,-0.512,89,8475717,Calvin Pickard,4,78,3462.9,134.76,144.0,-9.24,-0.16,151
8482821,Arvid Soderblom,arvid soderblom,1258.0,4740.4,-26.83,-0.34,90,8482821,Arvid Soderblom,5,112,5301.0,258.33,297.0,-38.67,-0.438,176
8475831,Philipp Grubauer,philipp grubauer,1913.0,8122.48,-34.0,-0.251,91,8475831,Philipp Grubauer,5,188,8639.6,350.9,387.0,-36.1,-0.251,175
8473503,James Reimer,james reimer,1678.0,7008.38,-36.12,-0.309,92,8473503,James Reimer,5,154,7201.0,317.8,339.0,-21.2,-0.177,168
8481035,Samuel Ersson,samuel ersson,1167.0,5975.95,-36.65,-0.368,93,8481035,Samuel Ersson,4,143,6496.6,245.43,285.0,-39.57,-0.365,177
