season,team,fwd_RelNFI_A,fwd_RelNFI,fwd_NFI_ZA,goalie_id,goalie_name,CNFI_rebound_goal_rate,z_score,team_reb_goals,team_CNFI_saves,team_CNFI_reb_rate,points,exposed,GSAx_rate
20232024,DET,0.3670637707283108,0.10989715418926843,0.44055340191080183,8479312,Alex Lyon,1.5294,0.576,5,309,0.9708737864077669,91,True,0.07680608365019012
20232024,EDM,0.285315006661302,0.24321551568143235,0.5784772721791612,8479973,Stuart Skinner,1.5674,0.672,8,373,1.2868632707774799,104,True,-0.6966205837173579
20232024,FLA,0.32115993714609953,0.1146289224243659,0.5389916273631364,8475683,Sergei Bobrovsky,0.9346,-0.93,5,395,0.7594936708860759,110,False,0.7742628992628993
20232024,LAK,0.40453586190333946,0.0713956925787204,0.517866115924592,8475660,Cam Talbot,1.4634,0.409,7,321,1.308411214953271,99,True,-0.5038204393505253
20232024,MIN,0.34357060501937536,0.2659067698136602,0.5276221304248624,8479406,Filip Gustavsson,1.1643,-0.349,3,245,0.7346938775510203,87,False,-0.09834558823529412
20232024,MTL,0.40425577601711954,0.26477538186500243,0.46941858184291585,8478470,Samuel Montembeault,0.9644,-0.855,6,335,1.0746268656716418,76,False,-0.6347787215020116
20232024,NJD,0.32172787576237855,0.27996102776165843,0.5083845748535359,8477970,Vitek Vanecek,1.5764,0.695,3,329,0.547112462006079,81,True,-1.4166666666666667
20232024,NSH,0.29365419017767785,-0.032080439363077556,0.5277168372080621,8477424,Juuse Saros,1.1158,-0.471,5,335,0.8955223880597015,99,False,0.4897270775835633
20232024,NYI,0.26951446022863795,0.14820584119709715,0.5019666766428803,8478009,Ilya Sorokin,0.7482,-1.402,5,360,0.8333333333333333,94,False,2.293219303604154
20232024,NYR,0.4585106822581062,0.25103505765915,0.49471833389502473,8478048,Igor Shesterkin,1.4969,0.493,8,408,1.1764705882352942,114,True,2.2797101449275363
20232024,OTT,0.13945784187261856,0.051811554167463116,0.4934507980744922,8476914,Joonas Korpisalo,1.146,-0.395,2,323,0.3715170278637771,78,False,-0.3582089552238806
20232024,PIT,0.5593425100941358,0.40678063027134004,0.5191091168918305,8477465,Tristan Jarry,2.196,2.263,6,327,1.1009174311926606,88,True,0.02822240943555181
20232024,SEA,0.2937337531198381,-0.05587905698837457,0.508574873609218,8478916,Joey Daccord,1.1472,-0.392,4,264,0.9090909090909092,81,False,-0.3092852371409486
20232024,SJS,0.3724075108462439,0.14341235152762163,0.42302188988973877,8478406,Mackenzie Blackwood,1.3793,0.196,6,378,0.9523809523809523,47,True,-0.07836990595611285
20232024,STL,0.4476420142312346,0.24419149293951373,0.432495224587603,8476412,Jordan Binnington,1.3282,0.066,3,375,0.48,92,True,0.40893978574067236
20232024,TBL,0.4429556793929453,0.24055990138615313,0.5133856008260237,8476883,Andrei Vasilevskiy,1.0798,-0.562,5,329,0.9118541033434651,98,False,1.588420750931499
