player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P4_weighted,TNFI_rank_raw,P4_weighted_rank,rank_delta,weighting_flag
8482655,J.J. Moser,5155.82,761,8.856,8.2905,9.4524,507,5.9001,5.4301,6.4057,333,3.8752,3.4917,4.2974,1601,18.6314,17.8816,19.3967,1.8957,110,151,-41,HIGH_DANGER_MIX
8476462,Dougie Hamilton,4973.03,629,7.5889,7.0519,8.1606,542,6.5393,6.0376,7.0772,374,4.5123,4.092,4.9721,1545,18.6405,17.8779,19.4209,1.8202,111,96,15,LOW_DANGER_MIX
8474578,Erik Karlsson,6868.53,910,7.9493,7.48,8.4421,750,6.5516,6.1217,7.0069,475,4.1494,3.8033,4.5237,2135,18.6503,17.9988,19.3119,1.8555,112,121,-9,
8482178,Ian Moore,552.85,77,8.3567,6.772,10.2355,52,5.6435,4.3457,7.2742,43,4.6667,3.4943,6.1862,172,18.6669,16.4318,21.0484,1.8503,113,118,-5,
8482482,Adam Wilsby,962.4,128,7.98,6.7828,9.3591,98,6.1097,5.0588,7.3558,74,4.6135,3.703,5.7297,300,18.7032,17.0024,20.5094,1.8152,114,89,25,LOW_DANGER_MIX
8478500,Ivan Provorov,7190.8,985,8.2188,7.7534,8.7071,731,6.0995,5.6929,6.5312,526,4.3889,4.0412,4.7637,2242,18.7072,18.0705,19.355,1.8502,115,117,-2,
8479982,Conor Timmins,2065.5,255,7.4074,6.5963,8.2988,228,6.6231,5.8538,7.476,161,4.6768,4.0282,5.4172,644,18.7073,17.5263,19.9213,1.7869,116,65,51,LOW_DANGER_MIX
8482142,Jamie Drysdale,4239.93,585,8.2784,7.6751,8.9208,423,5.9859,5.4662,6.549,314,4.4435,3.9932,4.9398,1322,18.7078,17.8815,19.5541,1.8278,117,103,14,LOW_DANGER_MIX
8475200,Dmitry Orlov,6063.85,893,8.836,8.314,9.3843,607,6.0061,5.5678,6.4745,391,3.8688,3.5141,4.2564,1891,18.7109,18.0182,19.417,1.9135,118,165,-47,HIGH_DANGER_MIX
8480336,Sean Walker,4394.1,648,8.8482,8.2379,9.496,456,6.2265,5.7062,6.7887,267,3.6458,3.2446,4.0932,1371,18.7206,17.9092,19.5525,1.9276,119,181,-62,HIGH_DANGER_MIX
8479323,Adam Fox,6499.73,951,8.7788,8.2755,9.3065,632,5.8341,5.4159,6.2804,445,4.1079,3.7544,4.4916,2028,18.7208,18.051,19.4023,1.8953,120,150,-30,HIGH_DANGER_MIX
8479425,Filip Hronek,6266.98,960,9.191,8.6687,9.7388,577,5.5242,5.1095,5.9688,422,4.0402,3.6836,4.4286,1959,18.7554,18.0738,19.4507,1.925,121,179,-58,HIGH_DANGER_MIX
8480803,Evan Bouchard,6717.52,943,8.4228,7.9361,8.9329,738,6.5917,6.1559,7.0534,420,3.7514,3.4185,4.1137,2101,18.7659,18.1059,19.436,1.9106,122,162,-40,HIGH_DANGER_MIX
8475718,Justin Holl,4138.58,549,7.9592,7.3588,8.5989,447,6.4805,5.9341,7.0691,299,4.3348,3.8846,4.8318,1295,18.7745,17.9358,19.6303,1.8606,123,122,1,
8476958,Jaccob Slavin,6326.58,907,8.6018,8.0961,9.1323,632,5.9938,5.5645,6.4514,443,4.2013,3.8392,4.5942,1982,18.7969,18.1169,19.488,1.8801,124,138,-14,HIGH_DANGER_MIX
8479639,Dylan Coghlan,1023.88,137,8.0283,6.858,9.3609,121,7.0907,5.9883,8.3626,63,3.6918,2.9029,4.6766,321,18.8107,17.1482,20.5526,1.9352,125,190,-65,HIGH_DANGER_MIX
8476473,Connor Murphy,5184.4,677,7.835,7.3017,8.4025,579,6.7009,6.2041,7.2332,370,4.2821,3.8807,4.7222,1626,18.818,18.0701,19.5853,1.8409,126,112,14,LOW_DANGER_MIX
8475690,Chris Tanev,5180.57,648,7.505,6.9805,8.0615,552,6.3931,5.9059,6.9143,425,4.9222,4.4919,5.389,1625,18.8203,18.0692,19.5849,1.8,127,69,58,LOW_DANGER_MIX
8482671,Owen Power,5424.87,807,8.9256,8.3721,9.5084,553,6.1163,5.6498,6.6162,342,3.7826,3.4127,4.1894,1702,18.8244,18.0912,19.5725,1.9497,128,202,-74,HIGH_DANGER_MIX
8478851,Alexandre Carrier,5210.57,682,7.8533,7.3195,8.4184,528,6.08,5.6053,6.5888,425,4.8939,4.4659,5.3581,1635,18.8271,18.0781,19.5895,1.8125,129,84,45,LOW_DANGER_MIX
8477359,Tucker Poolman,633.08,83,7.8663,6.4222,9.5794,73,6.9185,5.5637,8.5536,43,4.0753,3.0492,5.4152,199,18.8601,16.7652,21.0943,1.863,130,128,2,
8476856,Mathew Dumba,4669.05,644,8.2758,7.7002,8.8872,464,5.9627,5.4674,6.4976,361,4.6391,4.2,5.1199,1469,18.8775,18.0879,19.6858,1.8396,131,110,21,LOW_DANGER_MIX
8477244,Chad Ruhwedel,2279.92,291,7.6582,6.8735,8.5174,255,6.7108,5.9731,7.5263,173,4.5528,3.9424,5.2485,719,18.9217,17.7961,20.0833,1.8227,132,101,31,LOW_DANGER_MIX
8474090,Brendan Smith,2710.55,370,8.1902,7.4443,8.9952,286,6.3308,5.6691,7.0574,199,4.405,3.8508,5.0302,855,18.926,17.8897,19.9875,1.8805,133,141,-8,
8474565,Alex Pietrangelo,5661.37,807,8.5527,8.0213,9.1143,611,6.4755,6.0068,6.9769,370,3.9213,3.5527,4.3258,1788,18.9495,18.2319,19.6846,1.9276,134,181,-47,HIGH_DANGER_MIX
8479026,Philippe Myers,1412.13,199,8.4553,7.4255,9.6036,135,5.736,4.881,6.7238,112,4.7588,3.9803,5.6751,446,18.9501,17.5287,20.435,1.8537,135,120,15,LOW_DANGER_MIX
8482166,Shakir Mukhamadullin,1117.45,155,8.3225,7.1836,9.6168,119,6.3895,5.3863,7.5598,79,4.2418,3.4269,5.2366,353,18.9539,17.3658,20.6329,1.9106,136,162,-26,HIGH_DANGER_MIX
8479395,Dennis Cholowski,762.65,107,8.418,7.0437,10.0009,70,5.5071,4.3953,6.8593,64,5.0351,3.974,6.3417,241,18.9602,17.032,20.9818,1.8308,137,107,30,LOW_DANGER_MIX
8478407,Vince Dunn,6119.82,875,8.5787,8.0657,9.1181,618,6.059,5.6208,6.5269,441,4.3237,3.9507,4.7286,1934,18.9614,18.269,19.6664,1.8995,138,155,-17,HIGH_DANGER_MIX
8477851,Jordan Oesterle,2309.17,313,8.1328,7.3319,9.0076,267,6.9376,6.1935,7.7593,150,3.8975,3.3369,4.5454,730,18.9679,17.8504,20.1247,1.917,139,168,-29,HIGH_DANGER_MIX
8480246,Nick Perbix,3971.65,534,8.0672,7.4511,8.7242,427,6.4507,5.8948,7.0511,297,4.4868,4.0199,5.0022,1258,19.0047,18.146,19.8813,1.879,140,137,3,
8479345,Jakob Chychrun,5665.4,773,8.1865,7.6655,8.7383,576,6.1002,5.6445,6.5891,446,4.7234,4.3199,5.1619,1795,19.0101,18.2922,19.7456,1.861,141,124,17,LOW_DANGER_MIX
8479371,Dante Fabbro,5041.67,655,7.795,7.2546,8.3683,520,6.1884,5.7023,6.71,423,5.034,4.5934,5.5121,1598,19.0175,18.2543,19.795,1.8144,142,87,55,LOW_DANGER_MIX
8475750,Jon Merrill,3665.57,441,7.2185,6.6096,7.8735,373,6.1055,5.5424,6.7172,349,5.7126,5.1671,6.3077,1163,19.0366,18.1423,19.9494,1.7492,143,51,92,LOW_DANGER_MIX
8476917,Adam Pelech,5647.13,797,8.468,7.938,9.0277,575,6.1093,5.6523,6.5991,421,4.4731,4.0792,4.9018,1793,19.0504,18.33,19.7866,1.9015,144,157,-13,HIGH_DANGER_MIX
8481568,Alex Vlasic,4203.2,601,8.5792,7.9641,9.2342,458,6.5379,5.9942,7.125,276,3.9399,3.5141,4.4136,1335,19.0569,18.2236,19.912,1.9243,145,176,-31,HIGH_DANGER_MIX
8477504,Josh Morrissey,7498.75,1042,8.3374,7.8785,8.8179,748,5.985,5.5901,6.4041,593,4.7448,4.391,5.1242,2383,19.0672,18.44,19.7043,1.8658,146,131,15,LOW_DANGER_MIX
8476979,Erik Gustafsson,4018.85,532,7.9426,7.3346,8.592,434,6.4795,5.9258,7.0776,314,4.6879,4.2137,5.2101,1280,19.1099,18.2557,19.9835,1.8448,147,115,32,LOW_DANGER_MIX
8474602,Justin Schultz,3215.92,448,8.3584,7.6659,9.1021,339,6.3248,5.7158,6.9899,238,4.4404,3.9274,5.0142,1025,19.1236,18.1703,20.1019,1.8966,148,152,-4,
8474056,P.K. Subban,1276.87,145,6.8136,5.8376,7.9272,156,7.3304,6.3195,8.4759,106,4.9809,4.1458,5.9651,407,19.1249,17.624,20.6871,1.8107,149,81,68,LOW_DANGER_MIX
