player_id,player_name,es_toi_min,QoT_spatial_TNFI,P5_weighted,P5_QoT_adj,z_P5_QoT_adj,P4_weighted,P4_QoT_adj,z_P4_QoT_adj,twoway_D_QoT_adj,twoway_D_score,off_rank_QoT_adj,def_rank_QoT_adj,twoway_D_rank_QoT_adj,twoway_D_rank_unadj,rank_delta
8480878,Nils Lundkvist,3024.13,3.4990412162327424,2.059,0.003843901253979709,0.023960763622835023,1.9412,0.05494885090473223,0.29086371903837616,-0.26690295541554115,0.8521674157731599,170,229,205,103,-102
8475455,Brenden Dillon,6018.13,3.40113622419374,1.9589,-0.012897634474473563,-0.08039675072729772,1.951,0.04068170909871771,0.21534268707102855,-0.2957394377983263,0.3592064090045615,183,218,206,154,-52
8480196,Jacob Bryson,3332.22,3.255845087761861,1.8205,-0.027593564304033036,-0.17200308439657377,1.9742,0.028166039132981657,0.14909281555319842,-0.32109589994977217,-0.3720004982253073,196,207,207,221,14
8478416,Erik Cernak,4891.45,3.4554105582354944,2.0659,0.04789200340957578,0.298532375651609,2.0144,0.11742350165296811,0.6215641606865692,-0.32303178503496016,0.5062158584904692,134,259,208,134,-74
8476462,Dougie Hamilton,4973.03,3.515963783543011,1.9644,-0.10516434487461312,-0.6555366130911486,1.8202,-0.061891219977293854,-0.32761213605046985,-0.3279244770406788,1.0562097512687485,271,137,209,82,-127
8481708,Zac Jones,1479.78,3.194137067957763,1.7098,-0.08575399857832777,-0.5345432033460088,1.9275,-0.0337031124318532,-0.1784025045781849,-0.3561406987678239,-0.6212541974520976,254,161,210,241,31
8481542,Moritz Seider,7249.85,3.098344276096234,1.4779,-0.23609390800929986,-1.4716794081910478,1.7741,-0.2106510302418767,-1.1150504708760243,-0.35662893731502354,-0.857612140293587,322,40,211,256,45
8483448,Isaiah George,512.7,3.3520689843611775,1.7352,-0.19482070693173226,-1.214405001374959,1.7611,-0.161280068288584,-0.853712492559898,-0.360692508815061,0.3468167991556475,304,59,212,156,-56
8476441,Joel Edmundson,4318.37,3.229195018906385,1.7749,-0.05050310934093494,-0.31480857212015334,1.9622,0.009614882006802938,0.05089497400887323,-0.36570354612902656,-0.5118922877227401,221,193,213,231,18
8480172,Jan Rutta,3897.13,3.1327522801046537,1.748,0.004710360352741194,0.029361792494943088,2.0514,0.07510719333269522,0.39756896130835573,-0.36820716881341264,-1.089565849506276,167,244,214,275,61
8479378,Logan Stanley,2851.35,3.264033376759092,1.8134,-0.04166525371031815,-0.25971824702954693,1.9654,0.021378895764096795,0.11316606313860877,-0.3728843101681557,-0.3581337170170605,211,202,215,219,4
8481599,Victor Soderstrom,782.7,3.11299352285584,1.8147,0.08823340099523769,0.5499984326331732,2.1561,0.17495006804506508,0.9260726402783138,-0.37607420764514066,-1.3331306241657688,98,287,216,284,68
8476875,Mike Matheson,6317.95,3.19741704414508,1.7677,-0.030646642468366236,-0.19103429237619649,1.9958,0.03540317589294517,0.18740154227874778,-0.37843583465494424,-0.716525122693273,203,215,217,247,30
8483565,Nick Blankenburg,2289.37,3.348631099149796,1.7988,-0.1282936158243817,-0.7997117511548765,1.8437,-0.07952517403009884,-0.42095489704911726,-0.3787568541057592,0.2032036691494984,281,121,218,173,-45
8481219,Jonathan Aspirot,523.75,3.1681528774072287,1.7081,-0.06533048705433031,-0.4072342795103471,1.9647,-0.0028905824236293842,-0.015300875997963578,-0.3919334035123835,-0.8200848139060529,231,185,219,253,34
8480860,Kevin Bahl,4274.2,3.370744663353768,1.753,-0.19292159091761318,-1.2025669579654068,1.7662,-0.15158918680973965,-0.8024152264426543,-0.4001517315227525,0.3992853325568983,302,67,220,146,-74
8481167,Brayden Pachal,2036.52,3.3631563333449352,1.72,-0.21946071979400372,-1.3679972725721434,1.7382,-0.18145456068485988,-0.9605032223290426,-0.4074940502431008,0.3973863606835113,313,50,221,148,-73
8481014,Alexander Romanov,5526.75,3.193502707040182,1.8306,0.03558611026374625,0.2218242145015834,2.0836,0.12224094808189956,0.6470646099501312,-0.42524039544854775,-0.8899759849627692,140,262,222,262,40
8478038,Devon Toews,6913.8,3.8800732158433022,2.3517,-0.027875126462193478,-0.17375818783733782,1.8403,0.04771466892148224,0.25257063299192517,-0.426328820829263,2.665164290362558,198,224,223,7,-216
8478854,Ryan Shea,1689.88,3.433461585809087,1.9907,-0.008620158557865354,-0.053733321422474355,1.9741,0.07172797461311875,0.37968156042486484,-0.4334148818473392,0.380999996175642,182,242,224,150,-74
8475167,Victor Hedman,6407.95,3.628432821232957,2.1513,-0.014022958043161005,-0.08741139815108528,1.924,0.06955607586020118,0.36818493150092835,-0.45559632965201363,1.3487003604021424,185,239,225,58,-167
8478178,Darren Raddysh,3645.08,3.6703621468586665,2.0328,-0.16822250838588904,-1.0486064789778766,1.7342,-0.10993679878645102,-0.5819343922157832,-0.4666720867620934,1.8009054479386437,296,99,226,32,-194
8477355,Will Butcher,586.3,3.292174828144026,1.7321,-0.14692550457154074,-0.9158526852268407,1.8523,-0.08480333337455148,-0.4488940628610896,-0.4669586223657511,-0.1359182178026473,290,118,227,202,-25
8475762,Derek Forbort,3310.68,3.286152141303965,1.5627,-0.31119765648820796,-1.9398348173937927,1.6639,-0.2746838386604846,-1.453998792641644,-0.4858360247521487,0.0840483857626244,336,24,228,179,-49
8476429,Scott Mayfield,4889.37,3.22950015575781,1.7133,-0.11236290956968409,-0.700408501229193,1.9125,-0.04001010882644729,-0.21178766909188523,-0.4886208321373077,-0.5286370566801881,275,153,229,234,5
8478454,Noah Juulsen,1803.3,3.185858035568914,1.5636,-0.2249050482519348,-1.4019342180466117,1.7954,-0.1678382757301622,-0.8884274060708249,-0.5135068119757867,-0.5882593587689663,315,56,230,236,6
8479345,Jakob Chychrun,5665.4,3.3334851480418592,1.774,-0.14019801981854552,-0.8739172500291128,1.861,-0.06594837287328414,-0.3490880825098603,-0.5248291675192525,0.0045866320353937,286,129,231,187,-44
8475790,Erik Gudbranson,4457.23,3.2592179141362045,1.7829,-0.06806526288614245,-0.4242813660346548,1.9646,0.019395152020361683,0.10266540528277329,-0.5269467713174281,-0.488865660450707,236,198,232,230,-2
8477938,Haydn Fleury,2045.45,3.1986740173224972,1.6112,-0.188216857086823,-1.1732402381098443,1.838,-0.12208783320600647,-0.6462541187112987,-0.5269861193985457,-0.5968968775757606,300,87,233,237,4
8473446,Erik Johnson,3309.48,3.3501935108319,2.0533,0.12487611249418884,0.7784089173762511,2.1722,0.2493589001905252,1.3199449286115905,-0.5415360112353395,-0.3610352876113365,74,311,234,220,-14
8479388,Riley Stillman,1425.98,3.0900411300797193,1.8433,0.1363755731902221,0.8500902227277971,2.2533,0.2665078788142017,1.4107205429886807,-0.5606303202608836,-1.7065711726393311,65,315,235,308,73
8480184,Gustav Lindstrom,2042.0,2.9965956579560564,1.5858,-0.04156289590995366,-0.2590802048693984,2.075,0.06523698241870202,0.3453224410105126,-0.604402645879911,-1.9280541787711645,210,234,236,316,80
8475753,Justin Faulk,6524.28,3.1756337466344204,1.7618,-0.017999863704159624,-0.11220123800319848,2.0606,0.09484837529214629,0.5020660255489614,-0.6142672635521599,-1.0758678169126352,190,250,237,273,36
8477950,Tony DeAngelo,4121.42,3.448416350931147,2.1468,0.13474702539103856,0.8399387525711896,2.1737,0.2750041758503847,1.455694450783104,-0.6157556982119144,0.0446314977637234,66,319,238,183,-55
8481572,Ville Heinola,536.6,3.3466530033358555,1.8495,-0.07590942152746183,-0.47317753131207013,1.952,0.028288567695746725,0.14974140260947855,-0.6229189339215486,-0.129614430288287,243,208,239,201,-38
8483466,Kevin Korchinski,1637.98,2.9396129609615627,1.5227,-0.05614657398819056,-0.34998682293674416,2.0784,0.054629416302876876,0.28917283861493875,-0.6391596615516829,-2.2245168880853052,228,228,240,323,83
8476891,Matt Grzelcyk,5326.63,3.4847724185769464,1.9464,-0.09660733048796533,-0.6021968976592363,1.897,0.007241275147547244,0.03833063267596545,-0.6405275303352018,0.5816562954717523,264,192,241,125,-116
8480160,Radim Simek,1010.23,3.257160923078516,1.8409,-0.008313895442887853,-0.051824245819460144,2.058,0.11228949960726142,0.5943880704867233,-0.6462123163061834,-0.7127803910381285,181,255,242,246,4
8477073,Kurtis MacDermid,1154.2,3.082278830149543,1.4478,-0.2525154338675504,-1.5740421572362804,1.8137,-0.1750002605898231,-0.9263383271852486,-0.6477038300510318,-1.1943473748677529,327,53,243,279,36
8480246,Nick Perbix,3971.65,3.4784294432425704,1.9188,-0.11880678173376769,-0.7405760517300037,1.879,-0.012317963903140328,-0.06520334334306191,-0.6753727083869419,0.5522030840828436,279,180,244,127,-117
8480865,Noah Dobson,6690.12,3.4556343276151087,1.8372,-0.18099851876347395,-1.1282450920622356,1.812,-0.0849214910457814,-0.4495195132412337,-0.6787255788210018,0.5360061271413544,299,117,245,131,-114
8475797,Jarred Tinordi,1433.67,2.773820120886885,1.4089,-0.028786902269534176,-0.17944169611531177,2.1598,0.09527398892988304,0.5043189491953575,-0.6837606453106693,-3.14627734137074,199,251,246,337,91
8483495,Simon Nemec,1998.25,3.3844321236452863,1.848,-0.10957539575347042,-0.6830326751523587,1.9193,0.004875483785084844,0.025807661534171782,-0.7088403366865305,0.0319254896046092,273,190,247,185,-62
8479369,Andrew Peeke,5477.77,3.112371976678825,1.591,-0.13493740091474882,-0.8411254487482716,1.957,-0.024302721303768315,-0.12864290671742845,-0.7124825420308432,-1.2982058713771978,284,167,248,282,34
8475181,Nick Leddy,5303.72,3.124472301083991,1.7637,0.027460116662288092,0.17117124528610012,2.1455,0.16717179733203236,0.8848994999845802,-0.71372825469848,-1.504096840894129,148,282,249,293,44
8475279,Ben Chiarot,6435.68,3.0493612502423035,1.647,-0.025288682100793825,-0.15763571801505938,2.1029,0.10610789396860065,0.5616666436309229,-0.7193023616459823,-1.8009634170489828,195,254,250,310,60
8476879,Cody Ceci,6451.35,3.456464369107675,2.2068,0.18789476564765772,1.171232497450333,2.2541,0.35738255091255433,1.8917523508921212,-0.7205198534417883,-0.1035836051502776,42,337,251,196,-55
