rank,player_name,es_toi_min,two_way_D_score,z_offensive,z_defensive,P5_weighted,P4_weighted,blocks_xG_prevented_per60,small_sample_flag
79,Jake Sanderson,4934.65,0.987818653096837,-0.8090659479630716,-1.7968846010599089,1.6829,1.5915,0.3312,N
80,Dante Fabbro,5041.67,0.9724138380445616,0.3218739578428551,-0.6505398802017064,1.9387,1.8144,0.441,N
81,Travis Dermott,1925.58,0.9600086364034376,0.3506116802343269,-0.6093969561691105,1.9452,1.8224,0.2602,Y
82,Artem Zub,5541.63,0.9321711337297428,-0.3704840923886077,-1.3026552261183506,1.7821,1.6876,0.3664,N
83,Travis Sanheim,7187.88,0.9260467187700738,-0.3046083902912339,-1.2306551090613078,1.797,1.7016,0.3771,N
84,Rasmus Andersson,7060.67,0.9139980196646376,0.1945437417083326,-0.7194542779563048,1.9099,1.801,0.3975,N
85,Alexander Edler,1485.13,0.9011362783658448,2.2141424476197757,1.313006169253931,2.3667,2.1962,0.537,Y
86,Ian Moore,552.85,0.896546192729858,0.4306351841244257,-0.4659110086054323,1.9633,1.8503,0.604,Y
87,Zach Whitecloud,4809.35,0.8960352203862751,0.8559534755182098,-0.0400817448680653,2.0595,1.9331,0.5339,N
88,Ryan McDonagh,5919.73,0.875047514636445,0.8143943077520818,-0.0606532068843633,2.0501,1.9291,0.4507,N
89,Brandon Montour,6429.37,0.8732758245129657,1.6349668117301115,0.7616909872171458,2.2357,2.089,0.2756,N
90,Nils Lundkvist,3024.13,0.8521674157731599,0.8537428814880978,0.0015754657149379,2.059,1.9412,0.2756,N
91,Justin Holl,4138.58,0.8462273908740265,0.4332878969605613,-0.4129394939134652,1.9639,1.8606,0.3243,N
92,Philip Broberg,3080.07,0.8428231299951198,0.6494839931056346,-0.1933391368894851,2.0128,1.9033,0.3473,N
93,Drew Doughty,5781.3,0.8409229871811672,-0.4699608237437027,-1.31088381092487,1.7596,1.686,0.2797,N
94,Nick Seeler,4433.52,0.8253340234207234,-0.399663933586102,-1.2249979570068257,1.7755,1.7027,0.714,N
95,Brock Faber,4264.25,0.8232466163066487,-0.5097515162857413,-1.33299813259239,1.7506,1.6817,0.3426,N
96,Dylan DeMelo,6523.6,0.8191987431686043,0.5358594599578155,-0.2833392832107889,1.9871,1.8858,0.3017,N
97,Kris Letang,6860.53,0.8140511511647701,0.683969259975401,-0.1300818911893691,2.0206,1.9156,0.3364,N
98,Joshua Mahura,2886.28,0.8124230159030166,0.854627119100143,0.0422041031971264,2.0592,1.9491,0.3546,N
99,Erik Gustafsson,4018.85,0.7784906282087718,0.2842938593309295,-0.4941967688778422,1.9302,1.8448,0.2636,N
100,Egor Zamula,2359.32,0.724921254654886,-1.041620439930983,-1.766541694585869,1.6303,1.5974,0.4528,N
