player_id,player_name,es_toi_min,P1a_weighted_CNFI,P1a_weighted_MNFI,P1a_weighted_total,P2_weighted,z_P1a_weighted,z_P2_weighted,twoway_score,off_rank,def_rank,twoway_rank
8475172,Nazem Kadri,5549.3,1.3853,0.9219,2.3072,1.7627,0.3022931041977054,-0.7638079343716085,1.066101038569314,199,137,137
8476826,Yanni Gourde,4848.17,1.371,0.8647,2.2357,1.7187,0.07249245094398561,-0.9907042608462413,1.063196711790227,255,81,138
8479977,Kailer Yamamoto,3109.75,1.6744,1.0345,2.7089,2.0138,1.59335495611406,0.5310481469415779,1.0623068091724823,43,455,139
8475692,Mats Zuccarello,5070.05,1.2181,0.962,2.1801,1.6874,-0.1062056794183481,-1.1521100567247862,1.045904377306438,295,55,140
8477962,Brendan Lemieux,1148.05,1.6556,0.9542,2.6098,1.9605,1.2748480367092536,0.2561941878257167,1.0186538488835368,66,390,141
8480113,Alex Iafallo,4499.58,1.4043,0.898,2.3023000000000002,1.7702,0.2865445279607382,-0.7251324241770686,1.0116769521378068,205,145,142
8478975,Mason Marchment,4106.85,1.6706,1.1492,2.8198,2.0929,1.9497870182936063,0.9389458611266579,1.0108411571669484,29,519,143
8479365,Trent Frederic,3615.73,1.705,0.91,2.615,1.9678,1.2915608114913435,0.29383835108173567,0.9977224604096078,63,403,144
8475722,Jason Zucker,3857.55,1.5696,0.9145,2.4841,1.8892,0.8708488463037635,-0.11148099575703974,0.9823298420608032,106,296,145
8478445,Mathew Barzal,4848.1,1.431,0.9131,2.3441,1.8046,0.4208895252475279,-0.5477407507514469,0.9686302759989748,178,185,146
8482113,Anton Lundell,4323.0,1.6618,1.0381,2.6999,2.0272,1.5644289997604452,0.6001483918224902,0.964280607937955,46,473,147
8476392,Adam Lowry,4624.95,1.5523,0.8835,2.4358,1.8634,0.7156128805393616,-0.24452475082625633,0.9601376313656179,127,262,148
8481535,Nils Hoglander,2844.07,1.4383,0.9018,2.3401,1.8042,0.4080335446459212,-0.5498034446284887,0.9578369892744099,181,182,149
8480039,Martin Necas,5355.32,1.5029,1.118,2.6209,1.9797,1.310523382878712,0.3552034939237387,0.9553198889549732,62,415,150
8483570,Ben Meyers,983.23,1.466,0.7148,2.1808,1.7058,-0.10395588281306646,-1.057226138380849,0.9532702555677826,293,69,151
