name,name_raw,season_end_year,age,height_in,weight_lbs
philipp grubauer,Philipp Grubauer,2014,22.0,73.0,188.0
jacob markstram,Jacob MarkstrÃ¶m,2014,24.0,78.0,207.0
michal neuvirth,Michal Neuvirth,2014,25.0,73.0,209.0
viktor fasth,Viktor Fasth,2014,31.0,72.0,181.0
joey macdonald,Joey MacDonald,2014,33.0,72.0,197.0
petr mrazek,Petr MrÃ¡zek,2014,21.0,74.0,192.0
joni ortio,Joni Ortio,2014,22.0,73.0,190.0
matt hackett,Matt Hackett,2014,23.0,74.0,179.0
jason labarbera,Jason LaBarbera,2014,34.0,75.0,232.0
nathan lieuwen,Nathan Lieuwen,2014,22.0,77.0,189.0
nikolai khabibulin,Nikolai Khabibulin,2014,41.0,73.0,208.0
mike mckenna,Mike McKenna,2014,30.0,74.0,183.0
richard bachman,Richard Bachman,2014,26.0,70.0,183.0
john gibson,John Gibson,2014,20.0,75.0,209.0
michael hutchinson,Michael Hutchinson,2014,23.0,75.0,198.0
dustin tokarski,Dustin Tokarski,2014,24.0,72.0,198.0
martin biron,Martin Biron,2014,36.0,74.0,186.0
john curry,John Curry,2014,29.0,71.0,185.0
connor knapp,Connor Knapp,2014,23.0,78.0,206.0
drew macintyre,Drew MacIntyre,2014,30.0,73.0,190.0
sami aittokallio,Sami Aittokallio,2014,21.0,73.0,174.0
jack campbell,Jack Campbell,2014,22.0,75.0,200.0
cadrick desjardins,CÃ©drick Desjardins,2014,28.0,72.0,192.0
joacim eriksson,Joacim Eriksson,2014,23.0,73.0,189.0
kristers gudlevskis,Kristers Gudlevskis,2014,21.0,75.0,214.0
andrew hammond,Andrew Hammond,2014,25.0,74.0,224.0
cal heeter,Cal Heeter,2014,25.0,76.0,195.0
magnus hellberg,Magnus Hellberg,2014,22.0,78.0,206.0
nathan lawson,Nathan Lawson,2014,30.0,74.0,203.0
cristopher nilstorp,Cristopher Nilstorp,2014,29.0,75.0,192.0
kent simpson,Kent Simpson,2014,21.0,74.0,198.0
niklas svedberg,Niklas Svedberg,2014,24.0,73.0,163.0
mark visentin,Mark Visentin,2014,21.0,74.0,195.0
league average,League Average,2014,,,
braden holtby,Braden Holtby,2015,25.0,73.0,215.0
jonathan quick,Jonathan Quick,2015,29.0,73.0,219.0
tuukka rask,Tuukka Rask,2015,27.0,75.0,176.0
cory schneider,Cory Schneider,2015,28.0,74.0,210.0
carey price,Carey Price,2015,27.0,75.0,217.0
kari lehtonen,Kari Lehtonen,2015,31.0,76.0,209.0
