team,season,ca_D,ca_O,cf_D,cf_O,cm_a_D,cm_a_O,cm_f_D,cm_f_O,fen_a_D,fen_a_O,fen_f_D,fen_f_O,n_shifts_D,n_shifts_O,sec_D,sec_O,Corsi_DZ,Fenwick_DZ,CNFI_MNFI_DZ,V5_DZ,V1_DZ,OZ_ratio
MIN,20252026,8710.0,7839.0,8781.0,8867.0,2221.0,1730.0,2045.0,2335.0,6869.0,5386.0,5759.0,6687.0,4347.0,4363.0,586231.0,581795.0,0.5020296152306901,0.4560500475134621,0.47937177684013127,0.47937177684013127,12.558189519148595,0.5009184845005741
MTL,20222023,13878.0,12340.0,11761.0,12545.0,4081.0,3390.0,2505.0,3020.0,11259.0,8859.0,7177.0,9174.0,6757.0,6401.0,879979.0,878391.0,0.4587152385038418,0.38929268821870255,0.3803522623747343,0.3803522623747343,10.247971826600407,0.4864721082231342
MTL,20232024,14713.0,12225.0,13098.0,12312.0,3827.0,2999.0,2733.0,2912.0,11309.0,8478.0,7918.0,8794.0,7339.0,6067.0,937091.0,802484.0,0.47096472618747975,0.41181671607635095,0.4166158536585366,0.4166158536585366,10.49930049482921,0.45255855587050575
MTL,20242025,12631.0,12019.0,11819.0,12154.0,3213.0,2613.0,2506.0,2878.0,9551.0,7747.0,7150.0,8613.0,6416.0,6172.0,826016.0,811217.0,0.4833946830265849,0.4281180767618705,0.43818849449204406,0.43818849449204406,10.921822337581839,0.49030823006037494
MTL,20252026,8247.0,7210.0,8071.0,7861.0,2281.0,1933.0,1811.0,1982.0,6429.0,4923.0,5019.0,5789.0,4327.0,3989.0,572714.0,528131.0,0.49460718225272704,0.43841719077568136,0.4425708699902248,0.4425708699902248,11.383692383982233,0.4796777296777297
NJD,20222023,14395.0,14043.0,13915.0,16525.0,3823.0,3337.0,3643.0,4636.0,11196.0,9102.0,9691.0,13241.0,7286.0,7659.0,927162.0,1011886.0,0.4915224302366655,0.46397280605161106,0.487945352263595,0.487945352263595,14.14510085616106,0.5124790899966544
NJD,20232024,12805.0,13445.0,11555.0,13667.0,3090.0,2887.0,2518.0,3339.0,9725.0,8614.0,7633.0,10616.0,6678.0,7080.0,833190.0,912509.0,0.4743431855500821,0.43973960133655954,0.44900142653352354,0.44900142653352354,10.879631296583012,0.5146096816397733
NJD,20242025,12930.0,12606.0,11850.0,12703.0,2983.0,2534.0,2559.0,3175.0,9731.0,7954.0,7588.0,9630.0,6567.0,6740.0,838747.0,871224.0,0.4782082324455206,0.43813153184363995,0.461746661854926,0.461746661854926,10.983526617680898,0.5065003381678815
NJD,20252026,8185.0,9452.0,7629.0,9276.0,2332.0,2347.0,1611.0,2350.0,6442.0,6435.0,5010.0,7088.0,4141.0,4632.0,540405.0,625456.0,0.4824206399392943,0.4374781697520084,0.40857215318285567,0.40857215318285567,10.731951036722458,0.5279835860025077
NSH,20222023,15611.0,12622.0,12391.0,13394.0,4358.0,3251.0,2886.0,3738.0,12563.0,8691.0,7845.0,10399.0,6834.0,6306.0,903097.0,828930.0,0.44250410684951075,0.38440807526460213,0.39839867476532304,0.39839867476532304,11.50441203990269,0.47990867579908675
NSH,20232024,12416.0,13384.0,12090.0,14567.0,2837.0,2728.0,2576.0,3425.0,9207.0,8700.0,8057.0,10920.0,6646.0,7191.0,826529.0,913952.0,0.4933485676977067,0.46669369786839665,0.47589137262146686,0.47589137262146686,11.21993299690634,0.5196935751969357
NSH,20242025,12161.0,12588.0,11175.0,12576.0,2959.0,2791.0,2449.0,3064.0,9147.0,8233.0,7347.0,9579.0,6371.0,6774.0,806973.0,850595.0,0.47887384298937263,0.44543470352855585,0.45284763313609466,0.45284763313609466,10.925272592763326,0.5153290224419932
NSH,20252026,10120.0,8536.0,8495.0,7769.0,2608.0,2021.0,1996.0,2134.0,7808.0,5759.0,5535.0,6037.0,4903.0,4251.0,656982.0,551974.0,0.45635240397528876,0.41482425241699766,0.43353605560382275,0.43353605560382275,10.93728595303981,0.4643871531570898
NYI,20222023,14789.0,12992.0,12635.0,14738.0,4465.0,3218.0,3058.0,4252.0,11859.0,8674.0,8224.0,11497.0,6982.0,6622.0,879064.0,859116.0,0.460727829638273,0.409500572623612,0.4064867738933936,0.4064867738933936,12.523320258820746,0.48676859747133194
NYI,20232024,15195.0,14098.0,14763.0,15060.0,3509.0,2924.0,3080.0,3667.0,12005.0,9560.0,8890.0,10840.0,7496.0,7101.0,960749.0,917705.0,0.4927899058682155,0.42546063651591287,0.4674457429048414,0.4674457429048414,11.54099561904306,0.48646982256628074
NYI,20242025,13128.0,12947.0,12427.0,14009.0,3443.0,2852.0,2404.0,3362.0,9966.0,8439.0,7989.0,10382.0,6813.0,7030.0,856968.0,879105.0,0.486284484445314,0.44494569757727653,0.41115101761587136,0.41115101761587136,10.098860167474164,0.5078378964097378
