player_id,player_name,es_toi_min,TNFI_SA_per60,P4_weighted,TNFI_SF_per60,P5_weighted,z_P5_weighted,z_P4_weighted,twoway_D_score,off_rank,def_rank,twoway_D_rank
8482655,J.J. Moser,5155.82,18.6314,1.8957,18.259,1.842,-0.10565492758104286,-0.23242491472045143,0.12676998713940857,175,151,176
8478468,Jeremy Lauzon,4338.93,18.2533,1.8057,17.5757,1.7301,-0.6003858715203835,-0.695282810087154,0.0948969385667705,253,74,177
8478502,Dennis Gilbert,996.18,17.9485,1.8087,17.6474,1.733,-0.5875644261457262,-0.679854213574931,0.0922897874292048,250,78,178
8475762,Derek Forbort,3310.68,17.0539,1.6639,16.0209,1.5627,-1.3404927528022916,-1.424541138564916,0.08404838576262441,319,24,179
8476779,Brad Hunt,1175.15,22.3631,2.1265,21.9546,2.0968,1.0208637901646571,0.9545484436199393,0.06631534654471782,46,294,180
8482929,Emil Lilleberg,2034.07,17.9345,1.7564,17.1676,1.6656,-0.8855525014049896,-0.9488260794380264,0.06327357803303679,290,54,181
8474574,Tyler Myers,6147.8,19.607,1.9061,18.592,1.8377,-0.12466603624001746,-0.17893911347807703,0.054273077238059575,177,161,182
8477950,Tony DeAngelo,4121.42,21.3276,2.1737,21.9391,2.1468,1.2419231931759789,1.1972916954122554,0.04463149776372344,38,305,183
8482733,Logan Mailloux,802.53,19.8123,2.0545,19.887,2.0071,0.6242832211623437,0.5842621273265763,0.04002109383576735,88,253,184
8483495,Simon Nemec,1998.25,19.7873,1.9193,18.4662,1.848,-0.07912779921968412,-0.11105328882429337,0.03192548960460925,169,170,185
8475750,Jon Merrill,3665.57,19.0366,1.7492,17.1379,1.6463,-0.9708814309673597,-0.9858547110673621,0.014973280100002428,297,51,186
8479345,Jakob Chychrun,5665.4,19.0101,1.861,18.7348,1.774,-0.40629571567644196,-0.4108823477118357,0.004586632035393723,224,124,187
8477369,Carson Soucy,4446.03,19.2576,1.9344,18.6773,1.8584,-0.03314744339332916,-0.033396019712769266,0.00024857631944010666,162,188,188
8475197,Tyson Barrie,3367.83,21.3965,2.0971,20.3811,2.0462,0.7971516743171976,0.8033481978001502,-0.006196523482952632,67,274,189
8476874,Olli Määttä,5126.98,18.3968,1.8246,17.5425,1.7214,-0.6388502076443533,-0.5980826520601467,-0.04076755558420664,258,102,190
8475179,Dmitry Kulikov,4882.2,21.2609,2.0665,20.3638,2.0027,0.6048299936973475,0.6459765133754701,-0.04114651967812266,91,258,191
8481605,Jackson LaCombe,3430.42,17.9104,1.8093,16.7035,1.6971,-0.746285077507856,-0.6767684942724868,-0.06951658323536924,281,80,192
8478443,Brandon Carlo,5648.6,19.874,1.9182,18.1425,1.8235,-0.18744690669523306,-0.11671044087877581,-0.07073646581645725,185,169,193
