player_id,player_name,es_toi_min,CNFI_SF,CNFI_SF_per60,CNFI_SF_lo95,CNFI_SF_hi95,MNFI_SF,MNFI_SF_per60,MNFI_SF_lo95,MNFI_SF_hi95,FNFI_SF,FNFI_SF_per60,FNFI_SF_lo95,FNFI_SF_hi95,TNFI_SF,TNFI_SF_per60,TNFI_SF_lo95,TNFI_SF_hi95,P5_weighted,TNFI_rank_raw,P5_weighted_rank,rank_delta,weighting_flag
8475462,Radko Gudas,5096.75,765,9.0057,8.4328,9.6094,552,6.4983,6.0036,7.0276,400,4.7089,4.2845,5.1709,1717,20.2129,19.441,20.9975,2.005,84,90,-6,
8476902,Esa Lindell,6605.08,1001,9.093,8.5864,9.6241,766,6.9583,6.5084,7.4351,458,4.1604,3.8077,4.5433,2225,20.2117,19.5339,20.9014,2.0412,85,70,15,HIGH_DANGER_MIX
8474090,Brendan Smith,2710.55,419,9.2749,8.4863,10.1191,291,6.4415,5.7743,7.1732,203,4.4936,3.9338,5.124,913,20.2099,19.1536,21.2872,2.0356,86,73,13,HIGH_DANGER_MIX
8474602,Justin Schultz,3215.92,436,8.1345,7.4505,8.8704,369,6.8845,6.2508,7.573,278,5.1867,4.633,5.7993,1083,20.2057,19.2374,21.1964,1.9632,87,113,-26,LOW_DANGER_MIX
8477018,Ben Hutton,2373.4,337,8.5194,7.7129,9.3983,272,6.8762,6.1454,7.6841,190,4.8032,4.1888,5.5007,799,20.1989,19.0781,21.3582,1.9823,88,100,-12,LOW_DANGER_MIX
8474568,Luke Schenn,4195.6,650,9.2955,8.6567,9.9703,457,6.5354,5.9905,7.122,305,4.3617,3.913,4.8565,1412,20.1926,19.3421,21.0571,2.0619,89,55,34,HIGH_DANGER_MIX
8479985,Cale Fleury,573.8,89,9.3064,7.6646,11.2168,52,5.4374,4.1852,7.0125,52,5.4374,4.1852,7.0125,193,20.1812,17.9274,22.5516,1.9687,90,107,-17,LOW_DANGER_MIX
8479982,Conor Timmins,2065.5,342,9.9346,9.0081,10.9309,204,5.9259,5.1968,6.7416,148,4.2992,3.6776,5.0142,694,20.1598,18.9522,21.3942,2.0592,91,58,33,HIGH_DANGER_MIX
8471724,Kris Letang,6860.53,1048,9.1655,8.6658,9.6872,750,6.5593,6.1288,7.015,505,4.4166,4.0597,4.8015,2303,20.1413,19.4752,20.8157,2.0206,92,84,8,
8478859,Niko Mikkola,5424.8,825,9.1248,8.5659,9.7125,608,6.7247,6.2371,7.2447,384,4.2472,3.8555,4.675,1817,20.0966,19.3495,20.8562,2.0188,93,85,8,
8477244,Chad Ruhwedel,2279.92,332,8.7372,7.9039,9.6413,264,6.9476,6.1978,7.7745,166,4.3686,3.7707,5.0523,762,20.0534,18.9085,21.2303,1.9992,94,92,2,
8474056,P.K. Subban,1276.87,162,7.6124,6.5831,8.7744,154,7.2365,6.2317,8.3762,110,5.1689,4.3179,6.1678,426,20.0178,18.496,21.5952,1.9412,95,120,-25,LOW_DANGER_MIX
8476331,Dylan DeMelo,6523.6,983,9.041,8.532,9.5736,668,6.1438,5.716,6.599,525,4.8286,4.4469,5.2394,2176,20.0135,19.3319,20.7044,1.9871,96,98,-2,
8480084,Nick DeSimone,934.53,134,8.6032,7.3388,10.0342,99,6.3561,5.2648,7.6346,78,5.0078,4.0414,6.1738,311,19.9672,18.1895,21.8071,1.9382,97,122,-25,LOW_DANGER_MIX
8482730,Brandt Clarke,2213.1,357,9.6787,8.795,10.6338,205,5.5578,4.8751,6.3258,172,4.6631,4.0371,5.3774,734,19.8997,18.742,21.0942,1.9794,98,102,-4,
8482733,Logan Mailloux,802.53,117,8.7473,7.3793,10.3076,101,7.5511,6.2766,9.0306,48,3.5886,2.7228,4.7018,266,19.887,17.9745,21.8729,2.0071,99,88,11,HIGH_DANGER_MIX
8479421,Jacob Moverare,1086.35,161,8.8922,7.7014,10.2374,108,5.9649,4.9822,7.121,91,5.026,4.1247,6.1066,360,19.8831,18.2478,21.6025,1.9708,100,105,-5,
8480426,Charle-Edouard D'Astous,748.9,103,8.2521,6.8817,9.8422,75,6.0088,4.8381,7.4228,70,5.6082,4.4782,6.9857,248,19.8691,17.9005,21.9359,1.9227,101,128,-27,LOW_DANGER_MIX
8483425,Lian Bichsel,864.4,133,9.2318,7.8844,10.7716,93,6.4553,5.321,7.8041,60,4.1647,3.2598,5.3022,286,19.8519,18.0269,21.7851,2.0263,102,81,21,HIGH_DANGER_MIX
8478854,Ryan Shea,1689.88,264,9.3734,8.3811,10.458,164,5.8229,5.0297,6.7249,131,4.6512,3.9421,5.4746,559,19.8475,18.5246,21.2138,1.9907,103,96,7,
8475455,Brenden Dillon,6018.13,883,8.8034,8.2807,9.3535,634,6.3209,5.8706,6.8016,473,4.7157,4.3238,5.1401,1990,19.84,19.134,20.5599,1.9589,104,115,-11,LOW_DANGER_MIX
8480817,K'Andre Miller,6612.35,990,8.9832,8.4798,9.5119,700,6.3518,5.9208,6.8109,495,4.4916,4.1259,4.8874,2185,19.8265,19.1534,20.5136,1.9739,105,103,2,
8476462,Dougie Hamilton,4973.03,736,8.8799,8.3041,9.4884,549,6.6237,6.1191,7.1645,358,4.3193,3.9078,4.7705,1643,19.8229,19.0468,20.615,1.9644,106,110,-4,
8475208,Brian Dumoulin,6187.98,876,8.4939,7.986,9.0284,640,6.2056,5.765,6.6757,524,5.0808,4.6799,5.5126,2040,19.7803,19.084,20.4891,1.9104,107,137,-30,LOW_DANGER_MIX
8481527,Kaedan Korczak,1774.95,279,9.4313,8.4596,10.4912,189,6.3889,5.5782,7.3013,117,3.955,3.317,4.7053,585,19.7752,18.4859,21.1076,2.0372,108,71,37,HIGH_DANGER_MIX
8480434,Sean Durzi,4699.42,683,8.7202,8.1337,9.343,538,6.8689,6.3421,7.4348,327,4.175,3.7596,4.6333,1548,19.7642,18.9682,20.5803,1.9842,109,99,10,
8474567,Zach Bogosian,3803.15,542,8.5508,7.9061,9.2394,441,6.9574,6.3702,7.5916,268,4.2281,3.7657,4.7428,1251,19.7363,18.8518,20.643,1.97,110,106,4,
