game_id,season,game_type,game_date,home_abbrev,away_abbrev
2023020067,20232024,regular,2023-10-21,BUF,NYI
2023020068,20232024,regular,2023-10-21,FLA,VAN
2023020069,20232024,regular,2023-10-21,MTL,WSH
2023020070,20232024,regular,2023-10-21,TBL,TOR
2023020071,20232024,regular,2023-10-21,CHI,VGK
2023020072,20232024,regular,2023-10-21,DAL,PHI
2023020073,20232024,regular,2023-10-21,MIN,CBJ
2023020074,20232024,regular,2023-10-21,NSH,SJS
2023020075,20232024,regular,2023-10-21,STL,PIT
2023020076,20232024,regular,2023-10-21,COL,CAR
2023020077,20232024,regular,2023-10-21,EDM,WPG
2023020078,20232024,regular,2023-10-21,SEA,NYR
2023020079,20232024,regular,2023-10-21,LAK,BOS
2023020080,20232024,regular,2023-10-22,DET,CGY
2023020081,20232024,regular,2023-10-22,ANA,BOS
2023020082,20232024,regular,2023-10-23,BUF,MTL
2023020083,20232024,regular,2023-10-24,WSH,TOR
2023020085,20232024,regular,2023-10-24,OTT,BUF
2023020086,20232024,regular,2023-10-24,TBL,CAR
2023020087,20232024,regular,2023-10-24,MTL,NJD
2023020088,20232024,regular,2023-10-24,PIT,DAL
2023020089,20232024,regular,2023-10-24,FLA,SJS
2023020090,20232024,regular,2023-10-24,NYI,COL
2023020091,20232024,regular,2023-10-24,DET,SEA
2023020084,20232024,regular,2023-10-24,CBJ,ANA
2023020092,20232024,regular,2023-10-24,CHI,BOS
2023020093,20232024,regular,2023-10-24,WPG,STL
2023020094,20232024,regular,2023-10-24,MIN,EDM
2023020095,20232024,regular,2023-10-24,NSH,VAN
2023020096,20232024,regular,2023-10-24,CGY,NYR
2023020097,20232024,regular,2023-10-24,LAK,ARI
2023020098,20232024,regular,2023-10-24,VGK,PHI
2023020099,20232024,regular,2023-10-25,NJD,WSH
2023020100,20232024,regular,2023-10-26,BOS,ANA
2023020101,20232024,regular,2023-10-26,CAR,SEA
2023020102,20232024,regular,2023-10-26,DET,WPG
2023020103,20232024,regular,2023-10-26,MTL,CBJ
