player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Erik Cernak,TBL,D,276,4,0.7901,0.8137,8.9,7.8,8.5,8.0,7.4,7.2,4.6,4.6,7.9,7.6,5.8,5.8,9.0,9.0,6.8,6.6,0.1667,0.0035,-0.1219,0.0161,-0.1219,DECLINING
Noah Juulsen,PHI,D,153,3,0.776,0.8351,7.9,8.1,7.7,8.0,6.1,5.9,5.0,4.8,5.5,5.4,4.0,4.0,6.7,6.9,4.5,4.4,,-0.173,-0.1654,-0.1692,-0.1654,DECLINING
Charlie McAvoy,BOS,D,260,4,0.7936,0.782,9.3,7.9,8.7,7.9,6.9,6.7,6.8,6.5,7.2,6.8,3.9,4.0,8.2,8.1,4.8,4.4,0.0723,-0.1753,-0.0368,-0.0466,-0.0368,STABLE
Denton Mateychuk,CBJ,D,120,2,0.7702,0.8101,7.7,8.4,7.4,7.9,7.9,7.8,2.2,2.6,8.3,7.7,6.9,7.0,7.6,7.7,6.0,5.9,,,0.0904,0.0904,0.0904,RISING
Troy Stecher,TOR,D,265,4,0.776,0.8065,8.1,8.2,7.7,7.9,7.5,7.6,7.0,7.2,8.0,8.1,5.1,5.1,8.1,8.3,5.2,5.4,-0.1088,0.0205,-0.1447,-0.0777,-0.1447,DECLINING
Jon Merrill,MIN,D,208,3,0.7816,0.8089,8.3,8.0,7.9,7.9,7.2,7.4,7.3,7.6,7.2,7.6,3.7,3.6,7.4,7.7,3.8,3.9,0.1955,-0.2485,,-0.0265,-0.2485,DECLINING
Sebastian Aho,NYI,D,129,2,0.7947,0.8194,9.1,7.7,8.7,7.9,5.9,5.9,4.2,4.3,8.7,8.9,7.4,7.3,8.3,8.3,5.9,5.7,0.164,,,0.164,,
Kaedan Korczak,VGK,D,154,3,0.7724,0.849,7.5,8.0,7.4,7.9,7.2,7.1,3.0,3.3,7.8,7.9,7.0,6.9,7.4,7.7,5.5,5.5,,-0.0541,0.0591,0.0025,0.0591,RISING
Emil Andrae,PHI,D,107,2,0.7613,0.8466,6.9,8.3,6.8,7.9,7.2,7.1,6.9,6.9,5.3,4.9,2.8,3.0,7.2,7.4,5.0,5.0,,,-0.0951,-0.0951,-0.0951,DECLINING
Ivan Provorov,CBJ,D,328,4,0.7862,0.8109,8.6,7.9,8.3,7.9,9.1,9.2,5.5,5.9,8.0,7.6,6.0,6.0,8.2,8.2,5.6,5.3,0.0854,-0.2307,-0.1002,-0.0818,-0.1002,DECLINING
John Marino,UTA,D,253,4,0.7924,0.8237,8.9,7.7,8.6,7.9,8.5,8.3,5.8,5.9,8.1,7.5,5.7,5.8,8.3,8.3,5.7,5.4,0.2397,-0.0399,-0.0851,0.0383,-0.0851,DECLINING
Owen Power,BUF,D,315,4,0.7855,0.8185,8.5,7.9,8.2,7.9,8.4,8.3,6.9,7.0,7.3,7.0,3.5,3.6,8.3,8.4,5.3,5.1,0.0375,-0.2049,0.1413,-0.0087,0.1413,RISING
Philip Broberg,STL,D,206,3,0.7806,0.8625,7.8,7.6,7.7,7.8,8.8,8.8,4.9,5.2,8.3,7.8,5.4,5.5,8.5,8.7,5.5,5.5,,,0.1221,0.1221,0.1221,RISING
Dylan Samberg,WPG,D,266,4,0.7845,0.8233,8.3,7.8,8.0,7.8,8.6,8.4,7.5,7.5,8.1,7.6,4.9,5.0,8.3,8.4,5.0,4.9,0.5085,-0.0958,-0.2403,0.0574,-0.2403,DECLINING
Josh Manson,COL,D,230,4,0.7787,0.8078,8.1,8.1,7.8,7.8,8.9,9.0,4.6,5.2,8.2,7.7,5.9,6.0,9.0,9.1,7.1,7.1,0.3271,-0.0868,0.1183,0.1195,0.1183,RISING
Nikita Zadorov,BOS,D,319,4,0.7842,0.8304,8.2,7.7,8.0,7.8,7.1,6.9,7.3,7.0,6.8,6.3,2.5,2.7,8.0,8.1,4.2,4.0,-0.1395,-0.1057,-0.1635,-0.1363,-0.1635,DECLINING
