player_name,team,pos,GP,OZI_pooled_score,OZI_23_24,OZI_24_25,OZI_25_26,OZI_trend,OZI_recent,OZI_flag,DZI_pooled_score,DZI_23_24,DZI_24_25,DZI_25_26,DZI_trend,DZI_recent,DZI_flag,NZI_pooled_score,NZI_23_24,NZI_24_25,NZI_25_26,NZI_trend,NZI_recent,NZI_flag,TNZI_pooled_score,TNZI_23_24,TNZI_24_25,TNZI_25_26,TNZI_trend,TNZI_recent,TNZI_flag
Jake Sanderson,OTT,D,303,8.8,0.2975,-0.2239,0.006,0.0265,0.006,STABLE,7.8,-0.0909,-0.0493,0.128,-0.0041,0.128,RISING,7.3,-0.0134,-0.1732,0.0575,-0.043,0.0575,RISING,8.7,-0.0174,0.0349,0.0242,0.0139,0.0242,STABLE
Jake Walman,EDM,D,243,7.4,-0.023,-0.0142,-0.1221,-0.0531,-0.1221,DECLINING,8.2,-0.2843,0.2762,-0.0407,-0.0163,-0.0407,STABLE,7.8,0.1152,-0.0568,0.2627,0.107,0.2627,RISING,8.6,0.0491,-0.0538,0.1537,0.0496,0.1537,RISING
Justin Barron,NSH,D,200,7.8,0.3145,-0.2278,-0.0244,0.0208,-0.0244,STABLE,8.5,-0.2854,0.2373,-0.2564,-0.1015,-0.2564,DECLINING,7.1,0.0641,-0.2644,0.1292,-0.0237,0.1292,RISING,8.0,0.0714,0.0306,0.0005,0.0342,0.0005,STABLE
Mark Friedman,VAN,D,51,9.9,0.0898,,,0.0898,,,2.8,-0.1098,,,-0.1098,,,6.6,-0.1218,,,-0.1218,,,7.3,0.0335,,,0.0335,,
William Lagesson,DET,D,47,3.3,,,,,,,8.5,,,,,,,6.5,,,,,,,5.7,,,,,,
Brock Faber,MIN,D,242,8.2,,-0.2535,0.0724,-0.0905,0.0724,RISING,9.6,,0.0312,-0.0409,-0.0048,-0.0409,STABLE,8.1,,0.0795,0.2822,0.1809,0.2822,RISING,8.7,,-0.11,0.3336,0.1118,0.3336,RISING
Emil Andrae,PHI,D,107,6.9,,,-0.0951,-0.0951,-0.0951,DECLINING,7.2,,,0.3608,0.3608,0.3608,RISING,5.3,,,-0.174,-0.174,-0.174,DECLINING,7.2,,,-0.0124,-0.0124,-0.0124,STABLE
Donovan Sebrango,FLA,D,44,3.5,,,,,,,7.4,,,,,,,8.0,,,,,,,6.0,,,,,,
Devon Toews,COL,D,305,9.3,-0.1805,0.0676,-0.062,-0.0583,-0.062,DECLINING,9.1,0.1798,-0.0274,-0.2821,-0.0433,-0.2821,DECLINING,7.1,0.0406,0.0356,0.0635,0.0466,0.0635,RISING,8.4,-0.1482,0.0754,0.1086,0.0119,0.1086,RISING
Jamie Drysdale,PHI,D,190,8.2,,-0.0208,-0.1477,-0.0843,-0.1477,DECLINING,7.3,,0.1574,0.2788,0.2181,0.2788,RISING,6.5,,-0.1994,0.1152,-0.0421,0.1152,RISING,8.0,,-0.011,0.0609,0.0249,0.0609,RISING
