player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Nicholas Robertson,TOR,L,218,3,0.7518,0.7267,5.9,5.9,5.8,6.2,7.6,7.8,6.4,6.9,6.7,6.7,5.8,5.7,6.8,6.8,4.2,4.6,,0.0951,-0.112,-0.0084,-0.112,DECLINING
Justin Sourdif,WSH,R,82,1,0.747,0.726,6.0,4.5,5.7,4.9,7.1,7.0,5.5,5.7,7.2,6.7,5.8,5.8,6.5,6.7,4.1,4.6,,,,,,
Alexis Lafrenière,NYR,L,327,4,0.7657,0.7378,7.8,5.6,7.8,6.9,7.4,7.0,6.4,6.3,6.9,6.0,6.0,6.1,7.4,7.2,4.6,4.6,0.1697,-0.0117,-0.0168,0.0471,-0.0168,STABLE
Bobby McMann,SEA,C,217,3,0.7633,0.7393,6.1,4.4,6.2,5.4,6.3,5.8,4.6,4.5,7.6,6.7,5.9,6.0,7.2,7.1,4.6,4.6,,0.0257,-0.2193,-0.0968,-0.2193,DECLINING
Patrick Kane,DET,R,262,4,0.7629,0.7422,7.3,5.0,7.3,6.4,8.4,8.1,7.1,7.2,6.9,6.2,5.0,5.1,7.0,6.9,4.6,4.6,0.3047,-0.0549,0.1294,0.1264,0.1294,RISING
Kieffer Bellows,NSH,L,47,1,0.7513,0.7307,3.5,3.1,3.5,3.3,6.0,6.4,5.7,6.4,5.1,4.8,4.4,4.4,6.4,6.4,4.1,4.5,,,,,,
Alex Ovechkin,WSH,L,299,4,0.7651,0.7362,6.8,4.8,6.6,5.7,4.5,4.0,3.2,3.1,7.6,7.0,6.7,6.6,7.3,7.1,4.6,4.5,-0.1638,0.0933,-0.1251,-0.0652,-0.1251,DECLINING
Matthew Poitras,BOS,C,69,2,0.7565,0.7573,5.8,5.4,5.7,5.9,2.1,1.7,1.7,1.7,5.4,5.6,5.6,5.4,5.3,5.2,4.3,4.5,,-0.0628,,-0.0628,-0.0628,DECLINING
Calle Jarnkrok,TOR,C,200,3,0.762,0.7413,8.5,6.4,8.4,7.8,6.9,6.7,5.1,5.4,6.2,5.7,5.6,5.6,6.7,6.5,4.4,4.5,-0.1502,,,-0.1502,,
Justin Danforth,BUF,R,142,2,0.7698,0.7359,5.9,4.1,5.6,4.5,7.3,7.2,4.8,5.2,7.0,6.0,5.7,5.8,7.6,7.4,4.7,4.5,,-0.1367,,-0.1367,-0.1367,DECLINING
Tanner Pearson,BUF,L,203,3,0.7615,0.7389,6.9,5.7,6.8,6.5,7.8,7.6,5.6,5.8,6.2,5.6,5.9,6.0,6.8,6.6,4.4,4.5,,0.4388,-0.438,0.0004,-0.438,DECLINING
Dominic Toninato,CHI,C,33,0,0.7339,0.7167,2.9,3.1,2.9,2.8,2.4,2.6,4.2,4.5,4.2,5.7,4.8,4.3,5.6,6.0,3.5,4.5,,,,,,
Anthony Duclair,NYI,L,199,4,0.7678,0.76,7.3,4.5,7.3,6.0,6.0,5.2,3.7,3.4,5.9,4.7,6.2,6.4,6.2,6.0,4.7,4.5,-0.0275,0.3369,-0.0778,0.0772,-0.0778,DECLINING
Andrew Copp,DET,C,296,4,0.7607,0.7331,7.5,5.2,7.4,6.4,7.0,6.7,6.8,6.7,6.7,6.1,4.3,4.3,7.1,7.0,4.4,4.5,0.1154,-0.0823,0.1043,0.0458,0.1043,RISING
Jonathan Drouin,STL,L,244,4,0.7629,0.7409,8.3,5.9,8.3,7.4,9.5,9.3,6.3,6.7,6.4,5.5,5.0,5.1,6.9,6.7,4.5,4.5,0.0125,-0.0384,-0.2128,-0.0796,-0.2128,DECLINING
Sean Monahan,CBJ,C,240,4,0.76,0.7243,7.4,5.4,7.3,6.5,7.3,7.0,4.8,5.1,6.9,6.5,5.3,5.3,7.4,7.4,4.4,4.5,0.1211,0.1403,-0.0771,0.0614,-0.0771,DECLINING
Alexander Wennberg,SJS,C,319,4,0.7659,0.7329,7.3,4.2,7.0,5.4,7.0,6.5,5.9,5.7,6.4,5.8,4.9,5.0,7.4,7.3,4.5,4.5,-0.1597,0.0623,0.0164,-0.027,0.0164,STABLE
Ross Johnston,ANA,L,189,3,0.7525,0.6934,6.4,6.2,5.9,6.0,7.4,7.6,8.6,8.9,8.6,8.0,4.0,4.0,8.4,8.6,4.0,4.5,,-0.0723,0.2668,0.0973,0.2668,RISING
William Nylander,TOR,R,311,4,0.7676,0.7405,7.9,5.5,7.8,6.8,6.8,6.3,4.4,4.4,7.0,6.2,5.9,6.0,7.3,7.0,4.6,4.5,0.0138,0.0003,-0.122,-0.036,-0.122,DECLINING
Sammy Blais,MTL,L,145,3,0.7517,0.6948,7.6,5.8,7.4,6.8,6.6,7.1,6.8,7.6,9.7,9.9,4.9,4.6,8.3,8.4,4.0,4.5,-0.1159,,,-0.1159,,
Alex Steeves,BOS,C,54,1,0.7449,0.75,5.5,5.2,5.3,5.3,3.6,3.4,3.2,3.3,6.2,5.8,5.8,5.8,4.8,4.9,3.9,4.5,,,,,,
Marco Kasper,DET,C,159,2,0.7626,0.7258,6.9,5.8,6.9,6.7,8.1,7.7,7.5,7.5,6.6,5.7,4.4,4.5,7.4,7.3,4.4,4.4,,,-0.0516,-0.0516,-0.0516,DECLINING
Liam Ohgren,VAN,L,96,2,0.749,0.7322,5.7,5.3,5.7,5.9,7.5,7.6,5.8,6.3,6.7,6.3,5.3,5.3,5.8,5.9,3.9,4.4,,,-0.0185,-0.0185,-0.0185,STABLE
Tyler Toffoli,SJS,R,319,4,0.7617,0.7229,7.8,5.3,7.6,6.5,7.4,7.0,6.6,6.6,5.6,5.1,4.1,4.2,7.4,7.3,4.3,4.4,-0.0711,0.0442,-0.102,-0.0429,-0.102,DECLINING
Leo Carlsson,ANA,C,200,3,0.7648,0.7342,7.4,5.4,7.3,6.5,6.5,5.7,5.6,5.2,6.8,5.8,4.8,4.9,7.1,6.9,4.5,4.4,,0.1616,0.0502,0.1059,0.0502,RISING
Ryan Leonard,WSH,R,84,1,0.7477,0.7362,4.9,4.6,4.8,4.7,6.0,5.9,3.7,4.1,6.3,5.7,5.7,5.7,5.4,5.5,3.9,4.4,,,,,,
Joel Armia,LAK,R,256,4,0.7586,0.7023,5.7,4.0,5.3,4.3,6.2,6.1,5.2,5.4,7.3,6.8,4.6,4.6,8.2,8.2,4.1,4.4,-0.0477,0.0233,0.1553,0.0436,0.1553,RISING
Grigori Denisenko,VGK,L,25,0,0.7545,0.7713,8.6,5.7,8.4,7.2,1.8,0.6,0.8,0.1,4.4,4.2,5.9,5.8,4.2,4.2,4.2,4.4,,,,,,
Phillip Di Giuseppe,VAN,L,101,3,0.7616,0.7593,7.6,5.2,7.9,7.2,4.9,4.3,7.5,7.0,4.6,4.4,4.3,4.3,5.4,5.3,4.4,4.4,0.1926,,,0.1926,,
David Gustafsson,WPG,C,121,3,0.7554,0.7121,5.1,3.5,4.9,3.9,4.1,4.1,4.3,4.6,6.4,6.8,5.3,5.0,7.4,7.5,4.1,4.4,0.3692,-0.048,,0.1606,-0.048,STABLE
