player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Travis Dermott,MIN,D,80,1,0.7917,0.7762,7.6,6.7,7.4,7.0,5.5,5.2,5.9,5.6,4.9,5.1,3.9,3.9,6.7,6.8,4.4,4.2,,,,,,
Luke Schenn,BUF,D,259,4,0.7921,0.7795,7.5,6.9,6.9,6.5,8.0,8.0,6.6,6.8,5.2,5.0,3.8,4.0,6.7,6.8,4.5,4.2,-0.0985,-0.0232,-0.3708,-0.1642,-0.3708,DECLINING
Tyler Myers,DAL,D,299,4,0.7921,0.7432,8.9,7.9,8.4,7.8,8.2,8.0,8.2,8.1,7.6,7.3,4.2,4.3,8.5,8.6,4.4,4.2,0.1111,-0.3024,0.227,0.0119,0.227,RISING
Nick DeSimone,UTA,D,97,3,0.7891,0.7883,8.2,8.2,7.9,8.0,5.9,5.7,4.9,4.7,5.9,5.2,4.5,4.7,5.7,5.8,4.3,4.1,,-0.0412,0.4935,0.2261,0.4935,RISING
Colin Miller,WPG,D,202,3,0.7916,0.7605,7.5,6.7,6.9,6.3,6.9,6.9,6.0,6.0,6.3,6.2,4.4,4.5,7.3,7.4,4.3,4.1,-0.2354,-0.1391,,-0.1873,-0.1391,DECLINING
Brad Hunt,COL,D,47,1,0.774,0.7501,4.0,3.3,3.4,2.8,4.8,5.6,4.4,5.1,3.5,4.7,1.5,1.5,6.4,6.8,3.7,4.1,,,,,,
Ben Hutton,VGK,D,138,3,0.7824,0.7695,7.6,7.7,7.1,7.2,7.9,7.9,5.4,5.6,7.1,7.2,5.7,5.6,6.1,6.4,4.1,4.1,0.2277,,,0.2277,,
Haydn Fleury,WPG,D,129,4,0.7888,0.7767,5.0,5.6,4.8,5.2,6.3,6.1,5.8,5.6,5.1,4.9,3.7,3.9,6.2,6.4,4.3,4.1,0.2025,-0.0087,-0.3949,-0.067,-0.3949,DECLINING
Shakir Mukhamadullin,SJS,D,83,2,0.7752,0.7525,5.3,6.0,4.7,5.1,8.1,8.2,4.3,4.8,4.7,5.4,3.6,3.5,6.3,6.7,3.7,4.1,,,0.407,0.407,0.407,RISING
Guillaume Brisebois,VAN,D,20,0,0.783,0.7895,6.2,4.2,6.2,5.0,0.9,1.0,1.1,1.0,1.1,2.1,2.5,2.4,5.1,5.4,4.1,4.1,,,,,,
Logan Mailloux,STL,D,74,1,0.7777,0.7872,7.5,8.6,7.2,8.1,6.5,6.4,4.4,4.5,4.9,4.1,3.4,3.7,4.6,5.1,3.9,4.1,,,,,,
Kale Clague,BUF,D,36,1,0.7842,0.7764,6.7,5.8,6.5,6.0,2.0,1.3,2.4,1.5,4.8,4.9,2.5,2.6,5.7,6.0,4.1,4.0,,,,,,
Lane Hutson,MTL,D,166,2,0.7935,0.7553,6.2,6.3,5.4,5.3,8.5,8.3,4.6,4.9,7.8,7.5,5.2,5.2,7.7,7.7,4.4,4.0,,,-0.017,-0.017,-0.017,STABLE
Maveric Lamoureux,UTA,D,20,0,0.7967,0.8123,3.5,3.9,3.7,4.0,6.0,5.2,1.9,1.4,4.5,4.4,6.0,6.0,4.9,5.0,4.6,4.0,,,,,,
Justin Holl,STL,D,199,3,0.7946,0.7657,6.8,5.8,6.6,6.1,6.0,5.9,6.2,6.0,6.7,6.4,3.9,4.0,7.3,7.3,4.4,4.0,-0.3893,0.207,,-0.0912,0.207,RISING
Johnathan Kovacevic,NJD,D,254,4,0.7959,0.7565,6.8,5.7,6.1,5.3,8.0,8.0,4.9,5.1,6.7,6.3,5.0,5.1,7.8,7.8,4.4,4.0,-0.2799,0.2272,0.0283,-0.0081,0.0283,STABLE
Carson Soucy,NYI,D,269,4,0.7927,0.7693,8.2,7.6,7.9,7.6,6.4,6.0,5.9,5.6,6.6,6.1,4.1,4.3,6.9,7.0,4.4,4.0,0.0686,-0.0027,-0.0969,-0.0104,-0.0969,DECLINING
Ryan Johnson,BUF,D,47,1,0.7822,0.7861,6.2,6.2,6.0,6.0,9.7,10.0,8.0,8.6,5.9,6.5,3.2,3.2,5.0,5.3,4.0,4.0,,,,,,
Nikita Zadorov,BOS,D,319,4,0.792,0.7444,8.2,7.7,8.0,7.8,7.1,6.9,7.3,7.0,6.8,6.3,2.5,2.7,8.0,8.1,4.2,4.0,-0.1307,0.0138,0.004,-0.0376,0.004,STABLE
Jordan Oesterle,NSH,D,112,3,0.7876,0.756,7.3,6.2,6.9,6.2,6.5,6.5,6.8,6.8,5.9,6.0,2.8,2.9,7.1,7.3,4.1,4.0,-0.2505,0.0398,,-0.1053,0.0398,STABLE
Jakub Zboril,BOS,D,22,1,0.7798,0.8009,5.3,2.2,5.1,3.1,7.1,8.4,6.1,7.5,1.9,4.5,4.0,3.4,4.0,4.3,4.0,4.0,,,,,,
David Savard,MTL,D,197,3,0.7971,0.7599,7.1,5.7,6.1,5.0,8.6,8.6,4.9,5.3,7.1,6.9,4.9,5.0,7.4,7.3,4.3,3.9,-0.131,0.0485,,-0.0413,0.0485,STABLE
Jayden Struble,MTL,D,171,3,0.7882,0.7638,5.5,5.8,4.7,4.7,7.8,7.9,3.9,4.4,7.1,7.4,5.0,5.0,6.5,6.7,4.1,3.9,,0.5531,-0.2349,0.1591,-0.2349,DECLINING
Dylan Coghlan,VGK,D,27,0,0.7856,0.8003,6.5,6.8,6.1,6.2,3.6,2.8,3.1,2.3,2.7,2.6,4.3,4.4,4.2,4.4,4.0,3.9,,,,,,
Jon Merrill,MIN,D,208,3,0.7828,0.7377,8.3,8.0,7.9,7.9,7.2,7.4,7.3,7.6,7.2,7.6,3.7,3.6,7.4,7.7,3.8,3.9,-0.3912,0.1297,,-0.1307,0.1297,RISING
Seth Jones,FLA,D,254,4,0.8017,0.763,8.1,6.3,7.5,6.4,7.9,7.5,7.7,7.4,7.2,6.3,4.3,4.5,7.7,7.5,4.5,3.9,-0.1359,0.1664,0.0461,0.0255,0.0461,STABLE
Maxwell Crozier,TBL,D,53,1,0.778,0.7345,6.9,7.1,6.1,6.0,9.5,9.7,9.4,9.7,8.3,8.7,4.8,4.7,7.1,7.4,3.6,3.9,,,,,,
Casey Fitzgerald,FLA,D,27,1,0.7767,0.7681,3.8,3.4,3.8,3.6,0.0,0.0,3.0,2.5,2.9,4.1,2.1,1.9,4.9,5.3,3.6,3.8,,,,,,
Cam Fowler,STL,D,312,4,0.7903,0.7404,9.1,8.1,8.6,8.0,7.7,7.5,6.5,6.5,5.9,5.5,3.0,3.2,7.6,7.7,4.0,3.8,-0.0078,0.1319,-0.0926,0.0105,-0.0926,DECLINING
Axel Sandin-Pellikka,DET,D,68,1,0.7849,0.7637,6.5,7.0,6.0,6.4,5.1,4.7,4.4,4.1,6.4,5.6,3.2,3.5,6.0,6.2,3.9,3.8,,,,,,
Zach Metsa,BUF,D,43,1,0.7848,0.7741,4.2,5.2,4.0,4.7,5.7,5.6,5.0,4.9,7.6,7.0,4.1,4.3,5.4,5.7,3.9,3.8,,,,,,
Jake Christiansen,CBJ,D,144,3,0.7908,0.7732,5.0,5.2,4.6,4.8,5.7,5.7,2.6,2.7,4.6,4.3,4.4,4.6,6.1,6.2,4.1,3.8,,,-0.1712,-0.1712,-0.1712,DECLINING
Matthew Robertson,NYR,D,74,1,0.7798,0.7385,5.9,6.7,5.2,5.6,7.8,7.7,7.8,7.8,7.8,7.7,4.5,4.6,6.8,7.1,3.6,3.8,,,,,,
Albert Johansson,DET,D,143,2,0.7927,0.7607,6.6,7.2,5.9,6.3,6.0,5.7,6.2,5.8,5.6,4.7,3.4,3.7,6.9,7.0,4.2,3.8,,,-0.0507,-0.0507,-0.0507,DECLINING
Ilya Solovyov,PIT,D,45,1,0.7948,0.7727,6.6,6.5,6.0,5.9,6.4,6.0,5.3,4.9,7.4,6.7,3.4,3.6,6.4,6.4,4.2,3.8,,,,,,
Michael Stone,CGY,D,48,1,0.7718,0.7658,9.1,8.7,8.7,8.5,1.6,2.0,4.2,4.2,2.5,3.8,1.6,1.5,4.5,5.0,3.3,3.7,,,,,,
Philippe Myers,TOR,D,91,2,0.7841,0.7813,5.7,6.7,5.4,6.0,6.0,6.0,5.9,5.9,3.0,3.2,2.8,2.9,4.7,5.0,3.8,3.7,,,-0.2192,-0.2192,-0.2192,DECLINING
Mark Giordano,TOR,D,124,2,0.792,0.7398,9.5,7.5,8.8,7.5,6.6,6.6,7.4,7.4,7.5,7.4,3.2,3.3,7.5,7.6,3.9,3.7,-0.2407,,,-0.2407,,
Dennis Cholowski,NJD,D,58,1,0.791,0.7738,5.0,5.9,4.6,5.2,5.6,5.7,4.4,4.5,7.0,6.8,5.9,5.9,5.7,5.8,4.0,3.7,,,,,,
Adam Boqvist,NYI,D,144,4,0.7885,0.7408,8.0,7.3,7.4,7.0,4.8,4.5,2.7,2.5,7.0,6.7,5.0,5.0,7.2,7.3,3.8,3.7,0.077,-0.2006,0.1505,0.009,0.1505,RISING
Morgan Rielly,TOR,D,297,4,0.7998,0.7494,8.2,7.2,7.8,7.2,7.7,7.4,7.2,7.0,7.1,6.3,2.4,2.7,7.9,7.8,4.3,3.7,0.1335,-0.2,0.0795,0.0043,0.0795,RISING
Jaycob Megna,VGK,D,110,2,0.7853,0.7394,7.6,6.1,7.1,6.1,5.0,5.2,5.2,5.3,5.6,6.0,4.0,3.9,7.0,7.2,3.7,3.7,-0.5539,,,-0.5539,,
Marc Del Gaizo,NSH,D,55,1,0.7918,0.747,3.2,3.4,3.0,3.0,6.7,6.5,4.4,4.4,5.0,4.4,2.2,2.5,7.2,7.3,4.0,3.7,,,,,,
Joel Hanley,CGY,D,189,4,0.7909,0.7501,7.5,7.0,7.0,6.7,7.3,7.0,6.2,6.1,5.4,4.8,2.3,2.6,7.1,7.1,4.0,3.7,0.0521,0.1396,-0.0658,0.042,-0.0658,DECLINING
Dennis Gilbert,OTT,D,94,3,0.785,0.7467,5.8,5.7,5.6,5.5,4.0,3.8,6.1,5.6,4.7,5.0,1.8,1.9,6.6,6.8,3.7,3.7,,0.4152,,0.4152,0.4152,RISING
Derek Forbort,VAN,D,145,3,0.788,0.7308,9.1,8.7,8.5,8.3,7.4,7.5,6.9,7.1,6.4,6.5,3.6,3.6,7.5,7.7,3.7,3.6,0.2221,-0.1113,,0.0554,-0.1113,DECLINING
