rank,player_id,player_name,position,team_recent,n_seasons,toi_total,NFI_pct,NFI_pct_ZA,NFI_pct_3A,CF_pct,CF_pct_ZA,RelNFI_pct,RelNFI_F_pct,RelNFI_A_pct,NFQOC,NFQOL,oz_ratio,NFI_pct_3A_MOM_3yr,rank_NFI_ZA,rank_CF_ZA,rank_change
91,8478449,Roope Hintz,F,DAL,4,4345.883333,0.561576,0.555952,0.528075,0.507685,0.502061,1.443617,-0.30346,1.747078,0.500231,0.537902,0.516069,0.006175,42,275,233
92,8476921,Jordan Martinook,F,CAR,4,4322.816667,0.581837,0.585643,0.556425,0.535742,0.539548,1.441692,1.083456,0.358236,0.502713,0.54052,0.489127,-0.0124,8,44,36
93,8480434,Sean Durzi,D,UTA,4,4474.733333,0.531902,0.524719,0.517884,0.510373,0.503189,1.413167,1.037925,0.375242,0.500023,0.505914,0.520524,0.011311,168,261,93
94,8475193,Tomas Tatar,F,NJD,3,2897.933333,0.545261,0.546945,0.530144,0.508284,0.509968,1.409898,1.559421,-0.149523,0.501249,0.518055,0.495188,,69,199,130
95,8476854,Hampus Lindholm,D,BOS,4,4834.633333,0.537653,0.555337,0.548712,0.509577,0.52726,1.408587,-0.152237,1.560824,0.502513,0.501835,0.449476,0.004958,45,97,52
96,8478233,Andrew Mangiapane,F,EDM,4,4036.066667,0.540154,0.540355,0.532325,0.523719,0.523919,1.372954,1.531896,-0.158942,0.500514,0.506944,0.499426,0.010825,100,108,8
97,8477479,Tyler Bertuzzi,F,CHI,4,4315.533333,0.476662,0.476575,0.497613,0.485273,0.485185,1.365937,1.528186,-0.162249,0.5007,0.459121,0.500251,-0.019866,441,424,-17
98,8478469,Thomas Chabot,D,OTT,4,5385.35,0.533356,0.521061,0.518038,0.511154,0.498859,1.356925,0.938412,0.418513,0.498211,0.500303,0.535129,-0.004858,190,304,114
99,8479977,Kailer Yamamoto,F,UTA,3,2104.983333,0.554408,0.552432,0.532694,0.505098,0.503123,1.347004,1.103025,0.243979,0.497646,0.523558,0.505643,,52,262,210
100,8477402,Pavel Buchnevich,F,STL,4,5095.4,0.491973,0.488631,0.505473,0.48986,0.486518,1.339255,-0.065327,1.404583,0.503314,0.470884,0.509548,-0.003072,372,407,35
101,8476474,Stefan Noesen,F,NJD,4,3358.583333,0.569549,0.549426,0.523416,0.533877,0.513754,1.337944,0.363112,0.974832,0.497612,0.534932,0.557494,-0.000434,63,168,105
