shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8483516,Jimmy Snuggerud,119,23,0.1933,0.1324,0.2734,2,0.087,False
8477501,Valeri Nichushkin,264,51,0.1932,0.1501,0.2451,12,0.2353,True
8482089,Jake Neighbours,214,41,0.1916,0.1445,0.2496,9,0.2195,True
8480801,Brady Tkachuk,501,96,0.1916,0.1596,0.2284,16,0.1667,True
8478864,Kirill Kaprizov,320,61,0.1906,0.1514,0.2372,13,0.2131,True
8481523,Kirby Dach,105,20,0.1905,0.1268,0.276,3,0.15,False
8480188,Fabian Zetterlund,363,69,0.1901,0.153,0.2336,8,0.1159,True
8476994,Vinnie Hinostroza,100,19,0.19,0.1251,0.2778,4,,False
8474157,Max Pacioretty,116,22,0.1897,0.1287,0.2705,2,0.0909,False
8482109,Alexis Lafrenière,359,68,0.1894,0.1523,0.2332,8,0.1176,True
8478010,Brayden Point,291,55,0.189,0.1482,0.2379,9,0.1636,True
8478427,Sebastian Aho,307,58,0.1889,0.1491,0.2365,6,0.1034,True
8480995,Pontus Holmberg,170,32,0.1882,0.1366,0.2536,4,0.125,False
8479359,Beck Malenstyn,182,34,0.1868,0.1369,0.2497,4,0.1176,False
8478444,Brock Boeser,264,49,0.1856,0.1433,0.2369,8,0.1633,False
8477451,Ryan Hartman,324,60,0.1852,0.1467,0.2311,7,0.1167,True
8474564,Steven Stamkos,276,51,0.1848,0.1434,0.2348,9,0.1765,False
8475714,Calle Jarnkrok,103,19,0.1845,0.1214,0.2702,1,,False
8474150,Mikael Backlund,354,65,0.1836,0.1468,0.2273,7,0.1077,True
8477015,Connor Brown,229,42,0.1834,0.1386,0.2386,5,0.119,False
8477493,Aleksander Barkov,169,31,0.1834,0.1323,0.2486,5,0.1613,False
8482125,Alexander Holtz,164,30,0.1829,0.1312,0.2491,6,0.2,False
8475151,Kyle Palmieri,252,46,0.1825,0.1397,0.2349,11,0.2391,False
8477450,Jason Dickinson,181,33,0.1823,0.1329,0.245,7,0.2121,False
8475170,Brayden Schenn,225,41,0.1822,0.1373,0.2379,3,0.0732,False
8480748,Kiefer Sherwood,297,54,0.1818,0.1421,0.2297,5,0.0926,False
8483808,Andrei Kuzmenko,149,27,0.1812,0.1276,0.2508,6,0.2222,False
8481617,Vasily Podkolzin,205,37,0.1805,0.1339,0.2389,3,0.0811,False
8482705,Cole Sillinger,266,48,0.1805,0.1389,0.2311,4,0.0833,False
8478873,Troy Terry,300,54,0.18,0.1407,0.2274,5,0.0926,False
8480829,Jesperi Kotkaniemi,196,35,0.1786,0.1313,0.2382,4,0.1143,False
8477380,Jonny Brodzinski,168,30,0.1786,0.128,0.2435,6,0.2,False
8478472,Mathieu Joseph,174,31,0.1782,0.1284,0.2418,1,0.0323,False
8479400,Pierre-Luc Dubois,202,36,0.1782,0.1316,0.2368,7,0.1944,False
8474586,Jordan Eberle,242,43,0.1777,0.1347,0.2308,6,0.1395,False
