shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8475784,273,23,0.0842,0.0568,0.1232,6,0.2609,False,170,23
8475343,155,13,0.0839,0.0497,0.1382,3,0.2308,False,172,130
8483890,60,5,0.0833,0.0361,0.1807,1,,False,173,325
8484145,216,18,0.0833,0.0534,0.1279,1,0.0556,False,173,325
8477015,229,19,0.083,0.0538,0.1259,3,0.1579,False,175,130
8476460,278,23,0.0827,0.0558,0.1211,3,0.1304,False,176,130
8482659,206,17,0.0825,0.0522,0.1282,4,0.2353,False,177,83
8480801,501,41,0.0818,0.0609,0.1091,6,0.1463,True,178,23
8476826,257,21,0.0817,0.0541,0.1217,4,0.1905,False,179,83
8482691,74,6,0.0811,0.0377,0.1658,1,,False,180,325
8481032,185,15,0.0811,0.0497,0.1295,4,0.2667,False,180,83
8478413,124,10,0.0806,0.0444,0.1421,2,0.2,False,182,215
8479671,211,17,0.0806,0.0509,0.1252,1,0.0588,False,182,325
8482074,211,17,0.0806,0.0509,0.1252,5,0.2941,False,182,42
8475848,298,24,0.0805,0.0547,0.117,2,0.0833,False,185,215
8481656,298,24,0.0805,0.0547,0.117,7,0.2917,False,185,10
8482702,299,24,0.0803,0.0545,0.1167,8,0.3333,False,187,5
8477451,324,26,0.0802,0.0553,0.115,3,0.1154,False,188,130
8478233,175,14,0.08,0.0482,0.1298,2,0.1429,False,189,215
8480821,100,8,0.08,0.0411,0.15,1,,False,189,325
8480188,363,29,0.0799,0.0562,0.1124,7,0.2414,False,191,10
8482740,364,29,0.0797,0.056,0.1121,6,0.2069,False,192,23
8477409,428,34,0.0794,0.0574,0.109,5,0.1471,False,193,42
8480806,101,8,0.0792,0.0407,0.1486,0,,False,194,485
8482077,265,21,0.0792,0.0524,0.1181,2,0.0952,False,194,215
8478010,291,23,0.079,0.0532,0.1158,5,0.2174,False,196,42
8478891,228,18,0.0789,0.0505,0.1213,4,0.2222,False,197,83
8476479,266,21,0.0789,0.0522,0.1177,5,0.2381,False,197,42
8477935,368,29,0.0788,0.0554,0.1109,7,0.2414,False,199,10
8475745,216,17,0.0787,0.0497,0.1224,6,0.3529,False,200,23
8474102,191,15,0.0785,0.0482,0.1255,4,0.2667,False,201,83
8484197,51,4,0.0784,0.0309,0.185,0,,False,202,485
8476921,281,22,0.0783,0.0523,0.1157,4,0.1818,False,203,83
8477353,115,9,0.0783,0.0417,0.1421,2,,False,203,215
8476292,205,16,0.078,0.0486,0.123,2,0.125,False,205,215
8476438,244,19,0.0779,0.0504,0.1184,4,0.2105,False,206,83
8483464,206,16,0.0777,0.0484,0.1224,1,0.0625,False,207,325
8480003,168,13,0.0774,0.0458,0.1279,1,0.0769,False,208,325
8477450,181,14,0.0773,0.0466,0.1256,2,0.1429,False,209,215
8476389,272,21,0.0772,0.051,0.1151,3,0.1429,False,210,130
8475184,259,20,0.0772,0.0505,0.1163,2,0.1,False,210,215
8479359,182,14,0.0769,0.0464,0.125,2,0.1429,False,212,215
8477496,247,19,0.0769,0.0498,0.117,2,0.1053,False,212,215
8481477,117,9,0.0769,0.041,0.1398,1,,False,212,325
8470621,182,14,0.0769,0.0464,0.125,5,0.3571,False,212,42
8477493,169,13,0.0769,0.0455,0.1272,3,0.2308,False,212,130
8476455,91,7,0.0769,0.0378,0.1504,3,,False,212,130
8477947,65,5,0.0769,0.0333,0.1678,0,,False,212,485
8476399,378,29,0.0767,0.0539,0.108,3,0.1034,False,219,130
8477964,274,21,0.0766,0.0507,0.1143,8,0.381,False,220,5
8477478,157,12,0.0764,0.0443,0.1288,1,0.0833,False,221,325
