player_id,player_name,seasons,total_toi_mins,rush_against_per60_career,rush_against_per60_by_season,team_2526
8471675.0000,Sidney Crosby,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8460.6000,24.3316,"{""20202021"": 23.7476, ""20212022"": 24.3916, ""20222023"": 24.156, ""20232024"": 24.1335, ""20242025"": 25.7154, ""20252026"": 23.2148}",
8481524.0000,Bowen Byram,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6806.7167,24.3289,"{""20202021"": 23.0827, ""20212022"": 23.0692, ""20222023"": 24.1723, ""20232024"": 24.6528, ""20242025"": 25.5044, ""20252026"": 23.6649}",
8479525.0000,Ross Colton,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5602.3667,24.3219,"{""20202021"": 26.6699, ""20212022"": 25.9509, ""20222023"": 26.508, ""20232024"": 22.7294, ""20242025"": 21.3819, ""20252026"": 21.9819}",
8475158.0000,Ryan O'Reilly,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8404.9667,24.3213,"{""20202021"": 24.3632, ""20212022"": 26.5161, ""20222023"": 28.5925, ""20232024"": 23.0874, ""20242025"": 20.1636, ""20252026"": 23.5294}",
8476393.0000,Nick Cousins,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5007.1500,24.3012,"{""20202021"": 25.4097, ""20212022"": 26.7561, ""20222023"": 26.5611, ""20232024"": 21.5599, ""20242025"": 22.2099, ""20252026"": 21.2242}",
8479591.0000,Michael Eyssimont,"[20212022, 20222023, 20232024, 20242025, 20252026]",2837.2000,24.2986,"{""20212022"": 20.6304, ""20222023"": 25.9997, ""20232024"": 21.5583, ""20242025"": 25.0453, ""20252026"": 27.5953}",
8473544.0000,Derick Brassard,"[20202021, 20212022, 20222023]",2141.7000,24.2611,"{""20202021"": 22.9489, ""20212022"": 27.5007, ""20222023"": 23.0408}",
8476459.0000,Mika Zibanejad,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9417.8000,24.2541,"{""20202021"": 26.5404, ""20212022"": 25.5879, ""20222023"": 21.318, ""20232024"": 22.5251, ""20242025"": 24.9068, ""20252026"": 26.3977}",
8481641.0000,Joel Kiviranta,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",4021.1667,24.2467,"{""20202021"": 24.2641, ""20212022"": 26.2832, ""20222023"": 24.8574, ""20232024"": 21.898, ""20242025"": 24.739, ""20252026"": 22.2159}",
8476437.0000,Victor Rask,"[20202021, 20212022]",1457.5667,24.2459,"{""20202021"": 25.9164, ""20212022"": 21.6685}",
8484166.0000,Adam Fantilli,"[20232024, 20242025, 20252026]",3128.7667,24.2396,"{""20232024"": 25.1015, ""20242025"": 26.0696, ""20252026"": 20.9798}",
8478233.0000,Andrew Mangiapane,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6576.5333,24.2316,"{""20202021"": 27.7402, ""20212022"": 24.5065, ""20222023"": 22.9668, ""20232024"": 25.5418, ""20242025"": 20.9302, ""20252026"": 24.6649}",
8477946.0000,Dylan Larkin,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7702.2667,24.2266,"{""20202021"": 24.8446, ""20212022"": 24.4997, ""20222023"": 24.2796, ""20232024"": 24.5162, ""20242025"": 23.6255, ""20252026"": 23.6948}",
8475793.0000,Ryan Johansen,"[20202021, 20212022, 20222023, 20232024]",4045.4000,24.2201,"{""20202021"": 24.9779, ""20212022"": 26.4962, ""20222023"": 22.5923, ""20232024"": 21.3619}",
8479987.0000,Morgan Geekie,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5630.9833,24.2196,"{""20202021"": 17.5649, ""20212022"": 23.5303, ""20222023"": 26.9125, ""20232024"": 25.9394, ""20242025"": 23.5513, ""20252026"": 23.2837}",
8480839.0000,Rasmus Dahlin,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",10131.5500,24.1918,"{""20202021"": 26.9511, ""20212022"": 24.9873, ""20222023"": 27.0605, ""20232024"": 21.782, ""20242025"": 22.8852, ""20252026"": 21.2361}",
8478462.0000,Nicolas Roy,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6593.5333,24.1782,"{""20202021"": 21.2574, ""20212022"": 24.7468, ""20222023"": 25.4488, ""20232024"": 25.6827, ""20242025"": 22.6145, ""20252026"": 24.6127}",
8478020.0000,Michael Amadio,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",4919.3333,24.1740,"{""20202021"": 23.9069, ""20212022"": 22.4748, ""20222023"": 25.4883, ""20232024"": 25.2907, ""20242025"": 24.3648, ""20252026"": 22.403}",
8479345.0000,Jakob Chychrun,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8283.7333,24.1630,"{""20202021"": 24.2548, ""20212022"": 28.3797, ""20222023"": 25.161, ""20232024"": 22.8604, ""20242025"": 22.7946, ""20252026"": 23.3743}",
8478414.0000,Timo Meier,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7537.9500,24.1339,"{""20202021"": 26.0556, ""20212022"": 27.6841, ""20222023"": 22.7577, ""20232024"": 21.6608, ""20242025"": 23.9479, ""20252026"": 22.6133}",
