player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence
Carson Soucy,8477369,NYR,0.0000,0.4373,0.1749,28.0710,,,6401.6333,High
Kaiden Guhle,8482087,MTL,0.0000,0.4361,0.1744,28.0959,,,4130.1333,High
Sam Lafferty,8478043,LAK,0.0000,0.4346,0.1738,28.1272,,,3995.4167,High
Calle Jarnkrok,8475714,TOR,0.0000,0.4336,0.1734,28.1463,,,5050.0500,High
Ryan Shea,8478854,PIT,0.0000,0.4239,0.1696,28.3421,,,1949.7500,Low
Jacob Trouba,8476885,ANA,0.0000,0.4225,0.1690,28.3707,,,9510.5000,High
Kevin Bahl,8480860,MIN,0.0000,0.4225,0.1690,28.3713,,,5113.6167,High
Alec Martinez,8474166,CHI,0.0000,0.4199,0.1680,28.4244,,,6001.1833,High
Ty Dellandrea,8480848,DAL,0.0000,0.4188,0.1675,28.4461,,,3488.7000,High
Colton Parayko,8476892,STL,0.0000,0.4187,0.1675,28.4488,,,9440.1333,High
Logan Stanley,8479378,WPG,0.0000,0.4173,0.1669,28.4761,,,3904.3333,High
Adam Pelech,8476917,NYI,0.0000,0.4171,0.1668,28.4807,,,8382.5167,High
Braden Schneider,8482073,NYR,0.0000,0.4152,0.1661,28.5203,,,6319.7167,High
Martin Fehervary,8480796,WSH,0.0000,0.4149,0.1660,28.5256,,,6892.7667,High
Drew Helleson,8481563,WSH,0.0000,0.4148,0.1659,28.5270,,,1402.8833,Low
Brayden Pachal,8481167,CGY,0.0000,0.4138,0.1655,28.5472,,,2297.2500,Medium
Jonas Brodin,8476463,MIN,0.0000,0.4124,0.1649,28.5769,,,8148.5500,High
Nick Jensen,8475324,NYR,0.0000,0.4112,0.1645,28.5998,,,7869.2833,High
Brock Faber,8482122,MIN,0.0000,0.4085,0.1634,28.6548,,,5437.8333,High
Urho Vaakanainen,8480001,NYR,0.0000,0.4080,0.1632,28.6651,,,3374.1333,High
Dante Fabbro,8479371,DET,0.0000,0.4068,0.1627,28.6887,,,6594.2333,High
Ivan Provorov,8478500,DET,0.0000,0.4062,0.1625,28.7009,,,10149.5167,High
Tyler Motte,8477353,DET,0.0000,0.4053,0.1621,28.7202,,,3737.4333,High
Darnell Nurse,8477498,SEA,0.0000,0.4040,0.1616,28.7460,,,11344.1833,High
Ryan Pulock,8477506,COL,0.0000,0.4022,0.1609,28.7828,,,8684.3667,High
Pavel Mintyukov,8483490,WSH,0.0000,0.4014,0.1605,28.7997,,,3120.8667,High
Brian Dumoulin,8475208,CHI,0.0000,0.4013,0.1605,28.8010,,,8347.6333,High
Connor Clifton,8477365,PHI,0.0000,0.4006,0.1602,28.8148,,,6521.6500,High
Brett Leason,8481517,WSH,0.0000,0.3954,0.1582,28.9206,,,2638.9500,Medium
Jonas Siegenthaler,8478399,NJD,0.0000,0.3952,0.1581,28.9235,,,6752.3000,High
Jacob Bryson,8480196,BUF,0.0000,0.3933,0.1573,28.9630,,,4480.8833,High
Ty Emberson,8480834,EDM,0.0000,0.3926,0.1571,28.9763,,,2350.2000,Medium
Dmitry Kulikov,8475179,FLA,0.0000,0.3922,0.1569,28.9861,,,7427.0000,High
Rasmus Ristolainen,8477499,PHI,0.0000,0.3915,0.1566,28.9989,,,6434.7167,High
Alexandre Carrier,8478851,MTL,0.0000,0.3915,0.1566,28.9992,,,7016.0500,High
Joel Edmundson,8476441,LAK,0.0000,0.3907,0.1563,29.0149,,,6896.4500,High
Erik Cernak,8478416,TBL,0.0000,0.3906,0.1562,29.0180,,,7728.9833,High
Justin Holl,8475718,STL,0.0000,0.3891,0.1557,29.0473,,,6316.6000,High
Adam Larsson,8476457,EDM,0.0000,0.3885,0.1554,29.0610,,,9955.6167,High
Jon Merrill,8475750,MIN,0.0000,0.3877,0.1551,29.0767,,,5305.2833,High
Henri Jokiharju,8480035,SJS,0.0000,0.3859,0.1544,29.1122,,,6100.5333,High
Connor Dewar,8480980,PIT,0.0000,0.3855,0.1542,29.1212,,,3436.6667,High
Brenden Dillon,8475455,NJD,0.0000,0.3834,0.1533,29.1643,,,8233.3667,High
Luke Schenn,8474568,WPG,0.0000,0.3830,0.1532,29.1723,,,5695.1333,High
Connor Murphy,8476473,LAK,0.0000,0.3781,0.1513,29.2698,,,7082.3833,High
Jamie Oleksiak,8476467,SEA,0.0000,0.3778,0.1511,29.2771,,,8179.0833,High
Tyler Myers,8474574,VAN,0.0000,0.3753,0.1501,29.3275,,,8696.9667,High
Radko Gudas,8475462,ANA,0.0000,0.3727,0.1491,29.3807,,,7547.8000,High
Alexander Romanov,8481014,WSH,0.0000,0.3712,0.1485,29.4101,,,7483.1333,High
Esa Lindell,8476902,DAL,0.0000,0.3708,0.1483,29.4186,,,10630.0000,High
Ryan McDonagh,8474151,CAR,0.0000,0.3679,0.1471,29.4782,,,9446.3000,High
Zach Bogosian,8474567,CGY,0.0000,0.3631,0.1452,29.5746,,,5449.2667,High
Jeremy Lauzon,8478468,EDM,0.0000,0.3590,0.1436,29.6585,,,6063.0167,High
