rank_2526,player_name,player_id,team,es,nf,nf_rate,nf_goals,reb_shots,goal_rate,ci_lo,ci_hi,avg_x,avg_y,avg_gap,pos_dist,norm_gr,norm_gap,norm_pos,composite,ci_confirmed
55,Nazem Kadri,8475172,CGY,301,57,0.1893687707641196,3,17,0.17647058823529413,0.0619101371254899,0.41029929017375777,82.24561403508773,-0.45614035087719296,1.3529411764705883,2.2914725427727363,0.13284132841328417,0.8801049082053204,0.45079883632899587,0.4524,False
56,Sean Monahan,8477497,CBJ,176,44,0.25,4,18,0.2222222222222222,0.09000781913382,0.4521502645230549,80.61363636363636,1.5454545454545454,1.6111111111111112,1.6628227021673028,0.18450184501845016,0.6433121019108281,0.616654580568701,0.4518,False
57,Nick Cousins,8476393,OTT,138,38,0.2753623188405797,6,16,0.375,0.18480982554752806,0.613593529020652,82.28947368421052,0.13157894736842105,1.6875,2.293251571477293,0.3570110701107011,0.5732484076433122,0.4503294778550735,0.4499,True
58,Linus Karlsson,8481024,VAN,168,61,0.3630952380952381,7,31,0.22580645161290322,0.11394991594498799,0.3981276005869738,81.80327868852459,-0.06557377049180328,1.6129032258064515,1.8044705450251775,0.1885489822640162,0.6416683788781592,0.5792838427116516,0.4417,True
59,Anthony Beauvillier,8478463,WSH,253,62,0.2450592885375494,9,21,0.42857142857142855,0.24469699486521043,0.6345378370296754,82.19354838709677,-1.096774193548387,1.7619047619047619,2.4524616527417,0.4175013178703215,0.5050045495905369,0.4083253209890806,0.441,True
60,Rickard Rakell,8476483,PIT,198,63,0.3181818181818182,10,23,0.43478260869565216,0.25634368332198654,0.6318895069498304,82.3015873015873,0.9206349206349206,1.7826086956521738,2.478885387411123,0.424514679929408,0.4860149543062865,0.4013539867166197,0.436,True
61,Bo Horvat,8477500,NYI,245,37,0.1510204081632653,4,16,0.25,0.10181901984237346,0.49498768929398645,81.54054054054055,-1.864864864864865,1.5,2.4188811713799447,0.2158671586715867,0.7452229299363058,0.41718480900361277,0.4351,True
62,Andrew Copp,8477429,DET,167,66,0.39520958083832336,3,21,0.14285714285714285,0.04980921798213492,0.346364941492295,82.06060606060606,0.4090909090909091,1.4285714285714286,2.1008219127063725,0.0948866631523458,0.81073703366697,0.5010979060129598,0.4315,False
63,Trent Frederic,8479365,EDM,133,42,0.3157894736842105,2,16,0.125,0.034976749337057134,0.3602333143674828,82.38095238095238,0.5714285714285714,1.3125,2.448563834701416,0.07472324723247233,0.9171974522292995,0.4093536764744803,0.4279,False
64,Mackie Samoskevich,8482713,FLA,250,50,0.2,3,15,0.2,0.07047420643610414,0.4518593533465045,81.9,-0.28,1.6,1.9205207627099534,0.15940959409594097,0.6535031847133758,0.5486664878981173,0.4244,False
65,Noah Cates,8480220,PHI,162,52,0.32098765432098764,6,16,0.375,0.18480982554752806,0.613593529020652,82.63461538461539,0.36538461538461536,1.6875,2.659831600310788,0.3570110701107011,0.5732484076433122,0.35361521885353187,0.4209,True
66,ID:8484829,8484829,DAL,123,42,0.34146341463414637,5,16,0.3125,0.14164435051961052,0.5559606813326594,82.28571428571429,0.5,1.6875,2.3397627648798918,0.2864391143911439,0.5732484076433122,0.43805849948365516,0.418,True
67,Brayden Schenn,8475170,STL,169,40,0.23668639053254437,3,19,0.15789473684210525,0.055203710399278266,0.3756592764317668,81.375,-1.3,1.5789473684210527,1.8922539470166262,0.11186638182171295,0.6728126047603085,0.5561240794718116,0.4134,False
68,Cutter Gauthier,8483445,ANA,375,39,0.104,7,20,0.35,0.18118954786794464,0.5671494897805354,82.51282051282051,-0.7948717948717948,1.7,2.6355432267246623,0.3287822878228782,0.561783439490446,0.3600231840152174,0.4081,True
69,Filip Forsberg,8476887,NSH,383,48,0.12532637075718014,8,20,0.4,0.21880396741419272,0.613422057684794,82.75,1.1041666666666667,1.7,2.9633906303047155,0.385239852398524,0.561783439490446,0.2735276954210305,0.4047,True
70,Christian Dvorak,8477989,PHI,188,79,0.42021276595744683,9,19,0.47368421052631576,0.27329505487448547,0.6829251748817489,82.50632911392405,-1.0379746835443038,1.894736842105263,2.7127618898425694,0.46844047387842297,0.3831713040563193,0.339650699981369,0.4042,True
71,Dylan Cozens,8481528,OTT,264,63,0.23863636363636365,3,17,0.17647058823529413,0.0619101371254899,0.41029929017375777,81.92063492063492,-1.6507936507936507,1.4705882352941178,2.532579352332904,0.13284132841328417,0.7721993255901086,0.3871879885121089,0.401,False
72,Sebastian Aho,8478427,CAR,250,49,0.196,5,16,0.3125,0.14164435051961052,0.5559606813326594,80.61224489795919,-1.6122448979591837,1.9375,1.7245803623120823,0.2864391143911439,0.3439490445859873,0.6003611497520311,0.3979,True
73,Michael Bunting,8478047,NSH,236,41,0.17372881355932204,4,16,0.25,0.10181901984237346,0.49498768929398645,82.3170731707317,-0.9024390243902439,1.625,2.486608990425934,0.2158671586715867,0.6305732484076434,0.3993162801214828,0.3953,True
74,Mason McTavish,8482745,ANA,242,56,0.23140495867768596,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399,82.21428571428571,-0.5178571428571429,1.4,2.274035453746914,0.008856088560885609,0.8369426751592358,0.4553992373645971,0.3912,False
75,Drew O'Connor,8482055,VAN,222,69,0.3108108108108108,7,21,0.3333333333333333,0.17194536432683688,0.5462692434278971,81.95652173913044,0.11594202898550725,1.9523809523809523,1.959954047873385,0.3099630996309963,0.3303002729754323,0.5382628634379587,0.3846,True
76,A.J. Greer,8478421,FLA,193,47,0.24352331606217617,7,18,0.3888888888888889,0.20304991926931162,0.6138133141934384,82.87234042553192,-1.127659574468085,1.7222222222222223,3.0857666204744674,0.3726937269372694,0.5414012738853502,0.24124142154378303,0.3839,True
77,Dylan Holloway,8482077,STL,225,32,0.14222222222222222,2,16,0.125,0.034976749337057134,0.3602333143674828,81.8125,-0.46875,1.6875,1.87213322509377,0.07472324723247233,0.5732484076433122,0.5614324993481956,0.3703,False
78,Tomas Hertl,8476881,VGK,239,64,0.26778242677824265,1,17,0.058823529411764705,0.01046013064516424,0.269825452035628,81.796875,-1.390625,1.4705882352941178,2.272135043576856,0.0,0.7721993255901086,0.4559006197284454,0.3684,False
79,Jason Robertson,8480027,DAL,372,61,0.1639784946236559,5,21,0.23809523809523808,0.10627856389112261,0.45091581972345923,82.88524590163935,-1.8852459016393444,1.4285714285714286,3.446562928857475,0.20242488139167103,0.81073703366697,0.1460530728309739,0.368,True
80,Cole Caufield,8481540,MTL,308,50,0.16233766233766234,9,16,0.5625,0.33178195606776517,0.7690163666481448,83.54,1.86,1.8125,3.9988998487083975,0.5687269372693727,0.4585987261146497,0.0003308519763308704,0.3652,True
81,Jordan Martinook,8476921,CAR,221,46,0.2081447963800905,3,16,0.1875,0.06591478773586765,0.4300935986845823,81.43478260869566,0.30434782608695654,1.9375,1.4667067646463516,0.14529520295202952,0.3439490445859873,0.6683955541184265,0.3618,False
82,Timo Meier,8478414,NJD,416,75,0.18028846153846154,7,22,0.3181818181818182,0.1636038735469248,0.5268177721716065,82.38666666666667,0.25333333333333335,1.9090909090909092,2.4000740729309946,0.29285474672928546,0.370005790387956,0.4221466575697971,0.3548,True
83,Connor McMichael,8481580,WSH,184,45,0.24456521739130435,6,19,0.3157894736842105,0.15364171004428598,0.5398998982493537,83.04444444444445,-0.9111111111111111,1.736842105263158,3.1778554769055827,0.290153427850068,0.5279919544083138,0.2169457567188996,0.3395,True
