season,team,pillars,p_nf,p_sv,p_ga,nf_rate,save_pct,ga_pg,points_pct,gp,playoff_depth
20212022,NYI,2,True,True,False,0.15181960258986382,0.9105087263275158,2.9390243902439024,0.5122,82,missed_playoffs
20212022,FLA,1,True,False,False,0.17048145224940806,0.90086887835703,3.0609756097560976,0.7439,82,R2_exit
20212022,TOR,1,True,False,False,0.16148814390842192,0.8986539984164688,3.1219512195121952,0.7012,82,R1_exit
20242025,WSH,1,False,False,True,0.1471057884231537,0.896121266161391,2.841463414634146,0.6768,82,R2_exit
20242025,VGK,1,False,False,True,0.13971897882446072,0.8974477958236659,2.6951219512195124,0.6707,82,R2_exit
20212022,STL,1,False,True,False,0.1240506329113924,0.9060222477943997,2.9878048780487805,0.6646,82,R2_exit
20222023,EDM,1,True,False,False,0.19474789915966387,0.8982591876208897,3.207317073170732,0.6646,82,R2_exit
20232024,COL,1,True,False,False,0.15276967930029153,0.8961303462321792,3.1097560975609757,0.6524,82,R2_exit
20242025,LAK,1,False,False,True,0.14152662482283862,0.9000951474785919,2.5609756097560976,0.6402,82,R1_exit
20232024,EDM,1,True,False,False,0.1873902010540699,0.8962386511024644,2.926829268292683,0.6341,82,Final_loss
20232024,TOR,1,True,False,False,0.16335415483626728,0.891683569979716,3.2560975609756095,0.622,82,R1_exit
20242025,COL,1,False,False,True,0.1305037683458945,0.8889925373134329,2.902439024390244,0.622,82,R1_exit
20212022,LAK,1,True,False,False,0.15482082755889923,0.897089835512442,2.975609756097561,0.6037,82,R1_exit
20232024,NSH,1,True,False,False,0.15744349181605613,0.9009546539379475,3.0365853658536586,0.6037,82,R1_exit
20242025,CAR,1,False,False,True,0.1471953578336557,0.8860204578665367,2.8536585365853657,0.6037,82,CF_exit
20222023,TBL,1,True,False,False,0.161840213596221,0.9007310504040016,3.1463414634146343,0.5976,82,R1_exit
20212022,NSH,1,False,True,False,0.12634756360500216,0.90503003003003,3.0853658536585367,0.5915,82,R1_exit
20242025,OTT,1,False,False,True,0.12962588473205258,0.9002546689303905,2.8658536585365852,0.5915,82,R1_exit
20242025,STL,1,False,False,True,0.13002826701456838,0.8946902654867257,2.902439024390244,0.5854,82,R1_exit
20212022,VGK,1,True,False,False,0.15512572533849128,0.898876404494382,3.073170731707317,0.5732,82,missed_playoffs
20222023,NSH,1,False,True,False,0.1440483635605587,0.9120639534883721,2.9876543209876543,0.5679,81,missed_playoffs
20212022,VAN,1,False,True,False,0.13166144200626959,0.9089184060721063,2.926829268292683,0.561,82,missed_playoffs
20222023,FLA,1,True,False,False,0.1772395232602845,0.8948374760994264,3.3536585365853657,0.561,82,Final_loss
20232024,STL,1,False,True,False,0.13761080624736174,0.9043674698795181,3.097560975609756,0.561,82,missed_playoffs
20222023,PIT,1,True,False,False,0.17340363210310486,0.9008540660972892,3.2560975609756095,0.5549,82,missed_playoffs
20222023,BUF,1,True,False,False,0.15530799475753604,0.8877887788778878,3.7777777777777777,0.5494,81,missed_playoffs
20232024,PIT,1,True,False,False,0.16298713764638126,0.897640943622551,3.1219512195121952,0.5366,82,missed_playoffs
20202021,DAL,1,False,False,True,0.13631937682570594,0.8966189856957087,2.8392857142857144,0.5357,56,missed_playoffs
20222023,OTT,1,True,False,False,0.1616062683643487,0.8939628482972136,3.341463414634146,0.5244,82,missed_playoffs
20222023,VAN,1,True,False,False,0.16501650165016502,0.8819826907946499,3.658536585365854,0.5061,82,missed_playoffs
20232024,NJD,1,True,False,False,0.15320910973084886,0.8846466287571081,3.4634146341463414,0.4939,82,missed_playoffs
20202021,CHI,1,False,True,False,0.14036920933472657,0.9020021074815595,3.3214285714285716,0.4911,56,missed_playoffs
20222023,WSH,1,True,False,False,0.15326220763233483,0.8951675759937646,3.2804878048780486,0.4878,82,missed_playoffs
20242025,PIT,1,True,False,False,0.16035816035816036,0.8796,3.6707317073170733,0.4878,82,missed_playoffs
20212022,ANA,1,True,False,False,0.15281501340482573,0.8984346559883509,3.402439024390244,0.4634,82,missed_playoffs
20212022,DET,1,True,False,False,0.15647523831667054,0.8861261261261262,3.8536585365853657,0.4512,82,missed_playoffs
20212022,OTT,1,False,True,False,0.15005405405405406,0.9026516527424627,3.268292682926829,0.4451,82,missed_playoffs
20202021,LAK,1,False,True,False,0.14920311970159375,0.9016580903373357,3.0714285714285716,0.4375,56,missed_playoffs
20202021,SJS,1,True,False,False,0.15621039290240812,0.8873550524572059,3.642857142857143,0.4375,56,missed_playoffs
