player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence,rush_against_per60_by_season,def_trajectory,nf_traj,combined_trajectory
Braden Schneider,8482073,NYR,0.0000,0.4152,0.1661,28.5203,,,6319.7167,High,"{""20212022"": 27.2722, ""20222023"": 27.1066, ""20232024"": 27.7257, ""20242025"": 30.1604, ""20252026"": 30.4233}",stable,insufficient_data,stable
Martin Fehervary,8480796,WSH,0.0000,0.4149,0.1660,28.5256,,,6892.7667,High,"{""20212022"": 28.4048, ""20222023"": 27.9302, ""20232024"": 29.2507, ""20242025"": 27.641, ""20252026"": 29.8799}",stable,rising,stable
Drew Helleson,8481563,WSH,0.0000,0.4148,0.1659,28.5270,,,1402.8833,Low,"{""20222023"": 21.978, ""20242025"": 30.4461, ""20252026"": 25.8166}",declining,neutral,defensive_decline
Brayden Pachal,8481167,CGY,0.0000,0.4138,0.1655,28.5472,,,2297.2500,Medium,"{""20212022"": 6.1486, ""20222023"": 26.9739, ""20232024"": 29.9559, ""20242025"": 27.8023, ""20252026"": 30.0127}",declining,neutral,defensive_decline
Jonas Brodin,8476463,MIN,0.0000,0.4124,0.1649,28.5769,,,8148.5500,High,"{""20202021"": 28.9371, ""20212022"": 29.7015, ""20222023"": 27.5237, ""20232024"": 28.724, ""20242025"": 28.302, ""20252026"": 27.4367}",stable,insufficient_data,stable
Nick Jensen,8475324,NYR,0.0000,0.4112,0.1645,28.5998,,,7869.2833,High,"{""20202021"": 28.9048, ""20212022"": 27.9816, ""20222023"": 30.2365, ""20232024"": 31.3418, ""20242025"": 25.8083, ""20252026"": 25.0118}",stable,neutral,stable
Brock Faber,8482122,MIN,0.0000,0.4085,0.1634,28.6548,,,5437.8333,High,"{""20222023"": 27.3084, ""20232024"": 28.8852, ""20242025"": 29.3072, ""20252026"": 27.2593}",stable,insufficient_data,stable
Urho Vaakanainen,8480001,NYR,0.0000,0.4080,0.1632,28.6651,,,3374.1333,High,"{""20202021"": 23.9648, ""20212022"": 29.7733, ""20222023"": 31.3843, ""20232024"": 29.3337, ""20242025"": 27.7206, ""20252026"": 25.5275}",stable,neutral,stable
Dante Fabbro,8479371,DET,0.0000,0.4068,0.1627,28.6887,,,6594.2333,High,"{""20202021"": 27.8438, ""20212022"": 31.5378, ""20222023"": 29.2524, ""20232024"": 25.7797, ""20242025"": 27.3992, ""20252026"": 29.3511}",stable,neutral,stable
Ivan Provorov,8478500,DET,0.0000,0.4062,0.1625,28.7009,,,10149.5167,High,"{""20202021"": 28.2017, ""20212022"": 29.9497, ""20222023"": 29.3983, ""20232024"": 28.9165, ""20242025"": 27.6219, ""20252026"": 27.5056}",stable,declining,offensive_decline
Tyler Motte,8477353,DET,0.0000,0.4053,0.1621,28.7202,,,3737.4333,High,"{""20202021"": 33.9919, ""20212022"": 31.4624, ""20222023"": 29.6417, ""20232024"": 22.9882, ""20242025"": 27.9555}",improving,stable,stable
Darnell Nurse,8477498,SEA,0.0000,0.4040,0.1616,28.7460,,,11344.1833,High,"{""20202021"": 29.1518, ""20212022"": 31.458, ""20222023"": 29.4586, ""20232024"": 27.5756, ""20242025"": 26.733, ""20252026"": 27.7526}",stable,declining,offensive_decline
Ryan Pulock,8477506,COL,0.0000,0.4022,0.1609,28.7828,,,8684.3667,High,"{""20202021"": 27.5769, ""20212022"": 30.7051, ""20222023"": 27.4307, ""20232024"": 29.1884, ""20242025"": 28.7224, ""20252026"": 30.6099}",stable,neutral,stable
Pavel Mintyukov,8483490,WSH,0.0000,0.4014,0.1605,28.7997,,,3120.8667,High,"{""20232024"": 26.0215, ""20242025"": 32.0736, ""20252026"": 28.2365}",declining,declining,both_declining
Brian Dumoulin,8475208,CHI,0.0000,0.4013,0.1605,28.8010,,,8347.6333,High,"{""20202021"": 28.8685, ""20212022"": 30.8981, ""20222023"": 30.6992, ""20232024"": 24.9477, ""20242025"": 29.9927, ""20252026"": 24.6684}",stable,insufficient_data,stable
Connor Clifton,8477365,PHI,0.0000,0.4006,0.1602,28.8148,,,6521.6500,High,"{""20202021"": 27.8002, ""20212022"": 28.9541, ""20222023"": 29.679, ""20232024"": 27.8599, ""20242025"": 30.3415, ""20252026"": 27.4297}",stable,insufficient_data,stable
Brett Leason,8481517,WSH,0.0000,0.3954,0.1582,28.9206,,,2638.9500,Medium,"{""20212022"": 25.3956, ""20222023"": 33.1539, ""20232024"": 28.6519, ""20242025"": 27.8736, ""20252026"": 15.534}",improving,declining,offensive_decline
Jonas Siegenthaler,8478399,NJD,0.0000,0.3952,0.1581,28.9235,,,6752.3000,High,"{""20202021"": 29.4557, ""20212022"": 32.5441, ""20222023"": 29.7076, ""20232024"": 27.0274, ""20242025"": 26.198, ""20252026"": 27.231}",stable,insufficient_data,stable
Jacob Bryson,8480196,BUF,0.0000,0.3933,0.1573,28.9630,,,4480.8833,High,"{""20202021"": 34.7366, ""20212022"": 27.0202, ""20222023"": 29.7922, ""20232024"": 27.3674, ""20242025"": 26.5293, ""20252026"": 29.6041}",stable,neutral,stable
Ty Emberson,8480834,EDM,0.0000,0.3926,0.1571,28.9763,,,2350.2000,Medium,"{""20232024"": 31.9813, ""20242025"": 29.1281, ""20252026"": 26.0443}",stable,neutral,stable
Dmitry Kulikov,8475179,FLA,0.0000,0.3922,0.1569,28.9861,,,7427.0000,High,"{""20202021"": 32.5789, ""20212022"": 32.166, ""20222023"": 33.8647, ""20232024"": 24.0491, ""20242025"": 25.1474, ""20252026"": 28.4681}",stable,insufficient_data,stable
Rasmus Ristolainen,8477499,PHI,0.0000,0.3915,0.1566,28.9989,,,6434.7167,High,"{""20202021"": 33.1319, ""20212022"": 32.1134, ""20222023"": 30.256, ""20232024"": 26.0736, ""20242025"": 24.8015, ""20252026"": 23.6803}",improving,insufficient_data,stable
Alexandre Carrier,8478851,MTL,0.0000,0.3915,0.1566,28.9992,,,7016.0500,High,"{""20202021"": 30.623, ""20212022"": 32.8073, ""20222023"": 28.8612, ""20232024"": 26.0368, ""20242025"": 27.9755, ""20252026"": 27.5774}",stable,neutral,stable
Joel Edmundson,8476441,LAK,0.0000,0.3907,0.1563,29.0149,,,6896.4500,High,"{""20202021"": 28.2779, ""20212022"": 31.1489, ""20222023"": 32.3043, ""20232024"": 29.8561, ""20242025"": 27.3425, ""20252026"": 27.056}",stable,insufficient_data,stable
Erik Cernak,8478416,TBL,0.0000,0.3906,0.1562,29.0180,,,7728.9833,High,"{""20202021"": 28.6038, ""20212022"": 30.8243, ""20222023"": 29.9363, ""20232024"": 27.6318, ""20242025"": 27.5505, ""20252026"": 30.035}",stable,neutral,stable
Justin Holl,8475718,STL,0.0000,0.3891,0.1557,29.0473,,,6316.6000,High,"{""20202021"": 28.9933, ""20212022"": 30.0946, ""20222023"": 29.6561, ""20232024"": 29.2394, ""20242025"": 26.8308, ""20252026"": 25.7873}",stable,neutral,stable
Adam Larsson,8476457,EDM,0.0000,0.3885,0.1554,29.0610,,,9955.6167,High,"{""20202021"": 29.6665, ""20212022"": 27.9793, ""20222023"": 27.2002, ""20232024"": 30.5577, ""20242025"": 31.0779, ""20252026"": 28.4413}",stable,insufficient_data,stable
