season,team,n_elite_nf,elite_player_names,elite_reb_shots,elite_reb_goals,points_pct,points,gp,playoff_depth
20222023,PHI,0,,0,0,0.4573,75,82,missed_playoffs
20202021,OTT,0,,0,0,0.4554,51,56,missed_playoffs
20212022,DET,0,,0,0,0.4512,74,82,missed_playoffs
20212022,OTT,0,,0,0,0.4451,73,82,missed_playoffs
20202021,LAK,0,,0,0,0.4375,49,56,missed_playoffs
20202021,SJS,0,,0,0,0.4375,49,56,missed_playoffs
20202021,DET,0,,0,0,0.4286,48,56,missed_playoffs
20222023,ARI,0,,0,0,0.4268,70,82,missed_playoffs
20232024,CBJ,0,,0,0,0.4024,66,82,missed_playoffs
20212022,NJD,0,,0,0,0.3841,63,82,missed_playoffs
20212022,PHI,0,,0,0,0.372,61,82,missed_playoffs
20242025,CHI,0,,0,0,0.372,61,82,missed_playoffs
20222023,SJS,0,,0,0,0.3659,60,82,missed_playoffs
20222023,CBJ,0,,0,0,0.3642,59,81,missed_playoffs
20232024,ANA,0,,0,0,0.3598,59,82,missed_playoffs
20222023,ANA,0,,0,0,0.3537,58,82,missed_playoffs
20212022,ARI,0,,0,0,0.3476,57,82,missed_playoffs
20232024,CHI,0,,0,0,0.3171,52,82,missed_playoffs
20242025,SJS,0,,0,0,0.3171,52,82,missed_playoffs
20232024,SJS,0,,0,0,0.2866,47,82,missed_playoffs
