player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Rasmus Ristolainen,PHI,D,0.929,0.653,0.7029,44,766.48,17.42,76,1.727,119,2.705,71.0,25.16,1.0145,0.9049,1.0152,0.9769,1.0108,0.6598,0.6538,0.683,0.7078,🟡 Solid — self made,0.5215,8477499,"2022-23, 2023-24, 2024-25, 2025-26",74.84,2.0456,2.123,0.6994,0.2576,84571,46637
Cam Fowler,STL,D,0.9292,0.6377,0.6863,81,1412.0,17.432,216,2.667,198,2.444,71.95,23.51,1.0281,0.8453,0.9798,0.964,1.0315,0.6516,0.6278,0.6723,0.6792,🟡 Solid — self made,0.4745,8475764,"2022-23, 2023-24, 2024-25, 2025-26",76.49,1.9978,2.073,0.7343,0.2438,154658,76489
Jake McCabe,TOR,D,0.9297,0.6348,0.6828,80,1452.18,18.152,128,1.6,296,3.7,73.02,20.78,1.0434,0.7474,1.0525,0.8047,1.0292,0.6662,0.5759,0.6836,0.6183,🟡 Solid — self made,0.4968,8476931,"2022-23, 2023-24, 2024-25, 2025-26",79.22,1.9886,2.0624,0.6938,0.2583,159453,78325
Oliver Ekman-Larsson,TOR,D,0.9304,0.6493,0.6979,78,1362.28,17.465,285,3.654,215,2.756,70.26,25.03,1.0038,0.9,1.0048,0.9681,1.0407,0.6578,0.5931,0.6767,0.6389,🟡 Solid — self made,0.4927,8475171,"2022-23, 2023-24, 2024-25, 2025-26",74.97,2.0342,2.108,0.6992,0.2585,148627,77395
Shakir Mukhamadullin,SJS,D,0.9306,0.564,0.606,49,754.1,15.39,78,1.592,94,1.918,63.84,26.82,0.9121,0.9644,0.9465,0.9978,0.9927,0.6444,0.6407,0.6656,0.688,🔴 Underperforming — tough situation,0.4804,8482166,"2023-24, 2024-25, 2025-26",73.18,1.7667,1.8305,0.6745,0.2688,81791,44153
Philippe Myers,TOR,D,0.9308,0.5031,0.5405,39,522.08,13.387,57,1.462,75,1.923,71.03,25.29,1.0149,0.9096,1.0178,0.9757,1.0725,0.6544,0.6032,0.6721,0.6505,🔴 Underperforming — tough situation,0.4872,8479026,"2022-23, 2023-24, 2024-25, 2025-26",74.71,1.576,1.6326,0.6979,0.2592,56935,30184
Adam Larsson,SEA,D,0.931,0.7597,0.816,81,1470.55,18.155,150,1.852,221,2.728,71.7,31.1,1.0244,1.1183,1.0134,1.2057,1.001,0.6638,0.7078,0.6812,0.7595,🟢 Elite — self made,0.4959,8476457,"2022-23, 2023-24, 2024-25, 2025-26",68.9,2.3799,2.4648,0.7075,0.2579,164611,87251
Justin Faulk,DET,D,0.9327,0.6787,0.7276,78,1382.33,17.722,174,2.231,195,2.5,73.71,25.25,1.0532,0.9078,1.0173,1.0098,0.9896,0.6557,0.6227,0.6777,0.6704,🟢 Elite — self made,0.4785,8475753,"2022-23, 2023-24, 2024-25, 2025-26",74.75,2.1262,2.1978,0.7246,0.25,152936,79793
Scott Mayfield,NYI,D,0.9335,0.5454,0.5843,80,1162.22,14.528,135,1.688,118,1.475,70.92,25.29,1.0133,0.9093,0.9916,0.9942,1.0435,0.6494,0.6384,0.6688,0.674,🔴 Underperforming — tough situation,0.4862,8476429,"2022-23, 2023-24, 2024-25, 2025-26",74.71,1.7088,1.7649,0.7153,0.2543,124319,43875
Dmitry Orlov,SJS,D,0.935,0.7005,0.7492,81,1388.63,17.144,150,1.852,198,2.444,69.07,30.74,0.9869,1.1055,1.0224,1.1353,0.9728,0.6602,0.6105,0.6771,0.6484,🟢 Elite — self made,0.514,8475200,"2022-23, 2023-24, 2024-25, 2025-26",69.26,2.1945,2.263,0.6756,0.2708,152271,82053
Troy Stecher,TOR,D,0.9351,0.5642,0.6033,64,1062.47,16.601,103,1.609,152,2.375,68.95,21.0,0.9852,0.7551,0.984,0.8104,0.971,0.6576,0.6155,0.6745,0.659,🔴 Underperforming — tough situation,0.483,8479442,"2022-23, 2023-24, 2024-25, 2025-26",79.0,1.7675,1.8223,0.7008,0.2591,113371,60554
Brandon Carlo,TOR,D,0.9353,0.5477,0.5855,55,879.68,15.994,105,1.909,131,2.382,63.2,23.65,0.903,0.8504,0.8998,0.9077,0.9642,0.6649,0.6361,0.6802,0.6864,🔴 Underperforming — tough situation,0.4907,8478443,"2022-23, 2023-24, 2024-25, 2025-26",76.35,1.7157,1.7686,0.7024,0.2605,97877,52795
Noah Dobson,MTL,D,0.9354,0.6478,0.6926,80,1400.83,17.51,187,2.337,182,2.275,67.87,25.72,0.9697,0.9249,0.9973,0.9556,1.0009,0.6711,0.6449,0.6882,0.6801,🟡 Solid — self made,0.5104,8480865,"2022-23, 2023-24, 2024-25, 2025-26",74.28,2.0295,2.092,0.6805,0.2691,157325,79288
Vince Dunn,SEA,D,0.9354,0.7342,0.7849,80,1410.8,17.635,204,2.55,222,2.775,71.81,30.76,1.026,1.1061,1.0144,1.1831,0.966,0.6634,0.7423,0.6806,0.7995,🟢 Elite — self made,0.4967,8478407,"2022-23, 2023-24, 2024-25, 2025-26",69.24,2.3002,2.3709,0.7079,0.26,158404,83012
Luke Schenn,BUF,D,0.9373,0.4155,0.4433,50,586.82,11.736,55,1.1,83,1.66,65.05,24.58,0.9294,0.8837,0.9008,0.9642,1.0527,0.6397,0.5993,0.6636,0.6296,🔴 Underperforming — tough situation,0.4926,8474568,"2022-23, 2023-24, 2024-25, 2025-26",75.42,1.3018,1.3391,0.7221,0.2549,62820,27817
Moritz Seider,DET,D,0.9382,0.7402,0.789,82,1580.28,19.272,133,1.622,248,3.024,68.43,27.51,0.9777,0.9891,0.9785,1.0428,0.9756,0.6656,0.682,0.6825,0.722,🟢 Elite — self made,0.505,8481542,"2022-23, 2023-24, 2024-25, 2025-26",72.49,2.3189,2.383,0.6993,0.2638,176855,94757
Albert Johansson,DET,D,0.9384,0.5325,0.5674,82,1146.02,13.976,147,1.793,161,1.963,70.67,26.17,1.0097,0.9412,1.0046,0.9999,1.0819,0.6557,0.5705,0.6734,0.6049,🔴 Underperforming — tough situation,0.4929,8481607,"2024-25, 2025-26",73.83,1.6681,1.7139,0.7034,0.2618,125841,54542
Timothy Liljegren,WSH,D,0.9384,0.5684,0.6057,47,758.68,16.142,74,1.574,128,2.723,71.69,21.66,1.0244,0.7788,1.0551,0.7976,1.0325,0.6576,0.6742,0.672,0.7198,🔴 Underperforming — tough situation,0.5062,8480043,"2022-23, 2023-24, 2024-25, 2025-26",78.34,1.7807,1.8296,0.6795,0.2715,83882,45112
Matthew Schaefer,NYI,D,0.9389,0.6844,0.729,82,1501.23,18.308,172,2.098,169,2.061,73.82,23.9,1.0548,0.8596,1.0288,0.9372,0.9677,0.6642,0.6059,0.6834,0.6401,🟢 Elite — self made,0.4977,8485366,2025-26,76.1,2.1441,2.2019,0.7176,0.2551,163575,86459
Sam Dickinson,SJS,D,0.939,0.6155,0.6555,71,1064.52,14.993,114,1.606,129,1.817,67.3,31.72,0.9616,1.1406,1.0051,1.1535,0.9648,0.6431,0.6261,0.6624,0.6655,🟡 Solid — self made,0.4747,8484806,2025-26,68.28,1.9283,1.9799,0.6696,0.275,112642,57531
Adam Pelech,NYI,D,0.9408,0.7242,0.7698,82,1426.87,17.401,150,1.829,219,2.671,71.25,30.96,1.018,1.1133,0.9909,1.1934,1.04,0.6585,0.6428,0.6783,0.677,🟢 Elite — self made,0.5076,8476917,"2022-23, 2023-24, 2024-25, 2025-26",69.04,2.2689,2.3252,0.7191,0.2594,156762,83937
Zeev Buium,VAN,D,0.9419,0.6447,0.6845,75,1221.4,16.285,190,2.533,114,1.52,72.53,27.56,1.0363,0.9909,1.0252,1.0499,0.9805,0.6556,0.6592,0.6773,0.7052,🟡 Solid — self made,0.4695,8484798,"2024-25, 2025-26",72.44,2.0197,2.0675,0.7074,0.2625,132710,49463
Ben Chiarot,DET,D,0.9425,0.6977,0.7403,82,1484.63,18.105,177,2.159,214,2.61,68.91,27.5,0.9846,0.9888,0.973,1.0458,0.9904,0.6608,0.5902,0.6776,0.6275,🟢 Elite — self made,0.4797,8475279,"2022-23, 2023-24, 2024-25, 2025-26",72.5,2.1858,2.236,0.7083,0.2629,165487,87413
Vincent Desharnais,SJS,D,0.943,0.5728,0.6074,53,762.52,14.387,66,1.245,122,2.302,63.28,31.55,0.9042,1.1346,0.9396,1.1449,1.0149,0.6473,0.6375,0.6659,0.681,🟡 Solid — self made,0.507,8479576,"2022-23, 2023-24, 2024-25, 2025-26",68.45,1.7945,1.8347,0.6735,0.2756,81443,44333
Nick Leddy,SJS,D,0.9444,0.6888,0.7293,32,518.05,16.189,79,2.469,51,1.594,67.68,33.69,0.967,1.2116,1.0044,1.2198,0.8742,0.6483,0.6226,0.6658,0.6641,🟢 Elite — self made,0.4834,8475181,"2022-23, 2023-24, 2024-25, 2025-26",66.31,2.1577,2.2029,0.6738,0.2762,54958,29499
Jacob Bernard-Docker,DET,D,0.9445,0.4806,0.5088,63,833.0,13.222,94,1.492,127,2.016,68.11,24.69,0.9731,0.888,0.966,0.9339,1.0191,0.6608,0.6072,0.6759,0.646,🔴 Underperforming — tough situation,0.5008,8480879,"2022-23, 2023-24, 2024-25, 2025-26",75.31,1.5055,1.5368,0.7051,0.2644,92026,49931
Axel Sandin-Pellikka,DET,D,0.9446,0.529,0.56,68,928.8,13.659,141,2.074,129,1.897,72.33,26.41,1.0335,0.9496,1.0293,0.9948,1.0229,0.6539,0.6732,0.6709,0.7144,🔴 Underperforming — tough situation,0.4758,8484223,2025-26,73.59,1.6571,1.6914,0.7027,0.2655,102352,53663
