player_id,player_name,pos,team,seasons_covered,scenario,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,nz_faceoff_shifts,player_OZ_retention_pct,player_DZ_time_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio
8479376,Victor Mete,D,PHI,"2022-23, 2023-24",pooled,12,139.9,11.658,16,1.333,22,1.833,21,,,,,,,,
8482787,Nikita Chibrikov,R,WPG,"2023-24, 2024-25, 2025-26",pooled,15,139.63,9.309,27,1.8,15,1.0,32,,,,,,,,
8484839,Harrison Brunicke,D,PIT,2025-26,pooled,9,135.95,15.106,14,1.556,9,1.0,25,,,,,,,,
8479321,Lucas Johansen,D,WSH,"2022-23, 2023-24",pooled,10,134.43,13.443,10,1.0,17,1.7,19,,,,,,,,
8481239,Samuel Fagemo,L,LAK,"2022-23, 2023-24",pooled,17,133.92,7.877,25,1.471,15,0.882,29,,,,,,,,
8474161,Jakub Voracek,R,CBJ,2022-23,pooled,11,133.85,12.168,37,3.364,21,1.909,25,,,,,,,,
8484254,Akito Hirose,D,VAN,"2022-23, 2023-24",pooled,10,132.45,13.245,11,1.1,11,1.1,30,,,,,,,,
8474190,Wayne Simmonds,R,TOR,2022-23,pooled,18,131.97,7.331,19,1.056,7,0.389,26,,,,,,,,
8482399,Billy Sweezey,D,CBJ,2022-23,pooled,9,131.8,14.644,17,1.889,20,2.222,19,,,,,,,,
8484169,Drew Fortescue,D,NYR,2025-26,pooled,9,131.23,14.581,11,1.222,13,1.444,21,,,,,,,,
8480267,Sammy Walker,C,MIN,"2022-23, 2023-24",pooled,13,131.22,10.094,19,1.462,27,2.077,23,,,,,,,,
8482744,James Malatesta,L,CBJ,"2023-24, 2024-25",pooled,13,128.53,9.887,11,0.846,12,0.923,20,,,,,,,,
8485406,Porter Martone,R,PHI,2025-26,pooled,9,128.27,14.252,14,1.556,14,1.556,33,,,,,,,,
8477320,Anton Blidh,L,NYR,"2022-23, 2023-24, 2025-26",pooled,19,127.67,6.719,11,0.579,15,0.789,27,,,,,,,,
8478881,Brett Seney,L,CHI,"2022-23, 2023-24",pooled,11,126.5,11.5,8,0.727,14,1.273,20,,,,,,,,
8484125,Hunter McKown,C,CBJ,2022-23,pooled,12,124.48,10.374,20,1.667,17,1.417,32,,,,,,,,
8483567,Georgii Merkulov,C,BOS,"2023-24, 2024-25, 2025-26",pooled,11,123.85,11.259,21,1.909,16,1.455,24,,,,,,,,
8483669,Adam Sykora,L,NYR,2025-26,pooled,11,120.63,10.967,19,1.727,18,1.636,30,,,,,,,,
8484287,Cole McWard,D,NYI,"2022-23, 2023-24, 2025-26",pooled,9,119.33,13.259,10,1.111,6,0.667,26,,,,,,,,
8484168,Oscar Fisker Molgaard,C,SEA,2025-26,pooled,13,119.15,9.165,22,1.692,23,1.769,35,,,,,,,,
8484976,Jere Innala,L,COL,2024-25,pooled,17,118.0,6.941,12,0.706,17,1.0,27,,,,,,,,
8471873,Anton Stralman,D,BOS,2022-23,pooled,8,115.3,14.412,17,2.125,6,0.75,21,,,,,,,,
8484152,Luca Cagnoni,D,SJS,"2024-25, 2025-26",pooled,8,115.18,14.398,18,2.25,9,1.125,21,,,,,,,,
8483481,Cam Lund,C,SJS,2024-25,pooled,11,114.05,10.368,15,1.364,13,1.182,28,,,,,,,,
8480071,Robin Salo,D,NYI,2022-23,pooled,11,113.28,10.298,14,1.273,5,0.455,29,,,,,,,,
8480032,Shane Bowers,C,NJD,"2022-23, 2023-24, 2024-25",pooled,13,109.77,8.444,13,1.0,7,0.538,30,,,,,,,,
8480836,Jonathan Gruden,C,PIT,"2022-23, 2023-24",pooled,16,109.63,6.852,9,0.562,21,1.312,29,,,,,,,,
8482147,Jean-Luc Foudy,C,COL,"2022-23, 2023-24",pooled,13,107.73,8.287,9,0.692,10,0.769,28,,,,,,,,
8484797,Konsta Helenius,C,BUF,2025-26,pooled,9,105.22,11.691,14,1.556,9,1.0,26,,,,,,,,
8479320,Maxime Lajoie,D,TOR,"2022-23, 2023-24",pooled,10,104.17,10.417,18,1.8,7,0.7,18,,,,,,,,
8484262,Travis Mitchell,D,NYI,2025-26,pooled,9,102.53,11.393,19,2.111,8,0.889,34,,,,,,,,
8481679,Maxence Guenette,D,OTT,"2022-23, 2023-24",pooled,8,101.98,12.748,12,1.5,10,1.25,20,,,,,,,,
8477210,Buddy Robinson,R,CHI,2022-23,pooled,9,101.88,11.32,7,0.778,8,0.889,21,,,,,,,,
8481486,Jimmy Schuldt,D,SJS,2024-25,pooled,8,101.48,12.685,13,1.625,17,2.125,20,,,,,,,,
8481462,Mason Morelli,L,VGK,"2023-24, 2024-25",pooled,10,99.55,9.955,12,1.2,16,1.6,25,,,,,,,,
8482250,Callahan Burke,C,VGK,"2022-23, 2023-24, 2024-25",pooled,10,99.3,9.93,13,1.3,6,0.6,24,,,,,,,,
8482635,Mike Hardman,L,NJD,"2022-23, 2024-25",pooled,10,97.48,9.748,11,1.1,7,0.7,18,,,,,,,,
8482209,Rory Kerins,C,CGY,"2024-25, 2025-26",pooled,8,97.0,12.125,16,2.0,8,1.0,21,,,,,,,,
