player_id,games_played,toi_5v5_sec,cf_5v5,ca_5v5,cfpct_5v5
8484901,21,10927,138,164,0.45695
8484911,91,70960,1022,1108,0.47981
8484929,18,9395,162,123,0.56842
8484933,4,3278,45,49,0.47872
8484938,22,12311,182,197,0.48021
8484958,104,74086,1238,1110,0.52726
8484976,15,6015,80,74,0.51948
8484984,59,39482,596,604,0.49667
8484994,22,17777,281,275,0.5054
8484999,4,3111,43,51,0.45745
8485105,10,3820,60,55,0.52174
8485251,2,1315,16,12,0.57143
8485366,52,57329,980,989,0.49771
8485385,3,1735,26,33,0.44068
8485388,1,735,8,9,0.47059
8485391,12,9673,152,191,0.44315
8485395,2,1746,30,23,0.56604
8485402,32,22406,333,385,0.46379
8485405,2,1155,18,19,0.48649
8485406,9,7696,120,104,0.53571
8485414,50,34751,597,544,0.52323
8485467,4,2845,45,32,0.58442
8485469,1,669,14,13,0.51852
8485483,2,1075,11,17,0.39286
8485493,10,5060,83,72,0.53548
8485511,4,2106,35,36,0.49296
8485512,29,17030,291,256,0.53199
8485702,25,16971,282,282,0.5
8486056,6,3451,41,56,0.42268
8486166,2,1932,19,28,0.40426
8486169,1,1202,14,21,0.4
